target_date,city,decision_hour_local,bracket,current_native,running_native,bracket_upper,final_max_native,actual_peak_first_hour_local,actual_peak_last_hour_local,actual_peak_afternoon,future_max_above_running,final_max_above_current_upper,label_no_wins,no_ask,stake_profit_usd,peak_already_started_by_decision,final_did_not_cross_bracket_upper
2026-05-20,CapeTown,13,23,22.77777777777778,22.77777777777778,23.0,22.77777777777778,13,15,True,False,False,0.0,0.19,-5.0,True,True
2026-05-20,CapeTown,14,23,22.77777777777778,22.77777777777778,23.0,22.77777777777778,13,15,True,False,False,0.0,0.13,-5.0,True,True
2026-05-20,Denver,14,56+,56.0,56.0,56.0,56.0,13,13,True,False,False,0.0,0.32,-5.0,True,True
2026-05-20,Manila,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,14,16,True,False,True,0.0,0.093,-5.0,True,False
2026-05-20,SanFrancisco,14,72-73,72.0,72.0,73.0,72.0,13,13,True,False,False,0.0,0.62,-5.0,True,True
2026-05-20,SaoPaulo,14,21,21.11111111111111,21.11111111111111,21.0,21.11111111111111,14,15,True,False,True,0.0,0.64,-5.0,True,False
2026-05-20,Shanghai,14,27,27.22222222222222,27.22222222222222,27.0,27.22222222222222,13,14,True,False,True,0.0,0.04,-5.0,True,False
2026-05-20,Singapore,13,33,32.77777777777778,32.77777777777778,33.0,32.77777777777778,13,13,True,False,False,0.0,0.08,-5.0,True,True
2026-05-20,Singapore,14,33,31.11111111111111,32.77777777777778,33.0,32.77777777777778,13,13,True,False,False,0.0,0.028,-5.0,True,True
2026-05-21,Beijing,14,27,27.22222222222222,27.22222222222222,27.0,27.22222222222222,14,16,True,False,True,0.0,0.18,-5.0,True,False
2026-05-21,Karachi,14,35,33.888888888888886,35.0,35.0,35.0,13,13,True,False,False,0.0,0.039,-5.0,True,True
2026-05-21,Lucknow,14,43,42.77777777777778,42.77777777777778,43.0,42.77777777777778,14,16,True,False,False,0.0,0.15,-5.0,True,True
2026-05-21,Manila,13,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,16,True,False,True,0.0,0.57,-5.0,True,False
2026-05-21,Manila,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,16,True,False,True,0.0,0.6,-5.0,True,False
2026-05-21,Singapore,13,31,31.11111111111111,31.11111111111111,31.0,31.11111111111111,13,19,True,False,True,0.0,0.49,-5.0,True,False
2026-05-21,Singapore,14,31,30.0,31.11111111111111,31.0,31.11111111111111,13,19,True,False,True,0.0,0.52,-5.0,True,False
2026-05-21,Wellington,14,17,16.11111111111111,17.22222222222222,17.0,17.22222222222222,13,13,True,False,True,0.0,0.015,-5.0,True,False
2026-05-22,BuenosAires,13,14,13.88888888888889,13.88888888888889,14.0,13.88888888888889,13,15,True,False,False,0.0,0.37,-5.0,True,True
2026-05-22,BuenosAires,14,14,13.88888888888889,13.88888888888889,14.0,13.88888888888889,13,15,True,False,False,0.0,0.1,-5.0,True,True
2026-05-22,Chengdu,14,31,31.11111111111111,31.11111111111111,31.0,31.11111111111111,14,17,True,False,True,0.0,0.75,-5.0,True,False
2026-05-22,Denver,11,54+,54.0,54.0,54.0,64.0,14,14,True,True,True,0.0,0.005,-5.0,False,False
2026-05-22,Helsinki,14,17,17.22222222222222,17.22222222222222,17.0,17.22222222222222,13,13,True,False,True,0.0,0.31,-5.0,True,False
2026-05-22,LA,12,66-67,66.0,66.0,67.0,67.0,13,15,True,True,False,0.0,0.27,-5.0,False,True
2026-05-22,LA,13,66-67,66.0,66.0,67.0,67.0,13,15,True,True,False,0.0,0.27,-5.0,True,True
2026-05-22,LA,14,66-67,67.0,67.0,67.0,67.0,13,15,True,False,False,0.0,0.17,-5.0,True,True
2026-05-22,Manila,13,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,15,True,False,True,0.0,0.41,-5.0,True,False
2026-05-22,Manila,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,15,True,False,True,0.0,0.075,-5.0,True,False
2026-05-22,Miami,14,88-89,88.0,88.0,89.0,88.0,13,13,True,False,False,0.0,0.14,-5.0,True,True
2026-05-22,Seattle,11,64+,65.0,65.0,64.0,76.0,15,18,True,True,True,0.0,0.001,-5.0,False,False
2026-05-22,Singapore,14,32,32.22222222222222,32.22222222222222,32.0,32.22222222222222,14,16,True,False,True,0.0,0.22,-5.0,True,False
2026-05-22,Wellington,14,16,16.11111111111111,16.11111111111111,16.0,16.11111111111111,13,15,True,False,True,0.0,0.04,-5.0,True,False
2026-05-22,Wuhan,13,30,30.0,30.0,30.0,30.0,13,14,True,False,False,0.0,0.33,-5.0,True,True
2026-05-22,Wuhan,14,30,30.0,30.0,30.0,30.0,13,14,True,False,False,0.0,0.13,-5.0,True,True
2026-05-23,Amsterdam,14,28,27.77777777777778,27.77777777777778,28.0,27.77777777777778,13,16,True,False,False,0.0,0.43,-5.0,True,True
2026-05-23,Guangzhou,14,33,32.77777777777778,32.77777777777778,33.0,32.77777777777778,14,14,True,False,False,0.0,0.14,-5.0,True,True
2026-05-23,Helsinki,14,25,25.0,25.0,25.0,25.0,13,17,True,False,False,0.0,0.23,-5.0,True,True
2026-05-23,Jeddah,13,37,37.22222222222222,37.22222222222222,37.0,37.22222222222222,13,13,True,False,True,0.0,0.19,-5.0,True,False
2026-05-23,Jeddah,14,37,33.888888888888886,37.22222222222222,37.0,37.22222222222222,13,13,True,False,True,0.0,0.03,-5.0,True,False
2026-05-23,LA,14,68-69,68.0,68.0,69.0,68.0,13,13,True,False,False,0.0,0.069,-5.0,True,True
