orderbook_file,decision_snapshot_ts_utc,decision_hour_local,city,target_date,bracket,bracket_low,bracket_high,outcome,quote_best_ask,quote_best_ask_size,quote_best_bid,quote_best_bid_size,quote_spread,quote_depth_ask_5c,quote_depth_bid_5c,condition_id,market_id,token_id,icao,timezone,obs_count_day,obs_count_to_decision,decision_last_obs_utc,current_temp_c,current_temp_f,running_max_c,running_max_f,decline_from_max_c,decline_from_max_f,final_max_c,final_max_f,final_winning_bracket,winner_final_price,unit,settlement_status,source_system,is_f,current_native,running_native,decline_native,running_value,current_bracket,current_yes_ask,current_yes_ask_size,current_yes_bid,current_yes_spread,d1_no_bracket,d1_no_ask,d1_no_ask_size,d1_no_bid,d1_no_spread,d2_no_bracket,d2_no_ask,d2_no_ask_size,d2_no_bid,d2_no_spread,target_yes_ask,target_yes_ask_size,target_yes_bid,target_yes_spread,current_bracket_held,d1_hit,d2_hit,target_hit,skip_over_d1,tmpf_now,dwpf_now,dewpoint_depression_f,relative_humidity_pct,wind_speed_kt,sky_cover_code,temp_trend_1h_f,temp_trend_3h_f,minutes_since_running_max,forecast_source,forecast_max_f,forecast_max_native,forecast_peak_hour_local,forecast_peak_time_local,forecast_peak_hour_utc,forecast_peak_time_utc,forecast_hourly_count,forecast_values_hash,forecast_peak_source,forecast_timezone,forecast_utc_offset_seconds,forecast_peak_delta_hours_local,forecast_join_status,gfs_forecast_model_name,gfs_forecast_max_f,gfs_forecast_max_native,gfs_forecast_peak_hour_local,gfs_forecast_peak_time_local,gfs_forecast_peak_hour_utc,gfs_forecast_peak_time_utc,gfs_forecast_hourly_count,gfs_forecast_values_hash,gfs_forecast_timezone,gfs_forecast_utc_offset_seconds,gfs_forecast_cache_status,ecmwf_forecast_model_name,ecmwf_forecast_max_f,ecmwf_forecast_max_native,ecmwf_forecast_peak_hour_local,ecmwf_forecast_peak_time_local,ecmwf_forecast_peak_hour_utc,ecmwf_forecast_peak_time_utc,ecmwf_forecast_hourly_count,ecmwf_forecast_values_hash,ecmwf_forecast_timezone,ecmwf_forecast_utc_offset_seconds,ecmwf_forecast_cache_status,gfs_forecast_peak_present,ecmwf_forecast_peak_present,forecast_peak_models_agree_le_1h,forecast_peak_hour_spread,forecast_peak_backfill_join_status,gfs_forecast_peak_delta_hours_local,ecmwf_forecast_peak_delta_hours_local,gfs_forecast_gap_to_running_native,ecmwf_forecast_gap_to_running_native,forecast_clock_source,label_current_yes_survives,label_future_break,period,decision_snapshot_dt,decision_last_obs_dt,decision_obs_age_min,month,log_current_yes_size,ask_gap_d1_no_minus_yes,gap_running_to_d1_low_native,gap_current_to_d1_low_native,minutes_since_running_max_capped,min_forecast_peak_delta_hours_local,max_forecast_peak_delta_hours_local,min_forecast_gap_to_running_native,max_forecast_gap_to_running_native,forecast_peak_models_agree_le_1h_num,p_hazard,p_weather_only,p_base,p_market,approx_metar_veto,p_hazard_edge,p_base_edge
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz,2026-05-19T22:30:53+00:00,17,Austin,2026-05-19,90-91,90.0,91.0,yes,0.78,3.6,0.01,10.0,0.77,3.6,10.0,0x938275b3155b126f8358047d45d58b7b5b90c575b3da910cf4745cc22aedd780,2306893,19619052537728519850457921059476509136485012209543376822860308003107134125879,KAUS,America/Chicago,38,26,2026-05-19T21:53:00+00:00,32.77777777777778,91.0,32.77777777777778,91.0,0.0,0.0,32.77777777777778,91.0,90-91,1.0,F,settled,pm_history,True,91.0,91.0,0.0,91,90-91,0.78,3.6,0.01,0.77,92-93,0.99,10.0,0.3,0.69,94-95,0.99,10.0,0.3,0.69,0.78,3.6,0.01,0.77,1.0,0.0,0.0,1.0,0.0,91.0,72.0,19.0,53.98,14.0,2.0,2.0,1.0,37.88333333333333,gfs_seamless,91.7,91.7,15.0,2026-05-19T15:00,20.0,2026-05-19T20:00:00Z,24.0,b9cb363f4a7d6754,backfill_gfs_primary,America/Chicago,-18000.0,2.0,no_fact_candidate,gfs_seamless,91.7,91.7,15.0,2026-05-19T15:00,20.0,2026-05-19T20:00:00Z,24.0,b9cb363f4a7d6754,America/Chicago,-18000.0,promoted_cache,ecmwf_ifs025,89.4,89.4,13.0,2026-05-19T13:00,18.0,2026-05-19T18:00:00Z,24.0,a8bf76149d51e8ae,America/Chicago,-18000.0,promoted_cache,True,True,0.0,2.0,matched_city_date,2.0,4.0,0.7000000000000028,-1.5999999999999943,backfill_gfs_primary,1,0,train,2026-05-19 22:30:53+00:00,2026-05-19 21:53:00+00:00,37.88333333333333,5,1.5260563034950494,0.20999999999999996,0.0,0.0,37.88333333333333,2.0,4.0,-1.5999999999999943,0.7000000000000028,0.0,0.9684969706131846,0.9846910188159079,0.8955148230953299,0.78,True,0.1884969706131846,0.1155148230953299
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz,2026-05-19T22:30:53+00:00,16,Denver,2026-05-19,48-49,48.0,49.0,yes,0.7,5.0,0.03,100.0,0.67,5.0,142.0,0xeaf307be310e314b5d0da8a3e7ce4704151b96682d4722a30908695459d556d1,2306902,69809657634799396441764993374814228988352760778829462272304688180576564300102,KBKF,America/Denver,28,18,2026-05-19T21:58:00+00:00,8.88888888888889,48.0,8.88888888888889,48.0,0.0,0.0,9.444444444444445,49.0,48-49,1.0,F,settled,pm_history,True,48.0,48.0,0.0,48,48-49,0.7,5.0,0.03,0.67,50-51,0.99,42.0,0.31,0.68,52-53,0.99,42.0,0.3,0.69,0.7,5.0,0.03,0.67,1.0,0.0,0.0,1.0,0.0,47.7,35.0,12.700000000000005,61.19,8.0,1.0,-0.5,,92.88333333333334,gfs_seamless,49.4,49.4,16.0,2026-05-19T16:00,22.0,2026-05-19T22:00:00Z,24.0,ce7086bef244e4cb,backfill_gfs_primary,America/Denver,-21600.0,0.0,matched_no_snapshot_ts,gfs_seamless,49.4,49.4,16.0,2026-05-19T16:00,22.0,2026-05-19T22:00:00Z,24.0,ce7086bef244e4cb,America/Denver,-21600.0,promoted_cache,ecmwf_ifs025,52.1,52.1,16.0,2026-05-19T16:00,22.0,2026-05-19T22:00:00Z,24.0,92e32eafdbf647d6,America/Denver,-21600.0,promoted_cache,True,True,1.0,0.0,matched_city_date,0.0,0.0,1.3999999999999986,4.100000000000001,backfill_gfs_primary,1,0,train,2026-05-19 22:30:53+00:00,2026-05-19 21:58:00+00:00,32.88333333333333,5,1.791759469228055,0.29000000000000004,1.0,1.0,92.88333333333334,0.0,0.0,1.3999999999999986,4.100000000000001,1.0,0.7151775991622006,0.7332022495095342,0.7391568235923281,0.7,False,0.015177599162200628,0.039156823592328194
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz,2026-05-19T23:30:53+00:00,19,NYC,2026-05-19,95,95.0,95.0,yes,0.988,14.57,0.922,8.69,0.066,5759.88,39.73,0x24c708d5f1f5475507b2f3c463712540d5ba81755598b3b60b84c71a81aeb6be,2306545,33730358622224315057312534237624939887189620997641644665851240762619150101557,KLGA,America/New_York,26,21,2026-05-19T22:51:00+00:00,35.0,95.0,35.0,95.0,0.0,0.0,35.0,95.0,95,1.0,F,settled,pm_history,True,95.0,95.0,0.0,95,95,0.988,14.57,0.922,0.066,96-97,0.99,5.0,0.855,0.135,98-99,0.999,405.98,0.997,0.002,0.988,14.57,0.922,0.066,1.0,0.0,0.0,1.0,0.0,95.0,61.0,34.0,32.6,8.0,1.0,0.0,5.0,39.88333333333333,,,,,,,,,,,,,,no_fact_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_backfill_city_date,,,,,missing,1,0,train,2026-05-19 23:30:53+00:00,2026-05-19 22:51:00+00:00,39.88333333333333,5,2.745345985845907,0.0020000000000000018,1.0,1.0,39.88333333333333,,,,,,0.842265674022332,0.8301143565938848,0.9491778827167372,0.988,True,-0.145734325977668,-0.03882211728326279
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz,2026-05-19T23:30:53+00:00,11,Wellington,2026-05-20,14,14.0,14.0,yes,0.009,55.45,0.001,6.1,0.008,932.85,6.1,0x7b17103d69c7c03e9c9bf50cfcde0dc6ac45150d31fc7d17fccc2fef6276473c,2289709,99311887342075823604083962381915772527721789210633945635498547168109065599604,NZWN,Pacific/Auckland,48,23,2026-05-19T23:00:00+00:00,13.88888888888889,57.0,13.88888888888889,57.0,0.0,0.0,15.0,59.0,15,1.0,C,settled,pm_history,False,13.88888888888889,13.88888888888889,0.0,14,14,0.009,55.45,0.001,0.008,15,0.33,4.0,0.27,0.06,16,0.68,31.71,0.49,0.19,0.009,55.45,0.001,0.008,0.0,1.0,0.0,0.0,0.0,59.0,50.0,9.0,72.02,19.0,3.0,1.7999999999999972,3.6000000000000014,0.8833333333333333,gfs_seamless,57.3,14.055555555555554,12.0,2026-05-20T12:00,0.0,2026-05-20T00:00:00Z,24.0,c2cd22034fe32d59,backfill_gfs_primary,Pacific/Auckland,43200.0,-1.0,matched_no_snapshot_ts,gfs_seamless,57.3,14.055555555555554,12.0,2026-05-20T12:00,0.0,2026-05-20T00:00:00Z,24.0,c2cd22034fe32d59,Pacific/Auckland,43200.0,promoted_cache,ecmwf_ifs025,57.2,14.000000000000002,14.0,2026-05-20T14:00,2.0,2026-05-20T02:00:00Z,24.0,2e79f1fee0a345f0,Pacific/Auckland,43200.0,promoted_cache,True,True,0.0,2.0,matched_city_date,-1.0,-3.0,0.1666666666666643,0.1111111111111124,backfill_gfs_primary,0,1,train,2026-05-19 23:30:53+00:00,2026-05-19 23:00:00+00:00,30.883333333333333,5,4.033355290595671,0.321,1.1111111111111107,1.1111111111111107,0.8833333333333333,-3.0,-1.0,0.1111111111111124,0.1666666666666643,0.0,0.04385864757054749,0.2754379778020003,0.04111428005379959,0.009,True,0.03485864757054749,0.03211428005379959
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz,2026-05-19T23:30:53+00:00,17,Denver,2026-05-19,48-49,48.0,49.0,yes,0.99,50.2,0.61,19.44,0.38,200.2,19.44,0xeaf307be310e314b5d0da8a3e7ce4704151b96682d4722a30908695459d556d1,2306902,69809657634799396441764993374814228988352760778829462272304688180576564300102,KBKF,America/Denver,28,19,2026-05-19T22:58:00+00:00,9.444444444444445,49.0,9.444444444444445,49.0,0.0,0.0,9.444444444444445,49.0,48-49,1.0,F,settled,pm_history,True,49.0,49.0,0.0,49,48-49,0.99,50.2,0.61,0.38,50-51,0.99,5.0,0.65,0.34,52-53,0.99,5.0,0.5,0.49,0.99,50.2,0.61,0.38,1.0,0.0,0.0,1.0,0.0,48.7,35.0,13.700000000000005,58.94,6.0,1.0,1.0,3.700000000000003,,gfs_seamless,49.4,49.4,16.0,2026-05-19T16:00,22.0,2026-05-19T22:00:00Z,24.0,ce7086bef244e4cb,backfill_gfs_primary,America/Denver,-21600.0,1.0,matched_no_snapshot_ts,gfs_seamless,49.4,49.4,16.0,2026-05-19T16:00,22.0,2026-05-19T22:00:00Z,24.0,ce7086bef244e4cb,America/Denver,-21600.0,promoted_cache,ecmwf_ifs025,52.1,52.1,16.0,2026-05-19T16:00,22.0,2026-05-19T22:00:00Z,24.0,92e32eafdbf647d6,America/Denver,-21600.0,promoted_cache,True,True,1.0,0.0,matched_city_date,1.0,1.0,0.3999999999999986,3.1000000000000014,backfill_gfs_primary,1,0,train,2026-05-19 23:30:53+00:00,2026-05-19 22:58:00+00:00,32.88333333333333,5,3.9357395320454622,0.0,0.0,0.0,,1.0,1.0,0.3999999999999986,3.1000000000000014,1.0,0.9196137779204453,0.8944302094428216,0.9075337859537441,0.99,True,-0.0703862220795547,-0.08246621404625587
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0830.jsonl.gz,2026-05-20T00:30:53+00:00,12,Wellington,2026-05-20,15,15.0,15.0,yes,0.8,8.0,0.69,7.7,0.11,8.0,7.7,0x6ba08f2de4c4057e986a0f11913eb239441ebaa1b9d10edb6a0b8ffea8f5e30b,2289710,84776261385053919248107810660459121418936399489368055123782879839394073505613,NZWN,Pacific/Auckland,48,25,2026-05-20T00:00:00+00:00,15.0,59.0,15.0,59.0,0.0,0.0,15.0,59.0,15,1.0,C,settled,pm_history,False,15.0,15.0,0.0,15,15,0.8,8.0,0.69,0.11,16,0.85,10.0,0.62,0.23,17,0.98,16.47,0.94,0.04,0.8,8.0,0.69,0.11,1.0,0.0,0.0,1.0,0.0,59.0,50.0,9.0,72.02,20.0,3.0,0.0,1.7999999999999972,0.8833333333333333,gfs_seamless,57.3,14.055555555555554,12.0,2026-05-20T12:00,0.0,2026-05-20T00:00:00Z,24.0,c2cd22034fe32d59,backfill_gfs_primary,Pacific/Auckland,43200.0,0.0,matched_no_snapshot_ts,gfs_seamless,57.3,14.055555555555554,12.0,2026-05-20T12:00,0.0,2026-05-20T00:00:00Z,24.0,c2cd22034fe32d59,Pacific/Auckland,43200.0,promoted_cache,ecmwf_ifs025,57.2,14.000000000000002,14.0,2026-05-20T14:00,2.0,2026-05-20T02:00:00Z,24.0,2e79f1fee0a345f0,Pacific/Auckland,43200.0,promoted_cache,True,True,0.0,2.0,matched_city_date,0.0,-2.0,-0.9444444444444464,-0.9999999999999982,backfill_gfs_primary,1,0,train,2026-05-20 00:30:53+00:00,2026-05-20 00:00:00+00:00,30.883333333333333,5,2.1972245773362196,0.04999999999999993,1.0,1.0,0.8833333333333333,-2.0,0.0,-0.9999999999999982,-0.9444444444444464,0.0,0.8913873726368372,0.7501100991907649,0.8481773945156584,0.8,True,0.09138737263683716,0.04817739451565839
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0930.jsonl.gz,2026-05-20T01:30:53+00:00,13,Wellington,2026-05-20,15,15.0,15.0,yes,0.89,18.0,0.79,8.0,0.1,119.23,55.7,0x6ba08f2de4c4057e986a0f11913eb239441ebaa1b9d10edb6a0b8ffea8f5e30b,2289710,84776261385053919248107810660459121418936399489368055123782879839394073505613,NZWN,Pacific/Auckland,48,27,2026-05-20T01:00:00+00:00,15.0,59.0,15.0,59.0,0.0,0.0,15.0,59.0,15,1.0,C,settled,pm_history,False,15.0,15.0,0.0,15,15,0.89,18.0,0.79,0.1,16,0.87,22.0,0.81,0.06,17,0.997,98.83,0.996,0.001,0.89,18.0,0.79,0.1,1.0,0.0,0.0,1.0,0.0,59.0,50.0,9.0,72.02,22.0,3.0,0.0,1.7999999999999972,0.8833333333333333,gfs_seamless,57.3,14.055555555555554,12.0,2026-05-20T12:00,0.0,2026-05-20T00:00:00Z,24.0,c2cd22034fe32d59,backfill_gfs_primary,Pacific/Auckland,43200.0,1.0,matched_no_snapshot_ts,gfs_seamless,57.3,14.055555555555554,12.0,2026-05-20T12:00,0.0,2026-05-20T00:00:00Z,24.0,c2cd22034fe32d59,Pacific/Auckland,43200.0,promoted_cache,ecmwf_ifs025,57.2,14.000000000000002,14.0,2026-05-20T14:00,2.0,2026-05-20T02:00:00Z,24.0,2e79f1fee0a345f0,Pacific/Auckland,43200.0,promoted_cache,True,True,0.0,2.0,matched_city_date,1.0,-1.0,-0.9444444444444464,-0.9999999999999982,backfill_gfs_primary,1,0,train,2026-05-20 01:30:53+00:00,2026-05-20 01:00:00+00:00,30.883333333333333,5,2.9444389791664403,-0.020000000000000018,1.0,1.0,0.8833333333333333,-1.0,1.0,-0.9999999999999982,-0.9444444444444464,0.0,0.9464900376176988,0.8917569601287186,0.9297981936873139,0.89,True,0.056490037617698774,0.039798193687313854
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0930.jsonl.gz,2026-05-20T01:30:53+00:00,10,Tokyo,2026-05-20,26,26.0,26.0,yes,0.017,29.43,0.01,10.0,0.007,99.63,362.96,0xad599d62ca44c7203d9c2838ff0eba6898b9bcf4c400b163b15f903bcb4ba63a,2289757,114853848121019830622184384523058348597402616900298985083341540056974827755188,RJTT,Asia/Tokyo,48,21,2026-05-20T01:00:00+00:00,26.11111111111111,79.0,26.11111111111111,79.0,0.0,0.0,27.77777777777778,82.0,27+,1.0,C,settled,pm_history,False,26.11111111111111,26.11111111111111,0.0,26,26,0.017,29.43,0.01,0.007,27+,0.011,1.81,0.01,0.001,,,,,,0.017,29.43,0.01,0.007,0.0,1.0,0.0,0.0,0.0,78.8,66.2,12.599999999999994,65.39,15.0,1.0,0.0,1.7999999999999972,,open_meteo_live_gfs,,,,,,,,,,,,,matched_no_snapshot_ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_backfill_city_date,,,,,missing,0,1,train,2026-05-20 01:30:53+00:00,2026-05-20 01:00:00+00:00,30.883333333333333,5,3.4154289639088797,-0.006000000000000002,0.8888888888888893,0.8888888888888893,,,,,,,0.051154142604335325,0.43638506331355925,0.017822964319053,0.017,True,0.03415414260433532,0.0008229643190529982
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_1000.jsonl.gz,2026-05-20T02:00:53+00:00,10,Singapore,2026-05-20,31,31.0,31.0,yes,0.06,10.0,0.03,34.0,0.03,43.0,298.5,0x68e294c2816e0d78a4f425297ff8e74ea89dc98c48b95181bffca3268e4b16b2,2289786,7796623858473502898762843763663094777349787786169650504694291942454884218902,WSSS,Asia/Singapore,52,21,2026-05-20T02:00:00+00:00,31.11111111111111,88.0,31.11111111111111,88.0,0.0,0.0,32.77777777777778,91.0,33,1.0,C,settled,pm_history,False,31.11111111111111,31.11111111111111,0.0,31,31,0.06,10.0,0.03,0.03,32,0.64,10.18,0.49,0.15,33,0.62,10.73,0.58,0.04,0.06,10.0,0.03,0.03,0.0,0.0,1.0,0.0,1.0,87.8,78.8,9.0,74.84,2.0,2.0,0.0,5.3999999999999915,1080.8833333333334,gfs_seamless,88.5,31.38888888888889,14.0,2026-05-20T14:00,6.0,2026-05-20T06:00:00Z,24.0,310d0d0be1a1392c,backfill_gfs_primary,Asia/Singapore,28800.0,-4.0,matched_no_snapshot_ts,gfs_seamless,88.5,31.38888888888889,14.0,2026-05-20T14:00,6.0,2026-05-20T06:00:00Z,24.0,310d0d0be1a1392c,Asia/Singapore,28800.0,promoted_cache,ecmwf_ifs025,90.0,32.22222222222222,14.0,2026-05-20T14:00,6.0,2026-05-20T06:00:00Z,24.0,1eb6dfd2c75c987a,Asia/Singapore,28800.0,promoted_cache,True,True,1.0,0.0,matched_city_date,-4.0,-4.0,0.2777777777777785,1.1111111111111107,backfill_gfs_primary,0,1,train,2026-05-20 02:00:53+00:00,2026-05-20 02:00:00+00:00,0.8833333333333333,5,2.3978952727983707,0.5800000000000001,0.8888888888888893,0.8888888888888893,240.0,-4.0,-4.0,0.2777777777777785,1.1111111111111107,1.0,0.008086369707520776,0.019121396844062492,0.02464631832412109,0.06,True,-0.051913630292479224,-0.035353681675878906
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_1030.jsonl.gz,2026-05-20T02:30:53+00:00,10,Taipei,2026-05-20,31,31.0,31.0,yes,0.001,260.0,,,,384.59,0.0,0x3155c257592a1c2ffdcef6edc27950035e76a0ccbca10e48c7eb739b972ec7de,2289830,102083874315145948842669197833152663863592257824192254851496375757076782965270,RCSS,Asia/Taipei,43,15,2026-05-20T02:00:00+00:00,31.11111111111111,88.0,31.11111111111111,88.0,0.0,0.0,35.0,95.0,35,1.0,C,settled,pm_history,False,31.11111111111111,31.11111111111111,0.0,31,31,0.001,260.0,,,32,0.82,46.87,0.7,0.12,33,0.73,10.0,0.6,0.13,0.001,260.0,,,0.0,0.0,0.0,0.0,1.0,89.6,75.2,14.399999999999991,62.78,10.0,1.0,3.5999999999999943,7.199999999999989,0.8833333333333333,gfs_seamless,92.4,33.55555555555556,13.0,2026-05-20T13:00,5.0,2026-05-20T05:00:00Z,24.0,25df105cc2fab1d4,backfill_gfs_primary,Asia/Taipei,28800.0,-3.0,matched_no_snapshot_ts,gfs_seamless,92.4,33.55555555555556,13.0,2026-05-20T13:00,5.0,2026-05-20T05:00:00Z,24.0,25df105cc2fab1d4,Asia/Taipei,28800.0,promoted_cache,ecmwf_ifs025,89.4,31.88888888888889,14.0,2026-05-20T14:00,6.0,2026-05-20T06:00:00Z,24.0,b0a8ff7fd7a12f98,Asia/Taipei,28800.0,promoted_cache,True,True,1.0,1.0,matched_city_date,-3.0,-4.0,2.4444444444444464,0.7777777777777786,backfill_gfs_primary,0,1,train,2026-05-20 02:30:53+00:00,2026-05-20 02:00:00+00:00,30.883333333333333,5,5.564520407322694,0.819,0.8888888888888893,0.8888888888888893,0.8833333333333333,-4.0,-3.0,0.7777777777777786,2.4444444444444464,1.0,0.014667504742303168,0.010539434004849869,0.04595192257349596,0.001,True,0.013667504742303167,0.04495192257349596
