city,rows,city_dates,mean_error,median_error,p10_error,p90_error,under_by_1_rate,under_by_2_rate,over_by_1_rate,min_error,max_error
Seattle,54,2,7.3811,10.16,-0.24,11.96,0.0,0.0,0.8519,-0.66,12.56
Dallas,53,2,7.6781,11.4,1.92,11.6,0.0,0.0,1.0,1.02,11.6
Austin,52,2,10.5062,16.22,1.51,16.92,0.0,0.0,1.0,1.3,17.02
Denver,52,2,18.395,31.44,-0.78,32.24,0.0,0.0,0.6923,-0.88,32.24
Miami,52,2,6.1696,8.28,1.95,9.38,0.0,0.0,1.0,1.74,9.38
SanFrancisco,52,2,1.6738,6.28,-6.44,7.08,0.4038,0.4038,0.5962,-6.44,7.08
Chicago,51,2,10.1129,14.36,3.06,14.96,0.0,0.0,1.0,1.96,14.96
LA,51,2,2.3498,2.96,-0.46,4.96,0.0,0.0,0.5882,-0.56,4.96
London,51,2,2.9373,4.1,-0.9,5.4,0.0,0.0,0.7647,-0.9,6.6
Madrid,51,2,4.1216,6.9,-0.5,7.3,0.0,0.0,0.6078,-0.6,7.3
Amsterdam,50,2,2.174,2.4,0.6,3.7,0.0,0.0,0.78,0.6,3.7
Houston,50,2,7.9512,11.04,1.06,12.76,0.0,0.0,0.9,0.38,12.94
Karachi,50,2,2.066,0.6,-0.5,5.36,0.0,0.0,0.38,-0.5,5.9
Paris,50,2,4.582,5.7,1.4,7.4,0.0,0.0,1.0,1.2,7.4
Ankara,49,2,4.1122,3.3,3.1,6.1,0.0,0.0,1.0,3.1,6.1
Atlanta,49,2,8.7065,11.68,2.2,12.48,0.0,0.0,0.9592,0.78,12.48
Munich,49,2,2.8184,3.6,0.9,4.2,0.0,0.0,0.8163,0.0,4.2
Helsinki,47,2,1.9979,1.6,1.3,2.9,0.0,0.0,1.0,1.3,5.2
NYC,47,2,8.9472,9.82,4.78,12.92,0.0,0.0,1.0,3.98,13.32
CapeTown,46,2,4.6891,4.6,4.3,5.4,0.0,0.0,1.0,4.3,5.4
Milan,46,2,6.7978,6.8,5.9,8.7,0.0,0.0,1.0,5.9,8.7
PanamaCity,46,2,4.0543,5.8,-0.2,6.4,0.0,0.0,0.6739,-0.2,6.4
SaoPaulo,45,2,5.46,8.8,-2.4,9.3,0.3111,0.3111,0.6889,-2.5,9.3
BuenosAires,44,2,7.6227,11.2,-1.4,11.7,0.2955,0.0,0.7045,-1.4,11.7
Jeddah,43,2,3.6907,2.4,1.7,7.6,0.0,0.0,1.0,1.7,8.4
Warsaw,42,2,6.519,7.35,4.9,7.5,0.0,0.0,1.0,3.3,7.5
Beijing,31,1,-2.0032,-2.3,-2.7,-0.9,0.6774,0.6774,0.0,-2.7,-0.9
Busan,31,1,-0.3323,-0.3,-0.4,-0.3,0.0,0.0,0.0,-0.4,-0.3
Chongqing,31,1,-0.3355,-1.0,-1.2,1.3,0.6774,0.0,0.3226,-1.2,1.3
Guangzhou,31,1,-2.6258,-2.8,-2.9,-1.9,1.0,0.871,0.0,-2.9,-1.9
KualaLumpur,31,1,-1.0194,-0.8,-2.0,-0.4,0.2903,0.2903,0.0,-2.0,-0.4
Lucknow,31,1,3.4548,3.7,2.7,3.9,0.0,0.0,1.0,2.7,3.9
Manila,31,1,2.0516,2.6,0.1,3.3,0.0,0.0,0.6452,0.1,3.3
Shanghai,31,1,-1.7484,-2.2,-2.6,-0.2,0.7742,0.6452,0.0,-2.6,-0.2
Singapore,30,1,2.44,2.4,2.3,2.6,0.0,0.0,1.0,2.3,2.6
Taipei,30,1,-1.0067,-1.1,-1.2,-0.7,0.5333,0.0,0.0,-1.2,-0.7
Tokyo,30,1,0.92,1.2,-0.8,1.6,0.0,0.0,0.8,-0.8,1.6
Wellington,30,1,-1.1633,-1.1,-1.3,-1.1,1.0,0.0,0.0,-1.3,-1.1
Wuhan,30,1,1.24,1.1,1.0,1.7,0.0,0.0,1.0,1.0,1.7
Chengdu,28,1,-3.2107,-3.6,-4.5,-1.7,1.0,0.6429,0.0,-4.5,-1.7
