profile,period,expression,rows,active_dates,cities,avg_cost,cost,pnl,roi,win_rate,current_hit_rate,d1_hit_rate,d2_hit_rate,skip_over_rate,excess_roi_vs_current_yes,ci95,reps
all_current_d1_h13_17,train,current_yes,2336,13,36,0.709451198630137,1657.278,-39.278,-0.023700308578283185,0.6926369863013698,0.6926369863013698,0.1934931506849315,0.08561643835616438,0.028253424657534245,0.0,"[0.0, 0.0]",0
all_current_d1_h13_17,train,d1_no,2392,13,36,0.8202809364548495,1962.1119999999999,-41.111999999999995,-0.020952932350446863,0.8030936454849499,0.6835284280936454,0.19690635451505017,0.08612040133779264,0.033444816053511704,0.0024656719215461684,"[-0.011333001379942519, 0.0157999415184889]",3000
all_current_d1_h13_17,train,d2_no,1953,13,36,0.921695340501792,1800.071,-53.071,-0.02948272595914272,0.894521249359959,0.6338965693804404,0.22119815668202766,0.10547875064004096,0.03942652329749104,0.0029945561355323794,"[-0.019417228564633588, 0.025461100833310584]",3000
all_current_d1_h13_17,train,no_ladder,1953,13,36,1.7210194572452635,3361.151,-93.15099999999998,-0.02771401820388313,0.6738351254480287,0.6338965693804404,0.22119815668202766,0.10547875064004096,0.03942652329749104,0.004046378092668296,"[-0.014388124420301424, 0.020774264626899762]",3000
all_current_d1_h13_17,holdout,current_yes,2619,14,36,0.7303130966017564,1912.69,-49.68999999999998,-0.025979118414379738,0.711340206185567,0.711340206185567,0.1882397861779305,0.07407407407407407,0.026345933562428408,0.0,"[0.0, 0.0]",0
all_current_d1_h13_17,holdout,d1_no,2701,14,36,0.8201740096260645,2215.29,-45.28999999999999,-0.02044427591872847,0.8034061458718993,0.6975194372454646,0.1965938541281007,0.07552758237689744,0.030359126249537207,0.0050051210871299365,"[-0.014795515315979304, 0.025830851995406686]",3000
all_current_d1_h13_17,holdout,d2_no,2257,14,36,0.9257315019937972,2089.376,-36.376,-0.01740998269339745,0.9096145325653522,0.6508639787328312,0.22374833850243686,0.09038546743464776,0.035002215330084185,0.013231710811156875,"[-0.021297622273790534, 0.04387339958818541]",3000
all_current_d1_h13_17,holdout,no_ladder,2257,14,36,1.7205108551174126,3883.193,-78.19299999999998,-0.020136264151691657,0.6867523260965884,0.6508639787328312,0.22374833850243686,0.09038546743464776,0.035002215330084185,0.00979393677250981,"[-0.015474105996193553, 0.03500848989124546]",3000
all_current_d1_h13_17,new_2026_06_10_14,current_yes,822,5,36,0.714896593673966,587.645,-3.6449999999999942,-0.006202724433969479,0.7104622871046229,0.7104622871046229,0.18613138686131386,0.08029197080291971,0.023114355231143552,0.0,"[0.0, 0.0]",0
all_current_d1_h13_17,new_2026_06_10_14,d1_no,854,5,36,0.815023419203747,696.03,-9.029999999999996,-0.01297357872505495,0.8044496487119438,0.689695550351288,0.1955503512880562,0.08430913348946135,0.03044496487119438,-0.006276351636140067,"[-0.04842279739656188, 0.048290832696745854]",3000
