state_key,orderbook_file,snapshot_ts_utc,snapshot_ts_local,decision_hour_local,city,target_date,unit,winner_label,running_max_c,running_max_f,current_temp_c,final_max_c,final_max_f,running_value,decline,period,materialized_period,current_bracket,yes_current_ask,yes_current_size,current_yes_wins,yes_current_pnl,d1_no_bracket,d1_no_ask,d1_no_size,d1_hit,d1_no_pnl,d1_skip_over_wins_no_only,d2_no_bracket,d2_no_ask,d2_no_size,d2_hit,d2_no_pnl,d2_skip_over_wins_no_only,has_d1_no,has_d2_no,current_yes_cost,d1_no_cost,d2_no_cost,current_yes_pnl,settlement_state,ladder_cost,ladder_pnl,can_ladder,d1_no_minus_yes_pnl,d2_no_minus_yes_pnl,ladder_minus_yes_pnl
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz|Austin|2026-05-19|2026-05-19T22:30:53+00:00|17|90-91,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz,2026-05-19T22:30:53+00:00,2026-05-19T22:30:53+00:00,17,Austin,2026-05-19,F,90-91,32.77777777777778,91.0,32.77777777777778,32.77777777777778,91.0,91,0.0,train,factory_v1,90-91,0.78,3.6,True,0.21999999999999997,92-93,0.99,10.0,False,0.010000000000000009,False,94-95,0.99,10.0,False,0.010000000000000009,False,True,True,0.78,0.99,0.99,0.21999999999999997,current_hit,1.98,0.020000000000000018,True,-0.20999999999999996,-0.20999999999999996,-0.19999999999999996
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz|Denver|2026-05-19|2026-05-19T22:30:53+00:00|16|48-49,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz,2026-05-19T22:30:53+00:00,2026-05-19T22:30:53+00:00,16,Denver,2026-05-19,F,48-49,8.88888888888889,48.0,8.88888888888889,9.444444444444445,49.0,48,0.0,train,factory_v1,48-49,0.7,5.0,True,0.30000000000000004,50-51,0.99,42.0,False,0.010000000000000009,False,52-53,0.99,42.0,False,0.010000000000000009,False,True,True,0.7,0.99,0.99,0.30000000000000004,current_hit,1.98,0.020000000000000018,True,-0.29000000000000004,-0.29000000000000004,-0.28
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz|SanFrancisco|2026-05-19|2026-05-19T22:30:53+00:00|15|80-81,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0630.jsonl.gz,2026-05-19T22:30:53+00:00,2026-05-19T22:30:53+00:00,15,SanFrancisco,2026-05-19,F,80-81,26.666666666666668,80.0,26.11111111111111,26.666666666666668,80.0,80,0.5555555555555571,train,factory_v1,80-81,0.49,7.41,True,0.51,82-83,0.99,65.18,False,0.010000000000000009,False,84-85,0.99,65.18,False,0.010000000000000009,False,True,True,0.49,0.99,0.99,0.51,current_hit,1.98,0.020000000000000018,True,-0.5,-0.5,-0.49
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0700.jsonl.gz|Denver|2026-05-19|2026-05-19T23:00:53+00:00|17|48-49,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0700.jsonl.gz,2026-05-19T23:00:53+00:00,2026-05-19T23:00:53+00:00,17,Denver,2026-05-19,F,48-49,9.444444444444445,49.0,9.444444444444445,9.444444444444445,49.0,49,0.0,train,factory_v1,48-49,0.99,50.2,True,0.010000000000000009,50-51,0.99,5.0,False,0.010000000000000009,False,52-53,0.99,5.0,False,0.010000000000000009,False,True,True,0.99,0.99,0.99,0.010000000000000009,current_hit,1.98,0.020000000000000018,True,0.0,0.0,0.010000000000000009
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0700.jsonl.gz|SanFrancisco|2026-05-19|2026-05-19T23:00:53+00:00|16|80-81,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0700.jsonl.gz,2026-05-19T23:00:53+00:00,2026-05-19T23:00:53+00:00,16,SanFrancisco,2026-05-19,F,80-81,26.666666666666668,80.0,26.11111111111111,26.666666666666668,80.0,80,0.5555555555555571,train,factory_v1,80-81,0.992,22.27,True,0.008000000000000007,82-83,0.999,150.0,False,0.0010000000000000009,False,84-85,0.999,215.18,False,0.0010000000000000009,False,True,True,0.992,0.999,0.999,0.008000000000000007,current_hit,1.998,0.0020000000000000018,True,-0.007000000000000006,-0.007000000000000006,-0.006000000000000005
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz|Denver|2026-05-19|2026-05-19T23:30:53+00:00|17|48-49,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz,2026-05-19T23:30:53+00:00,2026-05-19T23:30:53+00:00,17,Denver,2026-05-19,F,48-49,9.444444444444445,49.0,9.444444444444445,9.444444444444445,49.0,49,0.0,train,factory_v1,48-49,0.99,50.2,True,0.010000000000000009,50-51,0.99,5.0,False,0.010000000000000009,False,52-53,0.99,5.0,False,0.010000000000000009,False,True,True,0.99,0.99,0.99,0.010000000000000009,current_hit,1.98,0.020000000000000018,True,0.0,0.0,0.010000000000000009
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz|LA|2026-05-19|2026-05-19T23:30:53+00:00|16|74-75,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz,2026-05-19T23:30:53+00:00,2026-05-19T23:30:53+00:00,16,LA,2026-05-19,F,74-75,23.333333333333332,74.0,21.666666666666668,23.333333333333332,74.0,74,1.6666666666666643,train,factory_v1,74-75,0.98,18.0,True,0.020000000000000018,76-77,0.99,52.0,False,0.010000000000000009,False,78-79,0.99,42.0,False,0.010000000000000009,False,True,True,0.98,0.99,0.99,0.020000000000000018,current_hit,1.98,0.020000000000000018,True,-0.010000000000000009,-0.010000000000000009,0.0
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz|SanFrancisco|2026-05-19|2026-05-19T23:30:53+00:00|16|80-81,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0730.jsonl.gz,2026-05-19T23:30:53+00:00,2026-05-19T23:30:53+00:00,16,SanFrancisco,2026-05-19,F,80-81,26.666666666666668,80.0,26.11111111111111,26.666666666666668,80.0,80,0.5555555555555571,train,factory_v1,80-81,0.992,22.27,True,0.008000000000000007,82-83,0.999,150.0,False,0.0010000000000000009,False,84-85,0.999,215.18,False,0.0010000000000000009,False,True,True,0.992,0.999,0.999,0.008000000000000007,current_hit,1.998,0.0020000000000000018,True,-0.007000000000000006,-0.007000000000000006,-0.006000000000000005
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0930.jsonl.gz|Wellington|2026-05-20|2026-05-20T01:30:53+00:00|13|15,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0930.jsonl.gz,2026-05-20T01:30:53+00:00,2026-05-20T01:30:53+00:00,13,Wellington,2026-05-20,C,15,15.0,59.0,15.0,15.0,59.0,15,0.0,train,factory_v1,15,0.89,18.0,True,0.10999999999999999,16,0.87,22.0,False,0.13,False,17,0.997,98.83,False,0.0030000000000000027,False,True,True,0.89,0.87,0.997,0.10999999999999999,current_hit,1.867,0.133,True,0.020000000000000018,-0.10699999999999998,0.02300000000000002
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_1030.jsonl.gz|Wellington|2026-05-20|2026-05-20T02:30:53+00:00|14|15,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_1030.jsonl.gz,2026-05-20T02:30:53+00:00,2026-05-20T02:30:53+00:00,14,Wellington,2026-05-20,C,15,15.0,59.0,15.0,15.0,59.0,15,0.0,train,factory_v1,15,0.92,11.0,True,0.07999999999999996,16,0.95,35.0,False,0.050000000000000044,False,17,0.999,25.87,False,0.0010000000000000009,False,True,True,0.92,0.95,0.999,0.07999999999999996,current_hit,1.9489999999999998,0.051000000000000045,True,-0.029999999999999916,-0.07899999999999996,-0.028999999999999915
