profile,period,settlement_state,rows,dates,current_yes_pnl,d1_no_pnl,d2_no_pnl,ladder_pnl,d1_no_minus_yes_pnl,d2_no_minus_yes_pnl,ladder_minus_yes_pnl
all_current_d1_h13_17,holdout,current_hit,1884,14,188.943,155.73000000000002,20.021000000000008,165.42700000000002,-33.241,-158.368,-12.963999999999995
all_current_d1_h13_17,holdout,d1_hit,531,13,-208.447,-282.391,53.141000000000005,-215.44899999999998,-72.108,244.927,-21.831999999999997
all_current_d1_h13_17,holdout,d2_hit,204,14,-27.391000000000002,69.799,-133.772,-63.973,95.255,-100.442,-32.578
all_current_d1_h13_17,holdout,skip_over,82,13,-2.795,11.572000000000001,24.234,35.802,14.238000000000001,25.267,36.71
all_current_d1_h13_17,all,current_hit,3519,27,367.346,291.788,41.44400000000002,312.48400000000004,-75.62100000000001,-303.778,-32.76299999999999
all_current_d1_h13_17,all,d1_hit,1002,25,-396.762,-540.844,97.742,-417.831,-139.218,466.164,-44.559999999999995
all_current_d1_h13_17,all,d2_hit,410,26,-53.255,141.085,-271.898,-130.813,189.797,-208.253,-71.711
all_current_d1_h13_17,all,skip_over,162,25,-6.297,21.569000000000003,43.265,64.816,27.59,47.246,68.539
current_d1_d2_visible,holdout,current_hit,1469,14,178.387,145.406,20.021000000000008,165.42700000000002,-32.983000000000004,-158.368,-12.963999999999995
current_d1_d2_visible,holdout,d1_hit,505,13,-192.896,-268.59,53.141000000000005,-215.44899999999998,-73.863,244.927,-21.831999999999997
current_d1_d2_visible,holdout,d2_hit,204,14,-27.391000000000002,69.799,-133.772,-63.973,95.255,-100.442,-32.578
current_d1_d2_visible,holdout,skip_over,79,13,-2.795,11.568000000000001,24.234,35.802,14.238000000000001,25.267,36.71
current_d1_d2_visible,all,current_hit,2707,27,345.21000000000004,271.04,41.44400000000002,312.48400000000004,-74.19500000000001,-303.778,-32.76299999999999
current_d1_d2_visible,all,d1_hit,937,25,-369.973,-515.573,97.742,-417.831,-140.751,466.164,-44.559999999999995
current_d1_d2_visible,all,d2_hit,410,26,-53.255,141.085,-271.898,-130.813,189.797,-208.253,-71.711
current_d1_d2_visible,all,skip_over,156,25,-6.297,21.551000000000002,43.265,64.816,27.59,47.246,68.539
fade_high_current_yes,holdout,current_hit,923,13,30.450000000000006,26.546000000000003,2.508000000000002,25.927000000000007,-3.9040000000000017,-24.612000000000002,-1.1929999999999996
fade_high_current_yes,holdout,d1_hit,31,9,-26.98,-27.395,0.29500000000000026,-23.223,-0.4149999999999999,23.39,-0.12799999999999967
fade_high_current_yes,holdout,d2_hit,2,2,-1.6400000000000001,0.30999999999999994,-1.96,-1.65,1.95,-0.31999999999999995,-0.010000000000000009
fade_high_current_yes,all,current_hit,1680,26,54.006000000000014,45.69400000000001,5.149000000000004,45.62900000000001,-8.312000000000003,-43.16400000000001,-2.6839999999999984
fade_high_current_yes,all,d1_hit,61,21,-51.491,-52.707,0.9930000000000008,-44.361,-1.2159999999999997,44.843,-0.510999999999999
fade_high_current_yes,all,d2_hit,4,3,-3.39,0.5299999999999999,-3.92,-3.39,3.92,-0.5299999999999999,0.0
d1_high_carry,holdout,current_hit,923,13,24.302000000000007,20.583000000000006,2.2670000000000017,20.672000000000004,-3.7400000000000015,-19.705000000000002,-1.2999999999999998
d1_high_carry,holdout,d1_hit,29,9,-25.62,-25.975,0.27700000000000025,-21.820999999999998,-0.355,22.012,-0.08599999999999974
d1_high_carry,holdout,d2_hit,5,5,-1.883,0.831,-3.69,-2.859,2.714,-1.807,-0.976
d1_high_carry,holdout,skip_over,8,4,-0.036,0.08400000000000007,1.1680000000000001,1.249,0.11000000000000007,1.036,1.1100000000000003
d1_high_carry,all,current_hit,1688,26,48.52600000000001,36.70800000000001,4.614000000000003,37.046000000000014,-11.852000000000002,-39.221000000000004,-6.790999999999999
d1_high_carry,all,d1_hit,52,19,-45.421,-46.457,0.8150000000000006,-39.769,-1.0359999999999998,40.355000000000004,-0.2289999999999992
d1_high_carry,all,d2_hit,8,7,-3.9570000000000003,1.271,-6.41,-5.139,5.228,-2.453,-1.182
d1_high_carry,all,skip_over,13,8,-0.195,0.43900000000000006,1.9680000000000002,2.39,0.61,1.995,2.41
d2_tail_carry,holdout,current_hit,650,13,31.342000000000006,26.464000000000002,3.052000000000002,29.516000000000005,-4.878000000000001,-28.290000000000003,-1.8259999999999994
d2_tail_carry,holdout,d1_hit,49,13,-26.235,-27.76,0.9720000000000004,-26.788,-1.363,27.166,-0.4319999999999995
d2_tail_carry,holdout,d2_hit,9,6,-3.49,3.561,-7.93,-4.369,7.051,-4.44,-0.8790000000000002
d2_tail_carry,holdout,skip_over,4,2,-0.016,0.03700000000000003,0.4880000000000001,0.5250000000000001,0.04600000000000003,0.3360000000000001,0.3660000000000001
d2_tail_carry,all,current_hit,1164,26,58.27500000000001,44.903000000000006,5.930000000000003,50.83300000000001,-13.374000000000002,-52.34700000000001,-7.445999999999998
d2_tail_carry,all,d1_hit,94,24,-50.427,-56.32,3.462000000000001,-52.858,-5.638,53.837,-2.227999999999999
d2_tail_carry,all,d2_hit,14,10,-6.054,5.021,-12.38,-7.359,11.075,-6.3260000000000005,-1.3050000000000002
d2_tail_carry,all,skip_over,4,2,-0.016,0.03700000000000003,0.4880000000000001,0.5250000000000001,0.04600000000000003,0.3360000000000001,0.3660000000000001
two_leg_ladder_high_carry,holdout,current_hit,635,13,24.049000000000007,20.329000000000004,2.403000000000002,22.732000000000006,-3.7200000000000015,-21.646000000000004,-1.3169999999999997
two_leg_ladder_high_carry,holdout,d1_hit,27,9,-23.095,-23.518,0.29500000000000026,-23.223,-0.42299999999999993,23.39,-0.12799999999999967
two_leg_ladder_high_carry,holdout,d2_hit,3,3,-1.69,0.361,-2.77,-2.409,2.051,-1.08,-0.719
two_leg_ladder_high_carry,holdout,skip_over,4,2,-0.016,0.03700000000000003,0.4880000000000001,0.5250000000000001,0.04600000000000003,0.3360000000000001,0.3660000000000001
two_leg_ladder_high_carry,all,current_hit,1144,26,49.14000000000001,36.46600000000001,5.370000000000003,41.83600000000001,-12.676000000000002,-43.772000000000006,-7.307999999999999
two_leg_ladder_high_carry,all,d1_hit,49,20,-41.49,-42.744,0.8430000000000006,-41.900999999999996,-1.2539999999999998,42.333,-0.41099999999999914
two_leg_ladder_high_carry,all,d2_hit,7,6,-4.244,1.101,-6.32,-5.219,5.345,-2.0759999999999996,-0.975
two_leg_ladder_high_carry,all,skip_over,4,2,-0.016,0.03700000000000003,0.4880000000000001,0.5250000000000001,0.04600000000000003,0.3360000000000001,0.3660000000000001
