intraday_state,state_rows,cities,active_dates,reheat_any_rate,reheat_step_rate,capped_day_rate,avg_remaining_heat_native,avg_forecast_error_native,current_yes_n,current_yes_hit_rate,current_yes_roi,current_bracket_no_n,current_bracket_no_hit_rate,current_bracket_no_roi,d1_no_n,d1_no_hit_rate,d1_no_roi,d2_no_n,d2_no_hit_rate,d2_no_roi,lottery_yes_n,lottery_yes_hit_rate,lottery_yes_roi
active_warming,5055,36,50,0.7859545004945598,0.7859545004945598,0.23659742828882294,2.805780855039015,-0.4518826244642266,4201,0.27636277076886456,-0.09345247809176821,3762,0.6820839978734715,-0.025675685937986494,4404,0.7427338782924614,-0.013278656924741604,4461,0.7814391392064559,-0.042295326340752205,4856,0.022240527182866558,-0.22969387463981056
mature_fade,3588,36,49,0.026755852842809364,0.026755852842809364,0.8631549609810479,0.06788058961972004,-0.14109686609686592,2544,0.967374213836478,0.0024713505419496195,3175,0.024881889763779527,-0.3271957689982032,2122,0.9622997172478793,0.0011953546888988935,1129,0.9725420726306466,-0.0011834793200406419,3076,0.0,-1.0
fresh_high,2247,36,50,0.42990654205607476,0.42990654205607476,0.5772140631953716,0.9783414923601839,-0.05682638579834831,2113,0.6029342167534312,-0.021568500956927503,2120,0.3882075471698113,-0.10655935246722059,2151,0.7619711761971176,-0.0438208893924208,1945,0.8822622107969151,-0.004390313808514548,2188,0.009597806215722121,-0.40736559898405533
pullback_uncertain,1321,36,48,0.04769114307342922,0.04769114307342922,0.9220287660862982,0.08175624526873579,-0.39597106569097484,1153,0.9522983521248916,-0.0011580380851708317,1272,0.04245283018867924,-0.2919054300363227,1092,0.9578754578754579,-0.003437473799742376,702,0.98005698005698,-0.0012643876720024485,1224,0.0024509803921568627,-0.6499416569428238
plateau_near_high,831,35,49,0.4452466907340554,0.4452466907340554,0.5222623345367028,0.762802513705041,0.11859874314747978,764,0.5641361256544503,-0.0627949151731546,756,0.42592592592592593,-0.06106024377442121,794,0.7380352644836272,-0.05131326736776666,740,0.8689189189189189,-0.02464626362158095,815,0.0098159509202454,-0.36848752762867076
false_fade_risk,700,36,48,0.5557142857142857,0.5557142857142857,0.4342857142857143,1.8163492063492062,-0.04128571428571414,602,0.5,-0.03391565859028716,584,0.4794520547945205,-0.07744822178144747,619,0.7560581583198708,-0.04556995584741355,593,0.8566610455311973,-0.012785208879491772,677,0.008862629246676515,-0.5174521473379444
reheating_after_dip,396,35,49,0.14898989898989898,0.14898989898989898,0.797979797979798,0.3108866442199776,-0.15841750841750826,334,0.8413173652694611,-0.038362821258683816,363,0.12947658402203857,-0.00440603287578377,303,0.8646864686468647,-0.047144524899713776,208,0.9471153846153846,-0.003046527869151115,350,0.005714285714285714,-0.32272265492719276
state_unknown,131,26,8,0.022900763358778626,0.022900763358778626,0.04580152671755725,0.17642069550466494,4.093129770992367,26,0.15384615384615385,-0.8227028943752493,9,0.3333333333333333,0.2562814070351759,38,1.0,0.3687281633829198,58,0.9827586206896551,0.3439275693773135,131,0.015267175572519083,-0.3306559571619813
slow_warming,76,19,21,0.3026315789473684,0.3026315789473684,0.6973684210526315,0.4166666666666668,-1.2105263157894737,73,0.7123287671232876,-0.06826733560293854,74,0.28378378378378377,0.012829169480081013,72,0.8055555555555556,-0.026175724911432344,63,0.9206349206349206,-0.03289813749520618,72,0.013888888888888888,-0.6542185338865838
flat_or_cooling,24,11,14,0.125,0.125,0.875,0.20833333333333348,-1.0648148148148153,23,0.8695652173913043,-0.02396173930018055,24,0.125,-0.26864943929790347,22,0.9545454545454546,0.05527638190954775,11,0.8181818181818182,-0.1710417242332136,24,0.041666666666666664,-0.1326973113616652
