city,icao,decision_hour_local,city_days,rows,p50_residual_c,p75_residual_c,p90_residual_c,p95_residual_c,p99_residual_c,max_residual_c,residual_ge_0_5c_rate,residual_ge_1_0c_rate,residual_ge_1_5c_rate,bucket_delta_ge_1_rate,avg_obs_count_day,avg_obs_count_to_decision,physical_candidate_v0
Phoenix,KPHX,18,771,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.752269779507134,18.56809338521401,True
Phoenix,KPHX,19,771,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.752269779507134,19.61738002594034,True
Phoenix,KPHX,20,771,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.752269779507134,20.6485084306096,True
Phoenix,KPHX,21,771,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.752269779507134,21.688715953307394,True
Miami,KMIA,18,771,771,0.0,0.0,0.0,0.0,0.0,1.6666666666666643,0.0012970168612191958,0.0012970168612191958,0.0012970168612191958,0.0012970168612191958,27.084306095979247,20.627756160830092,True
Miami,KMIA,19,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0012970168612191958,0.0012970168612191958,0.0,0.0012970168612191958,27.084306095979247,21.71206225680934,True
Miami,KMIA,20,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0012970168612191958,0.0012970168612191958,0.0,0.0012970168612191958,27.084306095979247,22.763942931258107,True
Miami,KMIA,21,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0012970168612191958,0.0012970168612191958,0.0,0.0012970168612191958,27.084306095979247,23.827496757457848,True
Shanghai,ZSPD,21,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0025906735751295338,0.0025906735751295338,0.0,0.0025906735751295338,48.968911917098445,43.873056994818654,True
LA,KLAX,21,771,771,0.0,0.0,0.0,0.0,0.0,0.5555555555555554,0.0025940337224383916,0.0,0.0,0.0025940337224383916,28.8715953307393,25.311284046692606,True
Shanghai,ZSPD,20,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0038860103626943004,0.0038860103626943004,0.0012953367875647669,0.0038860103626943004,48.968911917098445,41.851036269430054,True
Shanghai,ZSPD,18,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0051813471502590676,0.0051813471502590676,0.0025906735751295338,0.0051813471502590676,48.968911917098445,37.78626943005181,True
Shanghai,ZSPD,19,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0051813471502590676,0.0051813471502590676,0.0012953367875647669,0.0051813471502590676,48.968911917098445,39.825129533678755,True
LA,KLAX,18,771,771,0.0,0.0,0.0,0.0,0.0,3.333333333333332,0.00648508430609598,0.0025940337224383916,0.0012970168612191958,0.005188067444876783,28.8715953307393,21.84046692607004,True
LA,KLAX,19,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111125,0.005188067444876783,0.0025940337224383916,0.0,0.005188067444876783,28.8715953307393,22.993514915693904,True
LA,KLAX,20,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.005188067444876783,0.0012970168612191958,0.0,0.005188067444876783,28.8715953307393,24.156939040207522,True
Tokyo,RJTT,21,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.007772020725388601,0.006476683937823834,0.0012953367875647669,0.006476683937823834,49.94559585492228,44.72279792746114,True
Warsaw,EPWA,21,771,771,0.0,0.0,0.0,0.0,0.5555555555555554,2.2222222222222223,0.011673151750972763,0.007782101167315175,0.0012970168612191958,0.007782101167315175,47.96238651102464,42.96887159533074,True
Tokyo,RJTT,20,772,772,0.0,0.0,0.0,0.0,0.7166666666666475,2.2222222222222214,0.011658031088082901,0.010362694300518135,0.0025906735751295338,0.010362694300518135,49.94559585492228,42.64766839378238,True
Tokyo,RJTT,19,772,772,0.0,0.0,0.0,0.0,1.1111111111111107,2.2222222222222214,0.014248704663212436,0.011658031088082901,0.0025906735751295338,0.011658031088082901,49.94559585492228,40.54663212435233,True
Warsaw,EPWA,20,771,771,0.0,0.0,0.0,0.0,1.111111111111111,2.2222222222222223,0.016861219195849545,0.01297016861219196,0.0025940337224383916,0.01297016861219196,47.96238651102464,40.970168612191955,True
Boston,KBOS,21,771,771,0.0,0.0,0.0,0.0,1.2777777777777521,3.8888888888888893,0.02594033722438392,0.01297016861219196,0.010376134889753566,0.018158236057068743,28.444876783398183,24.944228274967575,True
London,EGLL,21,771,771,0.0,0.0,0.0,0.0,1.1111111111111107,2.2222222222222223,0.019455252918287938,0.018158236057068743,0.0038910505836575876,0.018158236057068743,47.98184176394293,41.98313878080415,True
