city,icao,timezone,cache_path,cache_exists,input_rows,usable_days,output_rows
Amsterdam,EHAM,Europe/Amsterdam,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_EHAM.csv,True,36909,771,3084
Ankara,LTAC,Europe/Istanbul,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_LTAC.csv,True,37676,771,3084
Atlanta,KATL,America/New_York,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KATL.csv,True,21533,771,3084
Austin,KAUS,America/Chicago,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KAUS.csv,True,21193,771,3084
Beijing,ZBAA,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZBAA.csv,True,37530,772,3088
BuenosAires,SAEZ,America/Argentina/Buenos_Aires,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_SAEZ.csv,True,20215,771,3084
Busan,RKPK,Asia/Seoul,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_RKPK.csv,True,20540,772,3088
CapeTown,FACT,Africa/Johannesburg,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_FACT.csv,True,28821,747,2988
Chengdu,ZUUU,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZUUU.csv,True,18504,772,3088
Chicago,KMDW,America/Chicago,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KMDW.csv,True,21213,771,3084
Chongqing,ZUCK,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZUCK.csv,True,18503,772,3088
Dallas,KDAL,America/Chicago,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KDAL.csv,True,21386,771,3084
Denver,KBKF,America/Denver,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_KBKF.csv,True,19641,766,3064
Guangzhou,ZGGG,Asia/Shanghai,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_ZGGG.csv,True,38302,772,3088
Helsinki,EFHK,Europe/Helsinki,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_EFHK.csv,True,36989,771,3084
HongKong,VHHH,Asia/Hong_Kong,runtime/weather_edge_v1/market_data/cache/wu_obs/wu_obs_VHHH.csv,True,39613,772,3088
