city,icao,decision_hour_local,city_days,rows,p50_residual_c,p75_residual_c,p90_residual_c,p95_residual_c,p99_residual_c,max_residual_c,residual_ge_0_5c_rate,residual_ge_1_0c_rate,residual_ge_1_5c_rate,bucket_delta_ge_1_rate,avg_obs_count_day,avg_obs_count_to_decision,physical_candidate_v0
Beijing,ZBAA,18,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6139896373057,37.42227979274612,True
Beijing,ZBAA,19,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6139896373057,39.44948186528497,True
Beijing,ZBAA,20,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6139896373057,41.49222797927461,True
Beijing,ZBAA,21,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6139896373057,43.516839378238345,True
Chengdu,ZUUU,18,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.968911917098445,18.974093264248705,True
Chengdu,ZUUU,19,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.968911917098445,19.97279792746114,True
Chengdu,ZUUU,20,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.968911917098445,20.971502590673577,True
Chengdu,ZUUU,21,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.968911917098445,21.97020725388601,True
Chongqing,ZUCK,18,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96761658031088,18.974093264248705,True
Chongqing,ZUCK,19,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96761658031088,19.97279792746114,True
Chongqing,ZUCK,20,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96761658031088,20.971502590673577,True
Chongqing,ZUCK,21,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96761658031088,21.97020725388601,True
Jakarta,WIII,18,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.817357512953365,36.82772020725388,True
Jakarta,WIII,19,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.817357512953365,38.8160621761658,True
Jakarta,WIII,20,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.817357512953365,40.80829015544042,True
Jakarta,WIII,21,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.817357512953365,42.81217616580311,True
KualaLumpur,WMSA,18,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.514248704663213,20.137305699481864,True
KualaLumpur,WMSA,19,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.514248704663213,21.27720207253886,True
KualaLumpur,WMSA,20,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.514248704663213,22.35621761658031,True
KualaLumpur,WMSA,21,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.514248704663213,23.4080310880829,True
MexicoCity,MMMX,21,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.761658031088082,28.126943005181346,True
Shenzhen,ZGSZ,18,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.966321243523318,18.97279792746114,True
Shenzhen,ZGSZ,19,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.966321243523318,19.971502590673577,True
Shenzhen,ZGSZ,20,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.966321243523318,20.97020725388601,True
Shenzhen,ZGSZ,21,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.966321243523318,21.968911917098445,True
Wuhan,ZHHH,18,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96761658031088,18.974093264248705,True
Wuhan,ZHHH,19,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96761658031088,19.97279792746114,True
Wuhan,ZHHH,20,772,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96761658031088,20.971502590673577,True
