orderbook_file,snapshot_ts_utc,snapshot_ts_local,decision_hour_local,city,target_date,bracket,bracket_low_c,bracket_high_c,outcome,best_ask,best_ask_size,condition_id,market_id,token_id,icao,running_max_c,final_max_c,residual_c,floor_c_bucket_delta,final_hit,observed_bucket,below_running_max,strategy,side,entry_cost,payout,pnl,roi,city_day_key
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0200.jsonl.gz,2026-05-20T18:00:53+00:00,2026-05-20T20:00:53+02:00,20,Paris,2026-05-20,20,20.0,20.0,yes,0.99,312.08,0xaa34fd2ddf2d41458a811c14ec28a096dc5c7ee549fb100da7f76b3e820875ae,2289577,59629157944411204169188704286888759493548486357394483506151427702756503644810,LFPG,20.0,20.0,0.0,0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.99,1.0,0.010000000000000009,0.01010101010101011,Paris|2026-05-20
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-29/orderbook_snapshot_20260529_2000.jsonl.gz,2026-05-29T12:00:53+00:00,2026-05-29T20:00:53+08:00,20,Wuhan,2026-05-29,25,25.0,25.0,yes,0.995,4960.0,0xf06fb8c99eb89fd634c3ea2260e19cb378ca15b2f5c22cb21a69a86bbb657c88,2367511,24172957772701050665707035595542726082426440021177813766845346234402021800507,ZHHH,25.0,25.0,0.0,0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.995,1.0,0.0050000000000000044,0.005025125628140708,Wuhan|2026-05-29
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-30/orderbook_snapshot_20260530_2000.jsonl.gz,2026-05-30T12:00:53+00:00,2026-05-30T20:00:53+08:00,20,Chengdu,2026-05-30,30,30.0,30.0,yes,0.994,479.41,0x27d6c4f0dd59839e65b90310d77d148338ea73f56d3d4caa291551ae3a5196d7,2375940,888283595399581599363901009354788433270181030625741339394429169149738985833,ZUUU,30.0,30.0,0.0,0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.994,1.0,0.006000000000000005,0.006036217303822943,Chengdu|2026-05-30
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-31/orderbook_snapshot_20260531_2030.jsonl.gz,2026-05-31T12:30:53+00:00,2026-05-31T20:30:53+08:00,20,Shenzhen,2026-05-31,30,30.0,30.0,yes,0.044,10.0,0xb1b0d1a969863b88bcc69eec2d3358beff9031ad123f749218928c8e56d3b55d,2383934,70122238026283925596176757121051036736896821324729174015705073225935557050458,ZGSZ,30.0,30.0,0.0,0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.044,1.0,0.956,21.727272727272727,Shenzhen|2026-05-31
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-31/orderbook_snapshot_20260531_2130.jsonl.gz,2026-05-31T13:30:53+00:00,2026-05-31T21:30:53+08:00,21,Shenzhen,2026-05-31,30,30.0,30.0,yes,0.015,28.86,0xb1b0d1a969863b88bcc69eec2d3358beff9031ad123f749218928c8e56d3b55d,2383934,70122238026283925596176757121051036736896821324729174015705073225935557050458,ZGSZ,30.0,30.0,0.0,0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.015,1.0,0.985,65.66666666666667,Shenzhen|2026-05-31
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-05/orderbook_snapshot_20260605_0300.jsonl.gz,2026-06-04T19:00:53+00:00,2026-06-04T20:00:53+01:00,20,London,2026-06-04,20,20.0,20.0,yes,0.005,150.75,0xe2b4eeaaf20c3428709245e12256d8825d7bf195386f5a9ac6907d0d0f138c9c,2415943,68565503694526287350670064580612009039674132824369176660267942554273351414502,EGLL,20.0,20.0,0.0,0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.005,1.0,0.995,199.0,London|2026-06-04
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-08/orderbook_snapshot_20260608_2000.jsonl.gz,2026-06-08T12:00:53+00:00,2026-06-08T20:00:53+08:00,20,Shenzhen,2026-06-08,30,30.0,30.0,yes,0.009,100.0,0x48b96173481acacb5af20dd020cac32635a5af8281b97baa8d330dd54b2c236f,2456363,106751801000204780676277708357163803525084436729271195621007142286466422219145,ZGSZ,30.0,30.0,0.0,0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.009,1.0,0.991,110.11111111111111,Shenzhen|2026-06-08
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0130.jsonl.gz,2026-05-20T17:30:53+00:00,2026-05-20T20:30:53+03:00,20,Helsinki,2026-05-20,16,16.0,16.0,no,0.325,17.32,0x9a183917e2e7356f7722ef426476bac295838aa30284320750c3976947870a97,2290003,77068755971084666499797107609114675878225657605234023322826927362227819597214,EFHK,16.11111111111111,16.11111111111111,0.0,0,0,0,1,below_running_max_buy_no,BUY_NO,0.325,1.0,0.675,2.076923076923077,Helsinki|2026-05-20
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0200.jsonl.gz,2026-05-20T18:00:53+00:00,2026-05-20T20:00:53+02:00,20,Milan,2026-05-20,26,26.0,26.0,no,0.992,15.0,0x11737d84524033444b10f894986caac7d27e4e1df58bdea08e371e6f0ba61c46,2289798,89981489357562734990448121257717800979166132553751690343044673903815480907439,LIML,27.22222222222222,27.22222222222222,0.0,0,0,0,1,below_running_max_buy_no,BUY_NO,0.992,1.0,0.008000000000000007,0.008064516129032265,Milan|2026-05-20
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0230.jsonl.gz,2026-05-20T18:30:53+00:00,2026-05-20T20:30:53+02:00,20,Milan,2026-05-20,25,25.0,25.0,no,0.01,585.68,0x715dcb66381aa84204af23995982cd66618199add06f5b553b73a7f3b8452430,2289797,108652089746857265887945355241177682488778900859773081233309872851201902847614,LIML,27.22222222222222,27.22222222222222,0.0,0,0,0,1,below_running_max_buy_no,BUY_NO,0.01,1.0,0.99,99.0,Milan|2026-05-20
