snapshot_file,snapshot_ts_utc,snapshot_ts_local,decision_hour_local,city,target_date,icao,bracket,bracket_low_f,bracket_high_f,market_yes_price,condition_id,market_id,icao_obs,running_max_f,final_max_f,residual_c,floor_c_bucket_delta,final_hit,observed_bucket,below_running_max
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260506_0131.json,2026-05-05T17:31:19Z,2026-05-05 18:31:19,18,Madrid,2026-05-05,LEMD,20,20.0,20.0,0.0055,0x6c7935f35cbbf44e59602613a03ec5cd260aa3339530ab7854dd8aab567788dc,2144920,LEMD,66.0,66.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260506_0131.json,2026-05-05T17:31:19Z,2026-05-05 18:31:19,18,Madrid,2026-05-05,LEMD,19,19.0,19.0,0.9945,0x037f2629e605c7f56788d0a4a3498e822d2ab2c594c2a6dde613e8936cb6bdbf,2144919,LEMD,66.0,66.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260512_2347.json,2026-05-12T15:47:43Z,2026-05-12 18:47:43,18,Moscow,2026-05-12,UUWW,14,14.0,14.0,0.9375,0x24bf5e9f993b351bd4ac69125c77ea16e7a000f00b4ad90a6296135c0105b760,2220022,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260512_2347.json,2026-05-12T15:47:43Z,2026-05-12 18:47:43,18,Moscow,2026-05-12,UUWW,15,15.0,15.0,0.05,0x669c71cc0b245c367e1df3bcfe5dd3c089bb65942b65ed8f7996c750f0d3a227,2220023,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260512_2347.json,2026-05-12T15:47:43Z,2026-05-12 18:47:43,18,Moscow,2026-05-12,UUWW,16,16.0,16.0,0.005,0x0e78efb889202212be1bf16af49b23377bf38f7a3966c3e542f9d80559433a10,2220024,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260512_2347.json,2026-05-12T15:47:43Z,2026-05-12 18:47:43,18,Moscow,2026-05-12,UUWW,17,17.0,17.0,0.0055,0x7d3898c8c05ad5b159c657140791b41e2d789d9ab1bbcd861f19183f4c497573,2220025,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0030.json,2026-05-12T16:30:53Z,2026-05-12 19:30:53,19,Moscow,2026-05-12,UUWW,17,17.0,17.0,0.005,0x7d3898c8c05ad5b159c657140791b41e2d789d9ab1bbcd861f19183f4c497573,2220025,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0030.json,2026-05-12T16:30:53Z,2026-05-12 19:30:53,19,Moscow,2026-05-12,UUWW,16,16.0,16.0,0.0055,0x0e78efb889202212be1bf16af49b23377bf38f7a3966c3e542f9d80559433a10,2220024,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0030.json,2026-05-12T16:30:53Z,2026-05-12 19:30:53,19,Moscow,2026-05-12,UUWW,14,14.0,14.0,0.953,0x24bf5e9f993b351bd4ac69125c77ea16e7a000f00b4ad90a6296135c0105b760,2220022,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0030.json,2026-05-12T16:30:53Z,2026-05-12 19:30:53,19,Moscow,2026-05-12,UUWW,15,15.0,15.0,0.0395,0x669c71cc0b245c367e1df3bcfe5dd3c089bb65942b65ed8f7996c750f0d3a227,2220023,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0130.json,2026-05-12T17:30:53Z,2026-05-12 20:30:53,20,Moscow,2026-05-12,UUWW,15,15.0,15.0,0.0295,0x669c71cc0b245c367e1df3bcfe5dd3c089bb65942b65ed8f7996c750f0d3a227,2220023,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0130.json,2026-05-12T17:30:53Z,2026-05-12 20:30:53,20,Moscow,2026-05-12,UUWW,14,14.0,14.0,0.9645,0x24bf5e9f993b351bd4ac69125c77ea16e7a000f00b4ad90a6296135c0105b760,2220022,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0230.json,2026-05-12T18:30:53Z,2026-05-12 21:30:53,21,Moscow,2026-05-12,UUWW,15,15.0,15.0,0.005,0x669c71cc0b245c367e1df3bcfe5dd3c089bb65942b65ed8f7996c750f0d3a227,2220023,UUWW,50.0,50.0,0.0,0,0,0,1
runtime/weather_edge_v1/remote_pm_agent/market_data/paper_snapshots/snapshot_20260513_0230.json,2026-05-12T18:30:53Z,2026-05-12 21:30:53,21,Moscow,2026-05-12,UUWW,14,14.0,14.0,0.995,0x24bf5e9f993b351bd4ac69125c77ea16e7a000f00b4ad90a6296135c0105b760,2220022,UUWW,50.0,50.0,0.0,0,0,0,1
