city,forecast_source,model_version,snapshot_groups,event_dates,forecast_state_changes,unique_forecast_states,hash_available_rate,first_snapshot_ts_utc,last_snapshot_ts_utc,change_hours_local_top,model_init_top,first_seen_run_age_p25,first_seen_run_age_p50,first_seen_run_age_p75,state_gap_hours_p50
Amsterdam,open_meteo_live_ecmwf,ecmwf,3730,46,474,362,0.17747989276139411,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"5:73,17:71,9:59,2:51,14:46","12Z:243,00Z:231",4.0,8.5,13.5,2.0
Amsterdam,open_meteo_live_gfs,gfs,9,9,9,9,0.2222222222222222,2026-05-21T14:30:53Z,2026-06-20T15:31:29Z,"15:3,14:2,21:1,12:1,8:1","06Z:7,12Z:1,00Z:1",7.0,8.0,8.0,116.98333333333333
Ankara,open_meteo_live_ecmwf,ecmwf,3554,45,459,303,0.18373663477771526,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"11:76,7:73,4:64,19:63,16:57","00Z:232,12Z:227",4.0,8.5,13.5,2.0
Ankara,open_meteo_live_gfs,gfs,9,7,8,8,0.0,2026-05-25T18:30:53Z,2026-06-18T05:00:45Z,"12:2,21:1,15:1,17:1,11:1","00Z:4,06Z:3,12Z:1",6.0,8.1,8.5,50.516666666666666
Atlanta,open_meteo_live_gfs,gfs,3739,44,1201,802,0.17384327360256754,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"17:83,11:78,23:74,5:73,9:72","12Z:322,06Z:320,00Z:314,18Z:245",4.0,6.5,8.5,1.0
Austin,open_meteo_live_gfs,gfs,3755,45,1210,699,0.1752330226364847,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"20:86,10:81,22:77,16:76,4:75","00Z:336,06Z:325,12Z:315,18Z:234",4.5,6.0,8.5,0.9988888888888889
Beijing,open_meteo_live_ecmwf,ecmwf,3156,45,408,317,0.20437262357414449,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"12:72,16:71,9:66,4:43,0:42","12Z:211,00Z:197",4.0,8.5,13.5,2.5
Beijing,open_meteo_live_gfs,gfs,8,5,7,7,0.0,2026-05-28T13:00:53Z,2026-06-11T10:30:53Z,"16:2,18:2,21:1,20:1,19:1","06Z:5,00Z:2",5.0,6.0,7.0,1.5
BuenosAires,open_meteo_live_ecmwf,ecmwf,3738,44,463,247,0.1487426431246656,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"1:70,13:69,5:67,17:64,22:56","12Z:247,00Z:216",4.0,8.5,13.5,2.0
BuenosAires,open_meteo_live_gfs,gfs,6,5,6,6,0.6666666666666666,2026-05-26T14:00:53Z,2026-06-25T13:01:10Z,"11:3,13:1,2:1,10:1","06Z:4,12Z:1,00Z:1",5.2,7.0,8.3,96.2075
Busan,open_meteo_live_ecmwf,ecmwf,3105,46,392,275,0.2035426731078905,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"13:72,17:71,10:61,5:40,1:36","12Z:196,00Z:196",4.0,8.5,13.5,2.5
Busan,open_meteo_live_gfs,gfs,5,4,4,4,0.4,2026-05-25T19:00:53Z,2026-06-25T13:01:10Z,"22:2,4:1,21:1","06Z:3,12Z:1",7.0,7.0,7.0,48.00472222222222
CapeTown,open_meteo_live_ecmwf,ecmwf,3636,45,461,235,0.18096809680968096,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"6:71,10:71,18:69,3:62,15:59","12Z:231,00Z:230",4.0,8.5,13.5,2.0166666666666666
CapeTown,open_meteo_live_gfs,gfs,12,7,9,8,0.25,2026-05-26T12:00:53Z,2026-06-20T14:18:28Z,"12:2,14:1,3:1,17:1,6:1","06Z:5,18Z:2,00Z:1,12Z:1",4.5,6.0,8.3,85.51666666666667
Chengdu,open_meteo_live_ecmwf,ecmwf,3220,45,414,268,0.20683229813664597,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"16:75,12:73,9:66,4:42,0:41","12Z:210,00Z:204",4.0,8.5,13.5,2.5
Chengdu,open_meteo_live_gfs,gfs,16,12,16,16,0.375,2026-05-21T03:00:53Z,2026-06-25T13:01:10Z,"18:2,16:2,17:2,13:2,11:1","00Z:7,06Z:6,18Z:2,12Z:1",5.2,7.0,8.8,27.505555555555556
Chicago,open_meteo_live_gfs,gfs,3585,45,1109,821,0.18577405857740587,2026-05-12T15:47:43Z,2026-06-25T15:30:53Z,"20:83,22:78,10:73,16:72,4:71","00Z:311,06Z:280,12Z:274,18Z:244",4.0,6.0,8.5,1.0
Chongqing,open_meteo_live_ecmwf,ecmwf,3274,45,411,273,0.20586438607208307,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"16:74,12:73,9:65,4:42,0:41","12Z:208,00Z:203",4.0,8.5,13.5,2.5
Chongqing,open_meteo_live_gfs,gfs,6,5,6,6,0.0,2026-06-09T09:30:27Z,2026-06-14T00:00:53Z,"17:2,18:2,0:1,8:1","00Z:2,06Z:2,12Z:1,18Z:1",4.0,4.5,9.5,30.5
Dallas,open_meteo_live_ecmwf,ecmwf,3749,45,464,298,0.17818084822619365,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"22:70,10:67,2:60,14:51,20:50","00Z:238,12Z:226",4.0,8.0,13.5,2.0
Dallas,open_meteo_live_gfs,gfs,10,7,10,10,0.0,2026-05-26T14:30:53Z,2026-06-17T15:00:53Z,"8:2,4:2,19:1,21:1,22:1","06Z:5,00Z:3,18Z:2",4.5,8.0,9.0,11.0
Denver,open_meteo_live_gfs,gfs,3511,44,1108,842,0.19111364283679863,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"21:75,9:72,3:71,15:70,1:67","00Z:312,06Z:293,12Z:281,18Z:222",4.0,6.0,8.5,1.0
Guangzhou,open_meteo_live_gfs,gfs,3182,45,483,340,0.20490257699560024,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"8:76,12:72,18:61,14:53,0:41","00Z:148,18Z:123,06Z:122,12Z:90",4.0,5.5,6.0,2.0
Helsinki,open_meteo_live_ecmwf,ecmwf,3730,46,478,282,0.17882037533512066,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"6:73,18:70,10:64,3:51,15:50","00Z:240,12Z:238",4.0,8.5,13.5,2.0
Helsinki,open_meteo_live_gfs,gfs,12,9,12,12,0.25,2026-05-26T12:00:53Z,2026-06-21T04:43:32Z,"12:2,14:1,16:1,18:1,19:1","06Z:5,12Z:3,18Z:2,00Z:2",4.5,6.0,8.0,32.5
HongKong,open_meteo_live_ecmwf,ecmwf,3244,45,410,253,0.2096177558569667,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"12:71,16:70,9:63,21:53,4:41","00Z:211,12Z:199",4.0,8.5,13.5,2.5
HongKong,open_meteo_live_gfs,gfs,8,7,8,8,0.375,2026-05-22T11:30:53Z,2026-06-20T22:47:30Z,"18:2,19:1,0:1,16:1,12:1","06Z:3,12Z:2,00Z:2,18Z:1",4.5,4.8,5.5,52.516666666666666
Houston,open_meteo_live_gfs,gfs,3760,45,1184,726,0.1768617021276596,2026-05-12T17:00:53Z,2026-06-25T15:30:53Z,"20:88,10:78,22:77,4:76,16:75","00Z:329,06Z:312,12Z:305,18Z:238",4.0,6.0,8.5,1.0
Istanbul,open_meteo_live_ecmwf,ecmwf,3673,45,460,300,0.1824121971140757,2026-05-12T16:30:53Z,2026-06-25T15:30:53Z,"7:74,11:73,19:69,4:62,16:56","12Z:232,00Z:228",4.0,8.5,13.5,2.0
Istanbul,open_meteo_live_gfs,gfs,12,8,11,11,0.3333333333333333,2026-05-22T07:00:53Z,2026-06-20T14:55:19Z,"11:2,13:2,10:1,17:1,15:1","00Z:5,06Z:5,12Z:1",5.8,6.4,8.1,20.0
Jakarta,open_meteo_live_ecmwf,ecmwf,568,9,82,60,0.0,2026-05-12T16:30:53Z,2026-05-21T14:30:53Z,"11:15,8:11,15:11,23:8,7:7","12Z:41,00Z:41",4.0,9.0,13.5,2.5
Jakarta,open_meteo_live_gfs,gfs,1,1,1,1,0.0,2026-05-19T22:00:53Z,2026-05-19T22:00:53Z,5:1,18Z:1,4.0,4.0,4.0,
Jeddah,open_meteo_live_ecmwf,ecmwf,3561,45,449,245,0.18506037629879246,2026-05-12T16:30:53Z,2026-06-25T15:30:53Z,"11:74,7:72,4:62,19:61,16:56","00Z:229,12Z:220",4.0,8.5,13.5,2.4833333333333334
Jeddah,open_meteo_live_gfs,gfs,4,3,3,3,0.0,2026-05-20T21:31:53Z,2026-06-11T09:00:53Z,"0:1,20:1,11:1","12Z:2,00Z:1",5.0,8.1,9.5,43.483333333333334
Karachi,open_meteo_live_ecmwf,ecmwf,3432,45,445,216,0.19259906759906759,2026-05-12T16:30:53Z,2026-06-25T15:30:53Z,"13:75,9:74,6:65,21:57,18:49","12Z:223,00Z:222",4.0,8.0,13.5,2.495277777777778
Karachi,open_meteo_live_gfs,gfs,6,5,6,6,0.3333333333333333,2026-05-19T07:00:53Z,2026-06-20T16:45:11Z,"21:2,12:1,9:1,13:1,11:1","00Z:4,12Z:2",4.0,4.8,7.0,108.0
