target_date,city,decision_hour_local,day_regime,current_bracket,forecast_max_native,current_no_escape_threshold_native,current_no_escape_margin_native,ask,payoff,stake_profit_usd,soft_balanced,wind_regime,moisture_cloud_regime,intraday_state,forecast_peak_hour_local,forecast_peak_delta_hours_local
2026-05-21,Warsaw,13,day_marginal_runway,23,23.5,23.5,0.0,0.43,1.0,6.627906976744185,0.5000367857142856,moderate_wind,mixed_moisture,false_fade_risk,14.0,-1.0
2026-05-25,Shanghai,13,day_marginal_runway,28,28.333333333333332,28.5,-0.16666666666666785,0.17,0.0,-5.0,0.533335,light_wind,humid_convective_risk,active_warming,14.0,-1.0
2026-05-27,Shanghai,11,day_marginal_runway,28,28.333333333333332,28.5,-0.16666666666666785,0.57,1.0,3.771929824561404,0.5027636114285713,moderate_wind,cloud_suppression,fresh_high,14.0,-3.0
2026-05-29,CapeTown,13,day_marginal_runway,19,19.388888888888893,19.5,-0.11111111111110716,0.53,1.0,4.433962264150942,0.4343823928571428,light_wind,mixed_moisture,active_warming,14.0,-1.0
2026-05-31,TelAviv,14,day_marginal_runway,28,28.277777777777786,28.5,-0.22222222222221433,0.25,0.0,-5.0,0.38020982142857146,moderate_wind,mixed_moisture,pullback_uncertain,13.0,1.0
2026-06-10,Busan,13,day_marginal_runway,28,28.333333333333332,28.5,-0.16666666666666785,0.46,0.0,-5.0,0.4309603346938775,light_wind,dry_heat_inertia,active_warming,14.0,-1.0
2026-06-11,Busan,14,day_marginal_runway,28,28.333333333333332,28.5,-0.16666666666666785,0.17,1.0,24.41176470588235,0.553476,light_wind,dry_heat_inertia,active_warming,14.0,0.0
2026-06-12,Busan,14,day_marginal_runway,28,28.333333333333332,28.5,-0.16666666666666785,0.27,0.0,-5.0,0.5495348571428571,moderate_wind,dry_heat_inertia,fresh_high,14.0,0.0
2026-06-12,TelAviv,12,day_marginal_runway,29,29.38888888888889,29.5,-0.11111111111111072,0.49,0.0,-5.0,0.6958395918367346,light_wind,mixed_moisture,active_warming,14.0,-2.0
2026-06-15,TelAviv,12,day_marginal_runway,28,28.444444444444443,28.5,-0.055555555555557135,0.63,0.0,-5.0,0.3493979999999999,moderate_wind,mixed_moisture,fresh_high,13.0,-1.0
2026-06-19,TelAviv,13,day_marginal_runway,29,29.444444444444443,29.5,-0.055555555555557135,0.34,0.0,-5.0,0.3829660714285715,moderate_wind,mixed_moisture,fresh_high,12.0,1.0
