policy,weight_col,requires_current_no_escape_gt_0,rows,dates,cities,wins,win_rate,cost_usd,pnl_usd,roi,exec_rows,exec_dates,exec_cost_usd,exec_pnl_usd,exec_roi,current_no_rows,capped_d2_rows,avg_weight,target_date,loss_cities
soft_balanced_baseline,soft_balanced,False,12,1,12,6,0.5,14.467842,12.910848,0.8923824300427301,3,1,5.731309,16.005323,2.79261232730959,6,6,0.24113070324971653,2026-05-20,"Beijing,Jeddah,Miami,Munich,SanFrancisco,Singapore"
soft_balanced_escape_gt_0,soft_balanced,False,12,1,12,6,0.5,14.467842,12.910848,0.8923824300427301,3,1,5.731309,16.005323,2.79261232730959,6,6,0.24113070324971653,2026-05-20,"Beijing,Jeddah,Miami,Munich,SanFrancisco,Singapore"
soft_balanced_baseline,soft_balanced,False,8,1,8,3,0.375,12.370903,-2.649861,-0.21420109636377058,1,1,2.500184,3.314197,1.3255813953488371,5,3,0.3092725768813775,2026-05-21,"Manila,Munich,SanFrancisco,SaoPaulo,TelAviv"
soft_balanced_escape_gt_0,soft_balanced,False,7,1,7,2,0.2857142857142857,9.870719,-5.964058,-0.604217201782893,0,0,0.0,0.0,,4,3,0.28202054704810486,2026-05-21,"Manila,Munich,SanFrancisco,SaoPaulo,TelAviv"
soft_balanced_baseline,soft_balanced,False,8,1,8,2,0.25,11.343215,0.306632,0.027032194685516445,2,1,5.43931,4.893726,0.8996960486322186,4,4,0.2835803635561224,2026-05-22,"Chongqing,Helsinki,Istanbul,Manila,Munich,Shanghai"
soft_balanced_escape_gt_0,soft_balanced,False,8,1,8,2,0.25,11.343215,0.306632,0.027032194685516445,2,1,5.43931,4.893726,0.8996960486322186,4,4,0.2835803635561224,2026-05-22,"Chongqing,Helsinki,Istanbul,Manila,Munich,Shanghai"
soft_balanced_baseline,soft_balanced,False,8,1,8,4,0.5,16.539587,1.224506,0.07403484172420206,1,1,3.472045,3.613761,1.040816326530612,8,0,0.41348967554209176,2026-05-23,"Amsterdam,Istanbul,Lucknow,Warsaw"
soft_balanced_escape_gt_0,soft_balanced,False,8,1,8,4,0.5,16.539587,1.224506,0.07403484172420206,1,1,3.472045,3.613761,1.040816326530612,8,0,0.41348967554209176,2026-05-23,"Amsterdam,Istanbul,Lucknow,Warsaw"
soft_balanced_baseline,soft_balanced,False,4,1,4,2,0.5,6.769823,-3.085871,-0.455827383498154,0,0,0.0,0.0,,3,1,0.3384911428571428,2026-05-24,"Lucknow,NYC"
soft_balanced_escape_gt_0,soft_balanced,False,4,1,4,2,0.5,6.769823,-3.085871,-0.455827383498154,0,0,0.0,0.0,,3,1,0.3384911428571428,2026-05-24,"Lucknow,NYC"
soft_balanced_baseline,soft_balanced,False,8,1,8,2,0.25,12.347185,-6.737553,-0.5456752509120449,1,1,2.666675,-2.666675,-1.0,7,1,0.3086796288137755,2026-05-25,"CapeTown,Jeddah,Shanghai,TelAviv,Tokyo,Wuhan"
soft_balanced_escape_gt_0,soft_balanced,False,7,1,7,2,0.2857142857142857,9.68051,-4.070878,-0.42052312244133033,0,0,0.0,0.0,,6,1,0.27658600435860053,2026-05-25,"CapeTown,Jeddah,TelAviv,Tokyo,Wuhan"
soft_balanced_baseline,soft_balanced,False,7,1,7,6,0.8571428571428571,16.964582,14.174054,0.8355086126327763,3,1,9.8134,8.990613,0.9161567945421797,7,0,0.48470234542274054,2026-05-26,Wuhan
soft_balanced_escape_gt_0,soft_balanced,False,7,1,7,6,0.8571428571428571,16.964582,14.174054,0.8355086126327763,3,1,9.8134,8.990613,0.9161567945421797,7,0,0.48470234542274054,2026-05-26,Wuhan
soft_balanced_baseline,soft_balanced,False,5,1,5,2,0.4,10.346756,-3.343344,-0.3231296840012676,1,1,3.0562,-3.0562,-1.0,5,0,0.41387025471999983,2026-05-27,"Beijing,Manila,SaoPaulo"
soft_balanced_escape_gt_0,soft_balanced,False,4,1,4,1,0.25,7.832938,-5.239733,-0.6689358409753899,1,1,3.0562,-3.0562,-1.0,4,0,0.391646915542857,2026-05-27,"Beijing,Manila,SaoPaulo"
soft_balanced_baseline,soft_balanced,False,15,1,15,9,0.6,30.579339,13.481337,0.44086425369181736,5,1,15.010288,11.354423,0.756442670619775,13,2,0.4077245141414966,2026-05-28,"Ankara,Chongqing,Manila,NYC,TelAviv,Wuhan"
soft_balanced_escape_gt_0,soft_balanced,False,15,1,15,9,0.6,30.579339,13.481337,0.44086425369181736,5,1,15.010288,11.354423,0.756442670619775,13,2,0.4077245141414966,2026-05-28,"Ankara,Chongqing,Manila,NYC,TelAviv,Wuhan"
