variant,weight_policy,trades,active_dates,cities,wins,win_rate,avg_ask,avg_weight,notional_retained,weighted_cost_usd,weighted_profit_usd,weighted_roi,weighted_roi_ci_low,weighted_roi_ci_high,roi_le_minus50_days,roi_eq_minus100_days,loss_ge_10usd_days,worst_day_profit_usd,worst_day_roi
routed_capped_d1_no_relaxed50_first_eligible,full_size,195,38,34,73,0.37435897435897436,0.38441538461538466,1.0,1.0,975.0,58.943011557952154,0.06045437082866888,-0.1259114278802947,0.2413566378551371,10,4,9,-34.79591836734694,-1.0
routed_capped_d1_no_relaxed50_first_eligible,soft_moderate,195,38,34,73,0.37435897435897436,0.38441538461538466,0.6458021601365124,0.6458021601365123,629.6571061330994,33.76764823337681,0.05362863041561365,-0.14288601498932899,0.2522935971288165,10,4,5,-20.346856522959186,-1.0
routed_capped_d1_no_relaxed50_first_eligible,soft_balanced,195,38,34,73,0.37435897435897436,0.38441538461538466,0.3966590570945054,0.3966590570945054,386.74258066714276,12.286502461648066,0.03176920017561416,-0.16747871111765952,0.24240310616925723,9,4,2,-11.735107244897959,-1.0
routed_capped_d2_no_relaxed50_first_eligible,full_size,112,36,30,42,0.375,0.3692946428571428,1.0,1.0,560.0,80.74910553660033,0.14419483131535774,-0.17211168207062602,0.48273030940445416,14,11,9,-25.0,-1.0
routed_capped_d2_no_relaxed50_first_eligible,soft_moderate,112,36,30,42,0.375,0.3692946428571428,0.7225403193716519,0.7225403193716518,404.622578848125,45.089002350817765,0.11143471646880565,-0.197696456503555,0.4572036145753339,14,11,4,-16.209431564413265,-1.0
routed_capped_d2_no_relaxed50_first_eligible,soft_balanced,112,36,30,42,0.375,0.3692946428571428,0.47062597704774045,0.4706259770477404,263.55054714673463,16.705587043465005,0.0633866528615628,-0.24187420041717386,0.4115943367081749,13,11,1,-12.370810836734695,-1.0
routed_capped_d1_no_relaxed70_first_eligible,full_size,425,38,35,204,0.48,0.530804705882353,1.0,1.0,2125.0,-129.65594794762382,-0.061014563740058265,-0.1555675758809462,0.02971730856611755,3,1,13,-40.51020408163265,-1.0
routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,425,38,35,204,0.48,0.530804705882353,0.5909944203988516,0.5909944203988516,1255.8631433475598,-85.9208904122863,-0.06841580698296496,-0.166430465645744,0.02657243864681907,5,1,8,-22.367302917729592,-1.0
routed_capped_d1_no_relaxed70_first_eligible,soft_balanced,425,38,35,204,0.48,0.530804705882353,0.29272494769026647,0.2927249476902664,622.0405138418162,-38.94073037346649,-0.0626015982993819,-0.17224759176813817,0.04218858517923278,6,1,3,-11.446167507066995,-1.0
routed_capped_d2_no_relaxed70_first_eligible,full_size,279,38,35,138,0.4946236559139785,0.552347670250896,1.0,1.0,1395.0,-85.53138282363199,-0.061312819228410025,-0.19582696236430125,0.07032646782408118,5,2,11,-40.0,-1.0
routed_capped_d2_no_relaxed70_first_eligible,soft_moderate,279,38,35,138,0.4946236559139785,0.552347670250896,0.6282840353067506,0.6282840353067506,876.4562292529171,-63.545195742002136,-0.07250241782886004,-0.2092560102208576,0.06205679104017902,6,2,7,-24.082407565816325,-1.0
