rule,period,rows,active_dates,cities,yes_win_rate,yes_cost,yes_pnl,yes_roi,yes_roi_ci95,paired_rows,d1_no_win_rate,d1_no_cost,d1_no_pnl,d1_no_roi,d1_no_roi_ci95,yes_minus_d1_no_roi_on_paired_cost,yes_minus_d1_no_roi_ci95
all_clocked_current_yes,train,1743,13,36,0.4480780263912794,858.952,-77.95200000000001,-0.09075245182501468,"(-0.1453050131153363, -0.03530337974501186)",1655,0.6948640483383686,1233.909,-83.90900000000003,-0.06800258365892463,"(-0.09952705267994028, -0.034540865321523506)",0.004623520034025659,"(-0.021716070149313062, 0.03103300807192944)"
all_clocked_current_yes,holdout,1869,14,36,0.4810058855002675,955.443,-56.44300000000001,-0.05907521432466407,"(-0.11873742451708139, -0.0014236867038553568)",1802,0.6798002219755827,1311.4650000000001,-86.46500000000003,-0.06593008582005622,"(-0.09874858935659207, -0.03673323684105548)",0.026138265524991173,"(-0.01850151511448609, 0.06906495045755322)"
all_clocked_current_yes,all,3612,27,36,0.46511627906976744,1814.395,-134.39500000000004,-0.07407152246341069,"(-0.11293064840108236, -0.03332473006707935)",3457,0.6870118599942147,2545.374,-170.37400000000008,-0.06693476086421882,"(-0.0897229797168881, -0.04376691685629978)",0.01585501517965943,"(-0.011173094853041843, 0.04373911215341423)"
v9_like_fade_confirmed_physical,train,164,13,32,0.7317073170731707,124.94300000000001,-4.943000000000001,-0.03956204029037242,"(-0.12150242300466126, 0.029722597537341154)",153,0.7712418300653595,129.079,-11.079000000000002,-0.08583115766313654,"(-0.14795214159491785, -0.029059947384704198)",0.03942573434098858,"(0.005025255164344841, 0.07069179366337845)"
v9_like_fade_confirmed_physical,holdout,174,13,33,0.7988505747126436,138.894,0.10599999999999854,0.0007631719152735074,"(-0.0727008096697354, 0.06256944240093906)",157,0.8471337579617835,133.495,-0.49500000000000166,-0.003708004045095334,"(-0.06564987509347657, 0.047824039679839205)",0.0030901580794434683,"(-0.02855491575079883, 0.029039622089127925)"
v9_like_fade_confirmed_physical,all,338,26,34,0.7662721893491125,263.837,-4.8370000000000015,-0.01833328911411213,"(-0.07288788960855877, 0.030200721847487236)",310,0.8096774193548387,262.57399999999996,-11.574000000000003,-0.044079002490726445,"(-0.09078480380576749, -0.000717677765874457)",0.020814691975168716,"(-0.002647053882852578, 0.042210761570328964)"
forecast_fade_both_peaks_passed,train,115,13,28,0.9217391304347826,99.80299999999998,6.196999999999999,0.062092321874091964,"(0.019717328851323244, 0.11350724663739403)",97,0.9072164948453608,87.575,0.4249999999999996,0.004852983157293743,"(-0.025212275131131442, 0.039014070693006386)",0.03878522622775263,"(0.02032797100505963, 0.059576008631970566)"
forecast_fade_both_peaks_passed,holdout,100,12,27,0.85,88.88900000000001,-3.8890000000000002,-0.04375119531100586,"(-0.1564541042795306, 0.06069223857455967)",89,0.8426966292134831,80.437,-5.437000000000001,-0.06759327175304898,"(-0.1857728222630742, 0.049614825588986944)",0.016561449536771338,"(-0.024466429461985455, 0.04020101176269664)"
forecast_fade_both_peaks_passed,all,215,25,33,0.8883720930232558,188.692,2.307999999999998,0.012231573145655343,"(-0.05286401998792604, 0.0706512853135772)",186,0.8763440860215054,168.012,-5.0120000000000005,-0.029831202533152395,"(-0.09773859109675716, 0.02699568018274225)",0.028119220652644387,"(0.00841619362512974, 0.04507221058357664)"
forecast_fade_passed_low_gap,train,57,12,19,0.9122807017543859,50.592000000000006,1.4079999999999995,0.027830487033523074,"(-0.038780025615004335, 0.10508290654405744)",48,0.8958333333333334,44.282000000000004,-1.2820000000000005,-0.02895081522966443,"(-0.07407586005880891, 0.029647840892519053)",0.020302484202842346,"(0.005391308932248247, 0.03140205811090251)"
forecast_fade_passed_low_gap,holdout,50,11,21,0.82,44.495,-3.495,-0.07854815147769413,"(-0.23593747511827248, 0.057812165842589046)",43,0.813953488372093,38.516999999999996,-3.5170000000000003,-0.0913103305034141,"(-0.28240412118830555, 0.0728365365285541)",-0.0036233786693273145,"(-0.07408534999703739, 0.03213923167078131)"
forecast_fade_passed_low_gap,all,107,23,27,0.8691588785046729,95.08700000000002,-2.0870000000000006,-0.021948321011284404,"(-0.10880232899340624, 0.0571228725725765)",91,0.8571428571428571,82.799,-4.799,-0.057959637193685916,"(-0.1466610360702558, 0.020941936734333685)",0.009179351342113933,"(-0.022715272483315754, 0.027683581724593346)"
peak_forming_near_agree,train,418,13,36,0.6722488038277512,289.62800000000004,-8.628000000000004,-0.029789937436988146,"(-0.08913220107568492, 0.031766007765308635)",396,0.7070707070707071,300.082,-20.082000000000008,-0.06692170806646186,"(-0.134196765958833, -0.0057601914980783325)",0.0383101180027392,"(0.011298513661831275, 0.061414702720058494)"
peak_forming_near_agree,holdout,420,14,36,0.6142857142857143,276.618,-18.618000000000006,-0.0673058152397892,"(-0.15129644586561639, 0.004257205886442491)",408,0.6568627450980392,299.28999999999996,-31.290000000000006,-0.1045474289150991,"(-0.19271192333435072, -0.04087920154130863)",0.04406427559017499,"(0.0025052760083612855, 0.08735439603769642)"
peak_forming_near_agree,all,838,27,36,0.6431980906921241,566.246,-27.24600000000001,-0.04811689618999518,"(-0.09783255006561002, -0.0006821671342566483)",804,0.681592039800995,599.3720000000001,-51.37200000000001,-0.08570970949593909,"(-0.14064962441207876, -0.04058644910385558)",0.04117424275786747,"(0.016520070515195946, 0.0659883489285208)"
danger_gfs_peak_still_2h_ahead,train,752,12,36,0.1529255319148936,182.54899999999998,-67.549,-0.3700321557499631,"(-0.5342479791517319, -0.20237468125990238)",726,0.6446280991735537,506.97299999999996,-38.973000000000006,-0.07687391636240985,"(-0.12269800392931565, -0.03059698375089)",-0.08222654573129468,"(-0.14395151819750338, -0.01672796974219989)"
danger_gfs_peak_still_2h_ahead,holdout,828,14,36,0.2463768115942029,248.69,-44.690000000000005,-0.17970163657565646,"(-0.29927181329368713, -0.05454722223528744)",807,0.6319702602230484,548.476,-38.47600000000001,-0.07015074497334435,"(-0.12093598191251316, -0.02563049748773583)",-0.0161281006160422,"(-0.1130638761223748, 0.07954661220832288)"
danger_gfs_peak_still_2h_ahead,all,1580,26,36,0.20189873417721518,431.23900000000003,-112.239,-0.26027098662226744,"(-0.36851995780898467, -0.1475416978611028)",1533,0.6379647749510763,1055.449,-77.44900000000001,-0.07338014437457424,"(-0.10801032182436801, -0.0401809450966513)",-0.04674525621590577,"(-0.10665954161675226, 0.018880359986438652)"
diagnostic_gfs_1_to_4h_after_peak,train,324,13,35,0.8487654320987654,264.059,10.940999999999997,0.041433921964409454,"(-0.00760886087701909, 0.08218220039098846)",290,0.8586206896551725,250.47199999999998,-1.4720000000000049,-0.005876904404484354,"(-0.04230694185442325, 0.022278369673146645)",0.042327276636476216,"(0.010630999245294205, 0.06813289763507897)"
diagnostic_gfs_1_to_4h_after_peak,holdout,334,14,36,0.8083832335329342,267.98400000000004,2.0159999999999965,0.007522837184309497,"(-0.045195745792366786, 0.05975082777124295)",307,0.8241042345276873,257.04200000000003,-4.042000000000003,-0.015725056605535293,"(-0.06715281128728547, 0.033682817104814675)",0.022224757923900922,"(0.0007497669338046124, 0.045129325161955766)"
diagnostic_gfs_1_to_4h_after_peak,all,658,27,36,0.8282674772036475,532.0430000000001,12.956999999999994,0.024353294752491792,"(-0.012783042086817277, 0.05920149086670837)",597,0.8408710217755444,507.51399999999995,-5.5140000000000065,-0.010864724913992534,"(-0.04241712691433722, 0.019531888777510747)",0.032114234571416954,"(0.013180339456362345, 0.05062697321507375)"
paired_current_yes_vs_d1_no_clocked,train,1655,12,36,0.4368580060422961,802.202,-79.20200000000003,-0.09873074362816352,"(-0.15435739857294417, -0.04183596759515887)",1655,0.6948640483383686,1233.909,-83.90900000000003,-0.06800258365892463,"(-0.09952705267994028, -0.034540865321523506)",0.004623520034025659,"(-0.021716070149313062, 0.03103300807192944)"
paired_current_yes_vs_d1_no_clocked,holdout,1802,14,36,0.47447280799112096,912.4010000000001,-57.40100000000002,-0.06291203100391167,"(-0.12347509348664355, -0.004168021571959585)",1802,0.6798002219755827,1311.4650000000001,-86.46500000000003,-0.06593008582005622,"(-0.09874858935659207, -0.03673323684105548)",0.026138265524991173,"(-0.01850151511448609, 0.06906495045755322)"
paired_current_yes_vs_d1_no_clocked,all,3457,26,36,0.456465143187735,1714.603,-136.603,-0.07967033768166742,"(-0.12294277362441802, -0.036844562950460416)",3457,0.6870118599942147,2545.374,-170.37400000000008,-0.06693476086421882,"(-0.0897229797168881, -0.04376691685629978)",0.01585501517965943,"(-0.011173094853041843, 0.04373911215341423)"
