target_date,city,decision_hour_local,quote_rows,bracket_count,outcome_count,has_current_temp,has_running_max,has_minutes_since_max,has_forecast_peak_hour,has_forecast_hash,has_dewpoint,has_rh,has_wind,has_sky,has_temp_trend,has_current_yes_quote,has_d1_no_quote,has_d2_no_quote,has_any_target_yes_quote,has_final_winner,complete_core,missing_fields
2026-05-19,Atlanta,18,22,11,2,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,current_yes_quote
2026-05-19,Atlanta,19,22,11,2,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,"current_yes_quote,d2_no_quote"
2026-05-19,Austin,17,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,Austin,18,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,BuenosAires,20,22,11,2,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,"sky,current_yes_quote,d1_no_quote"
2026-05-19,Dallas,18,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,d2_no_quote
2026-05-19,Denver,16,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,Denver,17,14,7,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,Houston,18,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,LA,16,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,Miami,18,22,11,2,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,current_yes_quote
2026-05-19,Miami,19,20,10,2,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,"current_yes_quote,d1_no_quote,d2_no_quote"
2026-05-19,NYC,18,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,NYC,19,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,SanFrancisco,15,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-19,SanFrancisco,16,22,11,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,10,16,8,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,11,16,8,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,12,14,7,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,13,14,7,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,14,12,6,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,15,10,5,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,16,8,4,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,17,8,4,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,18,8,4,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2026-05-20,Amsterdam,19,4,2,2,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,"sky,d2_no_quote"
2026-05-20,Amsterdam,20,4,2,2,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,"sky,d1_no_quote,d2_no_quote"
