orders,active_dates,cities,notional_usd,yes_wins,yes_win_rate,yes_roi,d1_no_win_rate,d1_no_roi,yes_minus_d1_no_roi,pnl_usd,avg_yes_ask,avg_d1_no_ask,avg_p_yes_win,avg_edge_snapshot,avg_gfs_delta,avg_ecmwf_delta,models_agree_rate,orders_per_active_day,date_min,date_max,period,gfs_delta_bucket
2,2,1,10.0,2,1.0,0.5909090909090909,1.0,0.40416339355852304,0.18674569735056784,5.909090909090909,0.61,0.6950000000000001,0.7824444600683251,0.1724444600683252,-4.0,-2.5,0.5,1.0,2026-05-24,2026-05-25,train,<=-2h
10,4,9,50.0,8,0.8,0.07463417710097028,0.9,0.15703562751254427,-0.08240145041157397,3.731708855048514,0.726,0.768,0.8347367158283643,0.1087367158283643,-2.0,-1.3,0.9,2.5,2026-05-24,2026-05-31,train,-2..-1h
31,11,14,155.0,26,0.8387096774193549,0.07803194029990511,0.8387096774193549,0.02420658794338281,0.0538253523565223,12.094950746485292,0.7625806451612903,0.7990322580645163,0.8709803292417457,0.10839968408045526,-1.0,-0.41935483870967744,0.7096774193548387,2.8181818181818183,2026-05-20,2026-05-31,train,-1..0h
42,13,20,210.0,37,0.8809523809523809,0.10457130672514331,0.8809523809523809,0.06163381037429992,0.04293749635084338,21.959974412280094,0.7830238095238093,0.8156428571428572,0.8799388060102634,0.09691499648645381,0.0,0.047619047619047616,0.8333333333333334,3.230769230769231,2026-05-19,2026-05-31,train,0..1h
33,11,17,165.0,32,0.9696969696969697,0.16531949014115607,0.9696969696969697,0.11071366357836968,0.054605826562786404,27.277715873290752,0.8144848484848484,0.8554545454545455,0.9194737679629769,0.10498891947812834,1.0,0.48484848484848486,0.8181818181818182,3.0,2026-05-20,2026-05-31,train,1..2h
29,13,15,145.0,25,0.8620689655172413,0.06584734704980252,0.896551724137931,0.026464317447223173,0.03938302960257935,9.547865322221366,0.7949310344827587,0.8520344827586208,0.9042531577514329,0.10932212326867408,2.206896551724138,1.206896551724138,0.6551724137931034,2.230769230769231,2026-05-19,2026-05-31,train,2..4h
2,2,1,10.0,2,1.0,0.15641711229946526,1.0,0.053098326127923735,0.10331878617154153,1.5641711229946527,0.845,0.9299999999999999,0.938021893221457,0.09302189322145704,4.0,1.5,0.0,1.0,2026-05-21,2026-05-26,train,>4h
14,8,9,70.0,8,0.5714285714285714,-0.2779283050729908,0.6428571428571429,-0.20878323914896457,-0.06914506592402624,-19.454981355109357,0.7867142857142858,0.8109999999999999,0.8869297030679005,0.10021541735361497,-3.857142857142857,-0.9285714285714286,0.14285714285714285,1.75,2026-06-01,2026-06-12,holdout,<=-2h
16,10,11,80.0,13,0.8125,0.07804385260968431,0.8125,0.025211449395379903,0.052832403214304414,6.243508208774745,0.7600625,0.7943125,0.8487470073439736,0.08868450734397357,-2.0,-0.3125,0.5,1.6,2026-06-01,2026-06-12,holdout,-2..-1h
29,13,14,145.0,22,0.7586206896551724,-0.030486324943967684,0.7586206896551724,-0.05540429706318361,0.024917972119215922,-4.420517116875314,0.783310344827586,0.8040689655172413,0.8867936472545754,0.10348330242698914,-1.0,-0.10344827586206896,0.6551724137931034,2.230769230769231,2026-06-01,2026-06-13,holdout,-1..0h
36,12,17,180.0,30,0.8333333333333334,0.057458379806434576,0.8333333333333334,0.005094557479836576,0.052363822326597996,10.342508365158224,0.7772222222222224,0.8060277777777778,0.8860921819385359,0.10886995971631347,0.0,0.3055555555555556,0.8333333333333334,3.0,2026-06-02,2026-06-13,holdout,0..1h
30,12,15,150.0,27,0.9,0.12008991479735379,0.9,0.08320995195978144,0.03687996283757234,18.013487219603068,0.7841,0.8080333333333333,0.8958623443663283,0.11176234436632818,1.0,0.43333333333333335,0.6333333333333333,2.5,2026-06-01,2026-06-13,holdout,1..2h
28,13,12,140.0,26,0.9285714285714286,0.09763859121158054,0.9285714285714286,0.051518903661630554,0.04611968754994998,13.669402769621275,0.8231428571428572,0.8594999999999999,0.911997107666843,0.0888542505239859,2.2142857142857144,1.0714285714285714,0.5357142857142857,2.1538461538461537,2026-06-01,2026-06-14,holdout,2..4h
8,6,6,40.0,6,0.75,-0.06904045884227501,0.75,-0.1048379413077829,0.03579748246550789,-2.7616183536910004,0.7971250000000001,0.842375,0.9005952113385118,0.10347021133851184,6.75,0.5,0.125,1.3333333333333333,2026-06-02,2026-06-14,holdout,>4h
16,10,10,80.0,10,0.625,-0.16932363057523062,0.6875,-0.13216491006052863,-0.03715872051470197,-13.545890446018449,0.764625,0.7965,0.8738690476929537,0.10924404769295373,-3.875,-1.125,0.1875,1.6,2026-05-24,2026-06-12,all,<=-2h
26,14,15,130.0,21,0.8076923076923077,0.07673243895248662,0.8461538461538461,0.07591305636352003,0.0008193825889665919,9.97521706382326,0.7469615384615383,0.7841923076923076,0.843358433684124,0.09639689522258539,-2.0,-0.6923076923076923,0.6538461538461539,1.8571428571428572,2026-05-24,2026-06-12,all,-2..-1h
60,24,19,300.0,48,0.8,0.02558144543203326,0.8,-0.01427200647645763,0.03985345190849089,7.674433629609978,0.7726000000000002,0.8014666666666665,0.8786234329479466,0.10602343294794662,-1.0,-0.26666666666666666,0.6833333333333333,2.5,2026-05-20,2026-06-13,all,-1..0h
78,25,24,390.0,67,0.8589743589743589,0.08282687891650851,0.8589743589743589,0.03553877057685529,0.047288108339653225,32.30248277743832,0.780346153846154,0.8112051282051284,0.8827788256694657,0.1024326718233121,0.0,0.16666666666666666,0.8333333333333334,3.12,2026-05-19,2026-06-13,all,0..1h
63,23,21,315.0,59,0.9365079365079365,0.1437815971202978,0.9365079365079365,0.0976166580457086,0.04616493907458921,45.29120309289381,0.800015873015873,0.8328730158730161,0.9082302329169537,0.10821435990108065,1.0,0.4603174603174603,0.7301587301587301,2.739130434782609,2026-05-20,2026-06-13,all,1..2h
57,26,20,285.0,51,0.8947368421052632,0.08146409856786892,0.9122807017543859,0.038771833482370656,0.04269226508549826,23.21726809184264,0.8087894736842106,0.8557017543859649,0.9080572033239149,0.09926772963970446,2.210526315789474,1.1403508771929824,0.5964912280701754,2.1923076923076925,2026-05-19,2026-06-14,all,2..4h
10,8,6,50.0,8,0.8,-0.023948944613926954,0.8,-0.07325068782064158,0.04930174320671462,-1.1974472306963477,0.8067,0.8599,0.908080547715101,0.10138054771510088,6.2,0.7,0.1,1.25,2026-05-21,2026-06-14,all,>4h
