target_date,floor_threshold_c,cowin_reached,hko_reached,cowin_detect_ts_utc,hko_detect_ts_utc,cowin_lead_min
2026-07-11,30,True,True,2026-07-11T02:29:08.409975+00:00,2026-07-11T02:37:34.651928+00:00,8.437
2026-07-11,31,True,True,2026-07-11T02:29:08.409975+00:00,2026-07-11T03:37:56.142287+00:00,68.796
2026-07-11,32,True,True,2026-07-11T02:29:08.409975+00:00,2026-07-11T04:48:02.418344+00:00,138.9
2026-07-11,33,True,True,2026-07-11T02:29:08.409975+00:00,2026-07-11T05:38:24.046326+00:00,189.261
2026-07-11,34,True,True,2026-07-11T02:29:08.409975+00:00,2026-07-11T07:28:22.886626+00:00,299.241
2026-07-11,35,True,False,2026-07-11T02:29:08.409975+00:00,,
2026-07-11,36,True,False,2026-07-11T04:18:04.011035+00:00,,
2026-07-11,37,True,False,2026-07-11T06:41:04.987331+00:00,,
2026-07-12,30,True,True,2026-07-11T23:15:19.657447+00:00,2026-07-12T00:47:41.771933+00:00,92.369
2026-07-12,31,True,True,2026-07-11T23:32:13.917283+00:00,2026-07-12T02:17:55.347596+00:00,165.691
2026-07-12,32,True,True,2026-07-11T23:55:15.090451+00:00,2026-07-12T03:47:53.866229+00:00,232.646
2026-07-12,33,True,True,2026-07-12T00:30:11.990587+00:00,2026-07-12T04:17:47.028218+00:00,227.584
2026-07-12,34,True,True,2026-07-12T01:08:16.826474+00:00,2026-07-12T07:08:11.207888+00:00,359.906
2026-07-12,35,True,False,2026-07-12T03:29:10.894330+00:00,,
2026-07-13,30,True,True,2026-07-12T23:22:05.833089+00:00,2026-07-13T00:18:50.985533+00:00,56.753
2026-07-13,31,True,True,2026-07-13T00:23:07.419899+00:00,2026-07-13T02:08:07.551001+00:00,105.002
2026-07-13,32,True,True,2026-07-13T01:51:21.719072+00:00,2026-07-13T04:37:48.847908+00:00,166.452
2026-07-13,33,True,True,2026-07-13T04:22:15.895625+00:00,2026-07-13T05:08:35.941497+00:00,46.334
2026-07-14,28,True,True,2026-07-14T00:03:06.346988+00:00,2026-07-14T00:18:47.322910+00:00,15.683
