target_date,obs_ts_utc,cowin_temp_c,hko_temp_c,cowin_minus_hko_c,cowin_detect_ts_utc,hko_detect_ts_utc
2026-07-11,2026-07-11T02:30:00+00:00,35.0,30.0,5.0,2026-07-11T02:32:04.664828+00:00,2026-07-11T02:37:34.651928+00:00
2026-07-11,2026-07-11T02:40:00+00:00,34.7,30.2,4.5,2026-07-11T02:42:15.430035+00:00,2026-07-11T02:47:36.871985+00:00
2026-07-11,2026-07-11T02:50:00+00:00,34.9,30.4,4.5,2026-07-11T02:52:14.509266+00:00,2026-07-11T02:58:16.744080+00:00
2026-07-11,2026-07-11T03:00:00+00:00,35.3,30.6,4.7,2026-07-11T03:02:07.301392+00:00,2026-07-11T03:08:33.315697+00:00
2026-07-11,2026-07-11T03:10:00+00:00,35.7,30.6,5.1,2026-07-11T03:12:17.349796+00:00,2026-07-11T03:17:51.430810+00:00
2026-07-11,2026-07-11T03:20:00+00:00,35.8,30.9,4.9,2026-07-11T03:22:11.604604+00:00,2026-07-11T03:28:11.184766+00:00
2026-07-11,2026-07-11T03:30:00+00:00,35.9,31.0,4.9,2026-07-11T03:32:12.319099+00:00,2026-07-11T03:37:56.142287+00:00
2026-07-11,2026-07-11T03:40:00+00:00,35.8,31.3,4.5,2026-07-11T03:42:11.734838+00:00,2026-07-11T03:48:24.836149+00:00
2026-07-11,2026-07-11T03:50:00+00:00,35.7,31.4,4.3,2026-07-11T03:52:03.772180+00:00,2026-07-11T03:58:45.804139+00:00
2026-07-11,2026-07-11T04:00:00+00:00,35.6,31.5,4.1,2026-07-11T04:02:07.523663+00:00,2026-07-11T04:08:19.697230+00:00
2026-07-11,2026-07-11T04:10:00+00:00,35.7,31.7,4.0,2026-07-11T04:12:18.824942+00:00,2026-07-11T04:17:43.160327+00:00
2026-07-11,2026-07-11T04:20:00+00:00,36.2,31.8,4.4,2026-07-11T04:22:05.997242+00:00,2026-07-11T04:27:15.252360+00:00
2026-07-11,2026-07-11T04:30:00+00:00,36.4,31.9,4.5,2026-07-11T04:32:20.112093+00:00,2026-07-11T04:38:25.715472+00:00
2026-07-11,2026-07-11T04:40:00+00:00,36.4,32.3,4.1,2026-07-11T04:42:03.938405+00:00,2026-07-11T04:48:02.418344+00:00
2026-07-11,2026-07-11T04:50:00+00:00,36.4,32.5,3.9,2026-07-11T04:52:24.325584+00:00,2026-07-11T04:58:22.382281+00:00
2026-07-11,2026-07-11T05:00:00+00:00,36.1,32.4,3.7,2026-07-11T05:02:06.971278+00:00,2026-07-11T05:08:32.226044+00:00
2026-07-11,2026-07-11T05:10:00+00:00,35.9,32.6,3.3,2026-07-11T05:12:20.268021+00:00,2026-07-11T05:18:20.467476+00:00
2026-07-11,2026-07-11T05:20:00+00:00,36.1,32.6,3.5,2026-07-11T05:22:19.670637+00:00,2026-07-11T05:28:26.584071+00:00
2026-07-11,2026-07-11T05:30:00+00:00,36.1,33.0,3.1,2026-07-11T05:32:07.486592+00:00,2026-07-11T05:38:24.046326+00:00
2026-07-11,2026-07-11T05:40:00+00:00,36.1,32.9,3.2,2026-07-11T05:42:15.957634+00:00,2026-07-11T05:47:42.781825+00:00
2026-07-11,2026-07-11T05:50:00+00:00,35.9,33.2,2.7,2026-07-11T05:52:36.274612+00:00,2026-07-11T05:58:14.632687+00:00
2026-07-11,2026-07-11T06:00:00+00:00,35.9,33.2,2.7,2026-07-11T06:02:13.476152+00:00,2026-07-11T06:09:16.032227+00:00
2026-07-11,2026-07-11T06:10:00+00:00,36.5,33.4,3.1,2026-07-11T06:12:22.550133+00:00,2026-07-11T06:18:10.261306+00:00
2026-07-11,2026-07-11T06:20:00+00:00,36.7,33.4,3.3,2026-07-11T06:22:13.608559+00:00,2026-07-11T06:27:52.655270+00:00
2026-07-11,2026-07-11T06:30:00+00:00,36.8,33.5,3.3,2026-07-11T06:32:21.384116+00:00,2026-07-11T06:38:04.974067+00:00
2026-07-11,2026-07-11T06:40:00+00:00,37.0,33.4,3.6,2026-07-11T06:42:09.290602+00:00,2026-07-11T06:48:40.223391+00:00
2026-07-11,2026-07-11T06:50:00+00:00,36.9,33.7,3.2,2026-07-11T06:52:05.710213+00:00,2026-07-11T06:58:25.966806+00:00
2026-07-11,2026-07-11T07:00:00+00:00,36.8,33.8,3.0,2026-07-11T07:02:11.263989+00:00,2026-07-11T07:08:08.883498+00:00
2026-07-11,2026-07-11T07:10:00+00:00,36.3,33.9,2.4,2026-07-11T07:12:13.487447+00:00,2026-07-11T07:18:00.377163+00:00
2026-07-11,2026-07-11T07:20:00+00:00,36.4,34.0,2.4,2026-07-11T07:22:19.966949+00:00,2026-07-11T07:28:22.886626+00:00
2026-07-11,2026-07-11T07:30:00+00:00,36.5,34.2,2.3,2026-07-11T07:32:10.402249+00:00,2026-07-11T07:39:15.087581+00:00
2026-07-11,2026-07-11T07:40:00+00:00,36.7,34.0,2.7,2026-07-11T07:42:05.525391+00:00,2026-07-11T07:48:12.757851+00:00
2026-07-11,2026-07-11T07:50:00+00:00,36.4,33.9,2.5,2026-07-11T07:52:16.997412+00:00,2026-07-11T07:58:36.355334+00:00
2026-07-11,2026-07-11T08:00:00+00:00,36.0,33.8,2.2,2026-07-11T08:02:16.620677+00:00,2026-07-11T08:08:38.231485+00:00
2026-07-11,2026-07-11T08:10:00+00:00,35.3,33.7,1.6,2026-07-11T08:12:17.943490+00:00,2026-07-11T08:19:12.966269+00:00
2026-07-11,2026-07-11T08:20:00+00:00,34.9,33.7,1.2,2026-07-11T08:22:17.839494+00:00,2026-07-11T08:27:41.006704+00:00
2026-07-11,2026-07-11T08:30:00+00:00,34.6,33.8,0.8,2026-07-11T08:32:05.631751+00:00,2026-07-11T08:38:47.413790+00:00
2026-07-11,2026-07-11T08:40:00+00:00,34.4,33.8,0.6,2026-07-11T08:42:09.577879+00:00,2026-07-11T08:47:58.102703+00:00
2026-07-11,2026-07-11T08:50:00+00:00,34.1,33.7,0.4,2026-07-11T08:52:23.456210+00:00,2026-07-11T08:58:05.312559+00:00
2026-07-11,2026-07-11T09:00:00+00:00,33.9,34.0,-0.1,2026-07-11T09:02:08.802679+00:00,2026-07-11T09:08:39.566649+00:00
2026-07-11,2026-07-11T09:20:00+00:00,33.8,33.6,0.2,2026-07-11T09:22:15.093465+00:00,2026-07-11T09:27:40.180134+00:00
2026-07-11,2026-07-11T09:30:00+00:00,33.7,33.5,0.2,2026-07-11T09:32:13.539533+00:00,2026-07-11T09:37:52.351270+00:00
2026-07-11,2026-07-11T09:40:00+00:00,33.5,33.4,0.1,2026-07-11T09:42:12.081384+00:00,2026-07-11T09:48:23.543939+00:00
