target_date,bias_c,candidate_no_bracket_c,implied_hko_floor_c,cowin_temp_c,adjusted_cowin_temp_c,cowin_obs_ts_utc,cowin_detect_ts_utc,cowin_detect_lag_min,hko_running_floor_at_trigger_c,hko_daily_max_floor_c,hko_floor_confirmed,variant
2026-07-11,0.2,34,35,35.1,34.9,2026-07-11T02:28:00+00:00,2026-07-11T02:30:04.876986+00:00,2.081,29,34,False,median_bias_adjusted
2026-07-11,0.2,35,36,35.9,35.7,2026-07-11T03:28:00+00:00,2026-07-11T03:30:12.425731+00:00,2.207,30,34,False,median_bias_adjusted
2026-07-11,0.2,36,37,36.9,36.7,2026-07-11T06:32:00+00:00,2026-07-11T06:34:21.630371+00:00,2.361,33,34,False,median_bias_adjusted
2026-07-12,0.2,29,30,29.9,29.7,2026-07-11T23:12:00+00:00,2026-07-11T23:14:19.278021+00:00,2.321,29,34,True,median_bias_adjusted
2026-07-12,0.2,30,31,30.9,30.7,2026-07-11T23:29:00+00:00,2026-07-11T23:31:04.954375+00:00,2.083,29,34,True,median_bias_adjusted
2026-07-12,0.2,31,32,31.9,31.7,2026-07-11T23:48:00+00:00,2026-07-11T23:50:13.885117+00:00,2.231,29,34,True,median_bias_adjusted
2026-07-12,0.2,32,33,32.9,32.7,2026-07-12T00:23:00+00:00,2026-07-12T00:25:10.565045+00:00,2.176,29,34,True,median_bias_adjusted
2026-07-12,0.2,33,34,33.9,33.7,2026-07-12T01:03:00+00:00,2026-07-12T01:05:23.454645+00:00,2.391,30,34,True,median_bias_adjusted
2026-07-12,0.2,34,35,34.9,34.7,2026-07-12T02:42:00+00:00,2026-07-12T02:44:24.159114+00:00,2.403,31,34,False,median_bias_adjusted
2026-07-13,0.2,29,30,29.9,29.7,2026-07-12T23:10:00+00:00,2026-07-12T23:12:23.579444+00:00,2.393,29,33,True,median_bias_adjusted
2026-07-13,0.2,30,31,30.9,30.7,2026-07-13T00:19:00+00:00,2026-07-13T00:21:08.072165+00:00,2.135,30,33,True,median_bias_adjusted
2026-07-13,0.2,31,32,31.9,31.7,2026-07-13T01:37:00+00:00,2026-07-13T01:39:16.005361+00:00,2.267,30,33,True,median_bias_adjusted
2026-07-13,0.2,32,33,32.9,32.7,2026-07-13T02:38:00+00:00,2026-07-13T02:40:16.515547+00:00,2.275,31,33,True,median_bias_adjusted
2026-07-14,0.2,27,28,27.9,27.7,2026-07-13T23:55:00+00:00,2026-07-13T23:57:11.019104+00:00,2.184,27,28,True,median_bias_adjusted
