target_date,bias_c,candidate_no_bracket_c,implied_hko_floor_c,cowin_temp_c,adjusted_cowin_temp_c,cowin_obs_ts_utc,cowin_detect_ts_utc,cowin_detect_lag_min,hko_running_floor_at_trigger_c,hko_daily_max_floor_c,hko_floor_confirmed,variant
2026-07-11,0.0,34,35,35.1,35.1,2026-07-11T02:28:00+00:00,2026-07-11T02:30:04.876986+00:00,2.081,29,34,False,raw
2026-07-11,0.0,35,36,35.7,35.7,2026-07-11T03:09:00+00:00,2026-07-11T03:11:13.473274+00:00,2.225,30,34,False,raw
2026-07-11,0.0,36,37,36.7,36.7,2026-07-11T06:17:00+00:00,2026-07-11T06:19:13.968920+00:00,2.233,33,34,False,raw
2026-07-12,0.0,29,30,29.7,29.7,2026-07-11T23:05:00+00:00,2026-07-11T23:07:17.089655+00:00,2.285,29,34,True,raw
2026-07-12,0.0,30,31,30.7,30.7,2026-07-11T23:25:00+00:00,2026-07-11T23:27:03.884140+00:00,2.065,29,34,True,raw
2026-07-12,0.0,31,32,31.7,31.7,2026-07-11T23:43:00+00:00,2026-07-11T23:45:12.627692+00:00,2.21,29,34,True,raw
2026-07-12,0.0,32,33,32.7,32.7,2026-07-12T00:16:00+00:00,2026-07-12T00:18:07.630726+00:00,2.127,29,34,True,raw
2026-07-12,0.0,33,34,33.7,33.7,2026-07-12T00:58:00+00:00,2026-07-12T01:00:08.368680+00:00,2.139,30,34,True,raw
2026-07-12,0.0,34,35,34.7,34.7,2026-07-12T02:14:00+00:00,2026-07-12T02:16:16.596083+00:00,2.277,30,34,False,raw
2026-07-13,0.0,29,30,29.7,29.7,2026-07-12T22:58:00+00:00,2026-07-12T23:00:03.604839+00:00,2.06,29,33,True,raw
2026-07-13,0.0,30,31,30.7,30.7,2026-07-13T00:11:00+00:00,2026-07-13T00:13:09.283211+00:00,2.155,29,33,True,raw
2026-07-13,0.0,31,32,31.7,31.7,2026-07-13T01:24:00+00:00,2026-07-13T01:26:12.979948+00:00,2.216,30,33,True,raw
2026-07-13,0.0,32,33,32.7,32.7,2026-07-13T02:12:00+00:00,2026-07-13T02:14:09.926966+00:00,2.165,31,33,True,raw
2026-07-13,0.0,33,34,33.7,33.7,2026-07-13T04:34:00+00:00,2026-07-13T04:36:09.054496+00:00,2.151,31,33,False,raw
2026-07-14,0.0,27,28,27.7,27.7,2026-07-13T23:01:00+00:00,2026-07-13T23:03:20.219561+00:00,2.337,27,28,True,raw
2026-07-14,0.0,28,29,28.7,28.7,2026-07-14T05:11:00+00:00,2026-07-14T05:13:20.552949+00:00,2.343,28,28,False,raw
