city,target_date,decision_snapshot_dt,label,market_mid,route,p_market_raw,p_market_cal,p_market_plus_clock,p_core,p_core_no_obs_age,p_core_no_clock,p_core_no_wind,p_no_path,p_path_added,p_cc_added,decision_snapshot_ts_utc,decision_hour_local,current_bracket,current_yes_bid,current_yes_ask,current_yes_ask_size,taker_cost,orderbook_file,front,five_share_executable,five_share_cost_per_share,five_share_principal_vwap,five_share_best_ask,five_share_cost_source,five_share_slippage_per_share,model_probability,model_edge_after_fee_and_depth,ten_share_executable,ten_share_cost_per_share,ten_share_max_ask_price,ten_share_positive_ev
Jeddah,2026-06-02,2026-06-02 13:30:53+00:00,1,0.905,False,0.905,0.883424875892646,0.9133447241494468,0.9222225821269218,0.9209906782302704,0.8865679342474581,0.913472924986103,0.9243367697630108,0.9163648780210896,0.9142590622827412,2026-06-02T13:30:53+00:00,16,34,0.9,0.91,66.19,0.91409,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-02/orderbook_snapshot_20260602_2130.jsonl.gz,True,True,0.91409,0.91,0.91,feature_top_ask_covers_quantity,0.0,0.9209906782302704,0.0069006782302701,True,0.9140900000000001,0.91,True
BuenosAires,2026-06-03,2026-06-03 18:30:53+00:00,1,0.87,False,0.87,0.8482063734602656,0.8677356121789885,0.8920004431124737,0.8926513928786763,0.8708139011784651,0.8790879038796963,0.88104861761769,0.895500506266403,0.8913547851669564,2026-06-03T18:30:53+00:00,15,17,0.86,0.88,8.33,0.88528,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-04/orderbook_snapshot_20260604_0230.jsonl.gz,True,True,0.8852800000000001,0.8800000000000001,0.88,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.8926513928786763,0.0073713928786762,True,0.88848974,0.9,True
CapeTown,2026-06-03,2026-06-03 11:30:53+00:00,1,0.8500000000000001,False,0.8500000000000001,0.8293781366387694,0.8268763437740115,0.9397521097517072,0.9402856104270114,0.9463236247324712,0.8347530371412771,0.939447801222166,0.939819828383838,0.940956404830426,2026-06-03T11:30:53+00:00,13,17,0.8,0.9,135.0,0.9045,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-03/orderbook_snapshot_20260603_1930.jsonl.gz,True,True,0.9045,0.9,0.9,feature_top_ask_covers_quantity,0.0,0.9402856104270114,0.0357856104270114,True,0.9045,0.9,True
Tokyo,2026-06-03,2026-06-03 04:31:53+00:00,1,0.91,False,0.91,0.887588817312324,0.9271950897960008,0.9750475342224268,0.975218739529476,0.9659460847582348,0.934696084267292,0.9785004186470918,0.9770659707727074,0.9739646490432312,2026-06-03T04:31:53+00:00,13,21,0.9,0.92,49.99,0.92368,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-03/orderbook_snapshot_20260603_1231.jsonl.gz,True,True,0.92368,0.9200000000000002,0.92,feature_top_ask_covers_quantity,0.0,0.975218739529476,0.0515387395294759,True,0.9236800000000001,0.92,True
Wellington,2026-06-03,2026-06-03 01:30:53+00:00,1,0.975,False,0.975,0.9607334326250916,0.994445282267197,0.991535383464774,0.9915588337402652,0.9573039375087968,0.9948227209070716,0.990457221328238,0.9918321337258356,0.9904937431692912,2026-06-03T01:30:53+00:00,13,15,0.961,0.989,29.0,0.98954,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-03/orderbook_snapshot_20260603_0930.jsonl.gz,True,True,0.98954,0.989,0.989,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9915588337402652,0.002018833740265,True,0.9895400000000001,0.989,True
Busan,2026-06-04,2026-06-04 06:30:53+00:00,0,0.8,False,0.8,0.7902331515276649,0.8459891993017744,0.8452112438493229,0.845435220530761,0.7856451321027025,0.8564871563818209,0.8565978144164276,0.8715974942474765,0.8617047452524443,2026-06-04T06:30:53+00:00,15,24,0.79,0.81,6.0,0.8177000000000001,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-04/orderbook_snapshot_20260604_1430.jsonl.gz,True,True,0.8176900000000001,0.8100000000000002,0.81,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.845435220530761,0.0277452205307608,True,0.8254379999999999,0.83,True
CapeTown,2026-06-04,2026-06-04 11:00:53+00:00,1,0.8300000000000001,False,0.8300000000000001,0.8169654050545825,0.787569039405026,0.8772123135311283,0.8792984060745066,0.901892144039526,0.7453115386415972,0.8756715844331198,0.8328127996239528,0.8516906453188587,2026-06-04T11:00:53+00:00,13,18,0.8,0.86,7.14,0.86602,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-04/orderbook_snapshot_20260604_1900.jsonl.gz,True,True,0.86602,0.86,0.86,feature_top_ask_covers_quantity,0.0,0.8792984060745066,0.0132784060745065,True,0.8715283599999999,0.88,True
Houston,2026-06-04,2026-06-04 20:30:53+00:00,1,0.835,False,0.835,0.8214833797241912,0.8218657491433821,0.8850941779968933,0.8848712996786617,0.8797698601862938,0.8401703872224233,0.8851677949115563,0.8719170354525954,0.8898780197320056,2026-06-04T20:30:53+00:00,15,84-85,0.81,0.86,74.0,0.86602,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-05/orderbook_snapshot_20260605_0430.jsonl.gz,True,True,0.86602,0.86,0.86,feature_top_ask_covers_quantity,0.0,0.8848712996786617,0.0188512996786617,True,0.86602,0.86,True
Karachi,2026-06-04,2026-06-04 10:30:53+00:00,1,0.925,False,0.925,0.9075708460664385,0.9300932022691738,0.9590505340964244,0.9591288095045848,0.9458577836071906,0.9289487069693848,0.9606885961570076,0.9600951015910092,0.957469832001028,2026-06-04T10:30:53+00:00,15,35,0.9,0.95,17.29,0.95238,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-04/orderbook_snapshot_20260604_1830.jsonl.gz,True,True,0.95238,0.95,0.95,feature_top_ask_covers_quantity,0.0,0.9591288095045848,0.0067488095045846,True,0.95238,0.95,True
LA,2026-06-04,2026-06-04 21:30:53+00:00,1,0.83,False,0.83,0.8169654050545825,0.8843450291165952,0.8781657766970683,0.8778883224408754,0.8219855475934769,0.8924559158968038,0.8854782816249933,0.8700091129575722,0.8353981369421449,2026-06-04T21:30:53+00:00,14,70-71,0.82,0.84,5.57,0.8467199999999999,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-05/orderbook_snapshot_20260605_0530.jsonl.gz,True,True,0.84672,0.8400000000000001,0.84,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.8778883224408754,0.0311683224408754,True,0.85099938,0.85,True
