target_date,city,decision_hour_local,candidate_ask,candidate_cost,candidate_pnl,baseline_city,baseline_target_date,baseline_ask,baseline_cost,baseline_pnl,price_distance,period
2026-05-22,Guangzhou,16,0.99,0.9904999999999999,0.009500000000000064,LA,2026-05-26,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-23,Guangzhou,15,0.99,0.9904999999999999,0.009500000000000064,Busan,2026-05-24,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-21,Istanbul,17,0.99,0.9904999999999999,0.009500000000000064,Istanbul,2026-05-23,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-22,Istanbul,16,0.96,0.96192,0.03808,LA,2026-05-30,0.97,0.97146,0.02854000000000001,0.010000000000000009,train
2026-05-21,Miami,16,0.98,0.98098,0.019020000000000037,LA,2026-05-19,0.98,0.98098,0.019020000000000037,0.0,train
2026-05-26,Miami,15,0.84,0.8467199999999999,0.15328000000000008,Istanbul,2026-05-29,0.87,0.87566,0.12434,0.030000000000000027,train
2026-05-27,Miami,16,0.989,0.98954,0.010460000000000025,Istanbul,2026-05-20,0.989,0.98954,0.010460000000000025,0.0,train
2026-05-31,NYC,17,0.97,0.97146,0.02854000000000001,Amsterdam,2026-05-20,0.97,0.97146,0.02854000000000001,0.0,train
2026-05-21,SaoPaulo,13,0.94,0.94282,0.05718000000000001,Wellington,2026-05-23,0.956,0.9581,0.04190000000000005,0.016000000000000014,train
2026-05-21,SaoPaulo,15,0.99,0.9904999999999999,0.009500000000000064,Busan,2026-05-24,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-21,SaoPaulo,16,0.99,0.9904999999999999,0.009500000000000064,LA,2026-05-26,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-27,SaoPaulo,13,0.99,0.9904999999999999,0.009500000000000064,Taipei,2026-05-21,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-31,SaoPaulo,15,0.99,0.9904999999999999,0.009500000000000064,Busan,2026-05-24,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-24,Shanghai,16,0.972,0.97336,0.026639999999999997,LA,2026-05-30,0.97,0.97146,0.02854000000000001,0.0020000000000000018,train
2026-05-24,Shanghai,17,0.99,0.9904999999999999,0.009500000000000064,Guangzhou,2026-05-21,0.99,0.9904999999999999,0.009500000000000064,0.0,train
2026-05-28,Shanghai,14,0.986,0.98669,0.013310000000000044,Tokyo,2026-05-22,0.987,0.98764,0.012360000000000038,0.0010000000000000009,train
2026-06-08,BuenosAires,13,0.7,0.7104999999999999,0.2895000000000001,Taipei,2026-06-11,0.827,0.83415,0.16585000000000005,0.127,holdout
2026-06-09,Guangzhou,17,0.97,0.97146,0.02854000000000001,Houston,2026-06-12,0.97,0.97146,0.02854000000000001,0.0,holdout
2026-06-16,Shanghai,16,0.989,0.98954,0.010460000000000025,Jeddah,2026-06-01,0.989,0.98954,0.010460000000000025,0.0,holdout
2026-06-03,Wellington,13,0.989,0.98954,0.010460000000000025,Helsinki,2026-06-13,0.893,0.89778,0.10221999999999998,0.09599999999999997,holdout
2026-06-05,Wellington,13,0.987,0.98764,0.012360000000000038,Busan,2026-06-03,0.978,0.97908,0.02092000000000005,0.009000000000000008,holdout
2026-06-05,Wellington,14,0.99,0.9904999999999999,0.009500000000000064,Shanghai,2026-06-12,0.99,0.9904999999999999,0.009500000000000064,0.0,holdout
2026-06-10,Wellington,14,0.977,0.97812,0.02188000000000001,Busan,2026-06-03,0.977,0.97812,0.02188000000000001,0.0,holdout
