city,target_date,decision_hour_local,current_bracket,current_yes_ask,d1_no_bracket,d1_no_ask,current_bracket_held,d1_hit,decline_native,minutes_since_running_max,temp_trend_1h_f,relative_humidity_pct,sky_cover_code,gfs_forecast_peak_delta_hours_local,ecmwf_forecast_peak_delta_hours_local,gfs_forecast_gap_to_running_native,ecmwf_forecast_gap_to_running_native,historical_support_count,cloud_limited,humid_cloud,dual_forecast_low_gap,period
BuenosAires,2026-06-08,13,13,0.7,14,0.72,1.0,0.0,0.5555555555555607,750.8833333333333,0.0,100.0,3.0,13,13,-1.3333333333333357,0.0,3,True,True,True,holdout
Guangzhou,2026-05-22,16,33,0.99,34+,0.995,1.0,0.0,0.5555555555555571,90.88333333333334,-1.7999999999999972,66.44,3.0,3,2,-1.2222222222222214,-4.111111111111111,2,True,False,True,train
Guangzhou,2026-05-23,15,33,0.99,34,0.99,1.0,0.0,0.5555555555555571,90.88333333333334,-1.7999999999999972,74.84,3.0,1,4,-0.6666666666666643,-3.2777777777777786,2,True,False,True,train
Guangzhou,2026-06-09,17,28,0.97,29,0.98,1.0,0.0,0.5555555555555571,60.45,-1.8000000000000114,69.77,3.0,3,2,0.4444444444444428,0.3333333333333286,2,True,False,True,holdout
Istanbul,2026-05-21,17,20,0.99,21,0.99,1.0,0.0,1.1111111111111107,130.88333333333333,-1.7999999999999972,72.58,3.0,3,1,-2.666666666666668,-0.5000000000000036,2,True,False,True,train
Istanbul,2026-05-22,16,18,0.96,19,0.97,1.0,0.0,0.5555555555555571,100.88333333333334,0.0,88.01,3.0,1,1,1.833333333333332,0.5555555555555536,2,True,True,False,train
Miami,2026-05-21,16,88-89,0.98,90-91,0.96,1.0,0.0,2.0,97.88333333333334,-2.0,61.08,3.0,2,2,-2.5,-2.799999999999997,2,True,False,True,train
Miami,2026-05-26,15,86-87,0.84,88-89,0.83,1.0,0.0,4.0,188.88333333333333,-2.0,74.4,3.0,2,1,0.0,-2.700000000000003,2,True,False,True,train
Miami,2026-05-27,16,88-89,0.989,90-91,0.992,1.0,0.0,1.0,157.88333333333333,0.0,63.31,3.0,2,1,-1.0999999999999943,-3.5,2,True,False,True,train
NYC,2026-05-31,17,76-77,0.97,78-79,0.974,1.0,0.0,1.0,99.88333333333334,0.0,28.49,3.0,1,1,-3.0,-1.4000000000000057,2,True,False,True,train
SaoPaulo,2026-05-21,13,17,0.94,18,0.92,1.0,0.0,1.1111111111111107,210.88333333333333,0.0,87.93,3.0,2,3,1.166666666666668,0.1666666666666678,2,True,True,False,train
SaoPaulo,2026-05-21,15,17,0.99,18,0.95,1.0,0.0,2.2222222222222214,90.88333333333334,-3.6000000000000014,87.84,3.0,4,5,1.166666666666668,0.1666666666666678,2,True,True,False,train
SaoPaulo,2026-05-21,16,17,0.99,18,0.98,1.0,0.0,2.2222222222222214,151.88333333333333,0.0,87.84,4.0,5,6,1.166666666666668,0.1666666666666678,2,True,True,False,train
SaoPaulo,2026-05-27,13,23,0.99,24,0.99,1.0,0.0,1.666666666666668,150.3,-1.7999999999999972,83.0,3.0,1,1,1.1111111111111107,0.3333333333333286,2,True,True,False,train
SaoPaulo,2026-05-31,15,22,0.99,23,0.995,1.0,0.0,1.1111111111111107,60.88333333333333,-1.7999999999999972,60.24,3.0,1,1,-0.4444444444444428,-1.4444444444444358,2,True,False,True,train
Shanghai,2026-05-24,16,23,0.972,24,0.97,1.0,0.0,0.5555555555555571,60.88333333333333,-1.8000000000000114,100.0,3.0,5,4,-0.1111111111111107,1.7777777777777786,2,True,True,False,train
Shanghai,2026-05-24,17,23,0.99,24,0.992,1.0,0.0,0.5555555555555571,90.88333333333334,0.0,100.0,3.0,6,5,-0.1111111111111107,1.7777777777777786,2,True,True,False,train
Shanghai,2026-05-28,14,28,0.986,29,0.988,1.0,0.0,0.5555555555555571,60.88333333333333,-1.8000000000000114,74.17,3.0,1,1,0.2777777777777785,-2.2222222222222214,2,True,False,True,train
Shanghai,2026-06-16,16,25,0.989,26,0.99,1.0,0.0,1.1111111111111107,240.66666666666663,0.0,94.16,3.0,1,2,2.666666666666668,-0.3333333333333286,2,True,True,False,holdout
Wellington,2026-06-03,13,15,0.989,16,0.99,1.0,0.0,1.1111111111111107,60.88333333333333,-1.7999999999999972,82.13,3.0,12,1,-0.7222222222222197,0.0,3,True,True,True,holdout
Wellington,2026-06-05,13,18,0.987,19,0.989,1.0,0.0,1.666666666666668,450.8833333333333,0.0,87.93,3.0,6,7,-1.5,-2.333333333333334,3,True,True,True,holdout
Wellington,2026-06-05,14,18,0.99,19,0.992,1.0,0.0,1.666666666666668,480.8833333333333,0.0,87.93,3.0,7,8,-1.5,-2.333333333333334,3,True,True,True,holdout
Wellington,2026-06-10,14,14,0.977,15,0.98,1.0,0.0,1.111111111111109,151.88333333333333,0.0,66.91,3.0,1,1,-1.111111111111109,-0.388888888888891,2,True,False,True,holdout
