period,cohort,expression,rows,active_dates,cities,win_rate,avg_ask,cost,pnl,roi,roi_ci95
train,base_candidate,current_yes,101,13,26,0.9900990099009901,0.9522970297029704,96.36811999999999,3.6318800000000033,0.037687567216212206,"[0.029435270637676265, 0.04673341077131444]"
train,base_candidate,d1_no,86,13,26,0.9883720930232558,0.9621279069767441,82.89465,2.105350000000002,0.025397899623196454,"[0.0021884147704799655, 0.045004561626345314]"
train,strong_proxy,current_yes,16,8,6,1.0,0.9723125,15.57749,0.4225100000000007,0.02712311161811054,"[0.015168778788772035, 0.05534131360331791]"
train,strong_proxy,d1_no,12,8,6,1.0,0.9593333333333334,11.5343,0.46570000000000034,0.04037522866580549,"[0.01692286767164073, 0.07901349437884281]"
holdout,base_candidate,current_yes,143,16,33,0.9790209790209791,0.9596783216783216,137.47704,2.5229600000000048,0.0183518644276892,"[-0.010759462752743292, 0.0389478322155022]"
holdout,base_candidate,d1_no,115,16,33,0.991304347826087,0.9615652173913043,110.77679000000002,3.2232100000000035,0.029096437981277513,"[0.006351417086904445, 0.04455286477023037]"
holdout,strong_proxy,current_yes,7,6,4,1.0,0.9431428571428572,6.617299999999999,0.38270000000000026,0.057833255255164535,"[0.012271258329094484, 0.18062825164697652]"
holdout,strong_proxy,d1_no,6,6,4,1.0,0.9414999999999999,5.662579999999999,0.3374200000000003,0.059587679114467315,"[0.011374592921726405, 0.1649806807370445]"
all,base_candidate,current_yes,244,29,35,0.9836065573770492,0.9566229508196721,233.84516,6.154840000000007,0.026320151334327413,"[0.009995089876365616, 0.03894796586004245]"
all,base_candidate,d1_no,201,29,35,0.9900497512437811,0.9618059701492537,193.67144,5.328560000000006,0.027513401046638606,"[0.012315021525418208, 0.03998854555161812]"
all,strong_proxy,current_yes,23,14,8,1.0,0.9634347826086956,22.19479,0.805210000000001,0.03627923490152423,"[0.016253410426430637, 0.07574269897310718]"
all,strong_proxy,d1_no,18,14,8,1.0,0.953388888888889,17.19688,0.8031200000000006,0.04670149468973445,"[0.01811641819886795, 0.0898526312616954]"
