mechanism,mechanism_label_zh,city_days,cities,dates,tail_losses,actual_hold_rate,mean_core_hold_probability,mean_market_hold_mid,core_brier,market_brier,core_minus_market_brier_date_equal,brier_delta_ci95,core_minus_market_logloss_date_equal,logloss_delta_ci95,core_more_overconfident_tail_losses,shared_high_confidence_tail_losses,market_more_overconfident_tail_losses,assessment
warm_moist_advection,暖湿平流 proxy,34,14,21,3,0.9117647058823529,0.9421654773922071,0.9092941176470587,0.06999069461714412,0.08043054411764705,-0.00810351777941163,"[-0.015273468009573504, -0.0014106568695146124]",-0.02060888054441505,"[-0.0688710213719276, 0.052277890750258245]",0,2,0,core_systematically_better_than_market
mechanical_mixing_plateau,强风机械混合平台,32,11,21,1,0.96875,0.9592044630748189,0.922515625,0.02777283245028485,0.0292413671875,-7.388383036367192e-05,"[-0.010374838511123368, 0.016306392149097303]",-0.011189218985910687,"[-0.05878345785436426, 0.06443745151592864]",1,0,0,low_sample_inconclusive
cold_advection,冷平流 proxy,28,13,19,1,0.9642857142857143,0.9706790469255865,0.9528035714285714,0.03417463702287517,0.03747583035714286,-0.004190012537221031,"[-0.007929246506556603, -0.0013567135541677898]",-0.04226351952837138,"[-0.08726552600568711, -0.015473698926145998]",0,1,0,low_sample_inconclusive
radiative_cooling,夜间辐射降温,1,1,1,1,0.0,0.5864982055880472,0.8,0.3439801451579993,0.6400000000000001,-0.29601985484200083,"[nan, nan]",-0.7263444874757078,"[nan, nan]",0,0,0,low_sample_inconclusive
cloud_blanket_moistening,夜间云层保温/增湿,1,1,1,0,1.0,0.9853459957072938,0.9865,0.0002147398418106531,0.00018224999999999882,3.248984181065427e-05,"[nan, nan]",0.00117048129211908,"[nan, nan]",0,0,0,low_sample_inconclusive
downslope_dry_warming,下坡/焚风干暖增温,70,25,26,6,0.9142857142857143,0.9281861353928818,0.9163928571428572,0.07496071530688268,0.07700174642857142,-0.002400484330057819,"[-0.003921195367835973, -0.0010071451254603427]",-0.014509109229761768,"[-0.02310646027334146, -0.006423089929053802]",0,6,0,core_systematically_better_than_market
frontal_airmass_transition,锋面/气团转换,128,31,29,11,0.9140625,0.9080054172570882,0.9263359375,0.07455056769840995,0.07656008203125,-6.9998385219457146e-06,"[-0.0076706891689065715, 0.007198691914452785]",-0.005310037356930953,"[-0.03385840811863025, 0.02097372484693475]",0,5,4,inconclusive_vs_market
solar_reheat,太阳再加热,347,36,31,34,0.9020172910662824,0.8774437471531279,0.9017982708933717,0.0866224917297562,0.08659147262247839,0.0011830276949671447,"[-0.0037311811426237406, 0.005872813955603124]",-0.0023501867436044026,"[-0.02181217055086574, 0.01644342221028711]",0,16,8,inconclusive_vs_market
rain_evaporative_cooling,降雨/蒸发冷却,55,18,23,2,0.9636363636363636,0.951552472361608,0.9547,0.027031703201203624,0.027589913636363636,-0.00037332816556396724,"[-0.0035863022812797655, 0.0017278959056773264]",-0.0002822870216154314,"[-0.011493444672419485, 0.008897204093160353]",0,1,0,low_sample_inconclusive
gust_mixing,阵风混合平台,6,3,6,0,1.0,0.9586641136134428,0.9071666666666666,0.002578034540298703,0.012662500000000005,-0.010084465459701302,"[-0.02003915120412923, -0.001983202779819096]",-0.0572270052864535,"[-0.09720794797556193, -0.02341704747264839]",0,0,0,low_sample_inconclusive
