case_id,mechanism,mechanism_label_zh,city,target_date,decision_snapshot_ts_utc,decision_hour_local,current_bracket,final_winning_bracket,unit,p_core,p_market_raw,current_yes_bid,current_yes_ask,current_yes_ask_size,overshoot,temp_tendency_1h_f,temp_tendency_3h_f,dewpoint_tendency_3h_f,observed_wind_speed_kt,wind_direction_deg,wind_direction_persistence_3h,wind_direction_shift_3h_deg,gust_kt,gust_excess_kt,precip_observed_1h,pressure_tendency_3h_hpa,solar_elevation_deg,forecast_peak_delta_hours_local,minutes_since_last_strict_new_high,current_exact_hold,core_hold_probability,market_hold_mid,market_hold_bid,market_hold_ask,core_tail_probability,market_tail_mid,market_yes_decimal_odds_mid,market_tail_decimal_odds_mid,core_minus_market_hold_probability,core_brier,market_brier,core_minus_market_brier,core_logloss,market_logloss,core_minus_market_logloss,attribution
11eee35b3578f3bb1cf2,cold_advection,冷平流 proxy,Wellington,2026-06-13,2026-06-13T02:30:53+00:00,14,14,15,C,0.952840694497459,0.9685,0.961,0.976,157.0,1,-1.8000000000000045,-1.8000000000000045,0.0,16.0,20.0,0.9978877348641378,10.0,,,False,-2.031833999999957,18.8294,-4,180.88333333333333,0,0.952840694497459,0.9685,0.961,0.976,0.047159305502540994,0.03149999999999997,1.0325245224574084,31.746031746031775,-0.01565930550254102,0.9079053890904,0.9379922500000001,-0.03008686090960011,3.0542239298306257,3.4577677331505505,-0.4035438033199248,shared_high_confidence_tail_loss
f8974a823f9498c75b47,downslope_dry_warming,下坡/焚风干暖增温,Jeddah,2026-06-07,2026-06-07T11:30:53+00:00,14,37,38,C,0.9475600478393222,0.955,0.94,0.97,236.09,1,1.7999999999999972,1.7999999999999972,-10.799999999999995,14.0,300.0,0.9966182269192392,30.0,,,False,-1.0159170000000386,60.0828,1,270.8833333333333,0,0.9475600478393222,0.955,0.94,0.97,0.05243995216067776,0.04500000000000004,1.0471204188481675,22.222222222222204,-0.007439952160677721,0.8978700442612586,0.912025,-0.01415495573874137,2.9480865323548313,3.1010927892118163,-0.153006256856985,shared_high_confidence_tail_loss
bd3e73f756642e19623b,downslope_dry_warming,下坡/焚风干暖增温,Jeddah,2026-06-15,2026-06-15T12:30:10+00:00,15,37,38+,C,0.9347052625145408,0.94,0.92,0.96,57.76,1,3.5999999999999943,7.199999999999989,-14.399999999999991,12.0,320.0,0.9564840243674428,40.0,,,False,-1.0159170000000386,46.9442,2,30.166666666666668,0,0.9347052625145408,0.94,0.92,0.96,0.06529473748545922,0.06000000000000005,1.0638297872340425,16.666666666666654,-0.005294737485459167,0.8736739277723766,0.8835999999999999,-0.009926072227623317,2.7288438357564853,2.8134107167600355,-0.08456688100355025,shared_high_confidence_tail_loss
993016a575a714887103,downslope_dry_warming,下坡/焚风干暖增温,Denver,2026-06-09,2026-06-09T21:30:53+00:00,15,90-91,92-93,F,0.8825200547248826,0.87,0.82,0.92,6.09,1,10.600000000000009,14.700000000000005,-22.3,18.0,230.0,0.7071067811865476,100.0,,,,,53.6185,2,32.88333333333333,0,0.8825200547248826,0.87,0.82,0.92,0.1174799452751174,0.13,1.1494252873563218,7.692307692307692,0.012520054724882601,0.7788416469916097,0.7569,0.02194164699160972,2.1414876384747967,2.0402208285265546,0.10126680994824211,shared_high_confidence_tail_loss
b7d14a83d2446731b87c,downslope_dry_warming,下坡/焚风干暖增温,Jeddah,2026-06-14,2026-06-14T12:30:31+00:00,15,36,37,C,0.8922627407486305,0.8865000000000001,0.886,0.887,59.59,1,0.0,1.7999999999999972,-1.7999999999999972,12.0,300.0,0.9865073341588964,0.0,,,False,-1.0159170000000386,46.8097,1,90.51666666666668,0,0.8922627407486305,0.8865000000000001,0.886,0.887,0.10773725925136945,0.11349999999999993,1.1280315848843767,8.810572687224674,0.005762740748630479,0.7961327985282579,0.7858822500000001,0.010250548528257797,2.228059800596386,2.17595244206068,0.05210735853570592,shared_high_confidence_tail_loss
94e0d2aec90526826da1,downslope_dry_warming,下坡/焚风干暖增温,Denver,2026-06-27,2026-06-27T20:30:53+00:00,14,94-95,96-97,F,0.8665500799370692,0.875,0.86,0.89,300.0,1,1.7999999999999972,6.8999999999999915,-4.0,22.0,200.0,0.9966182269192392,0.0,,,,,65.0529,-1,32.88333333333333,0,0.8665500799370692,0.875,0.86,0.89,0.13344992006293077,0.125,1.1428571428571428,8.0,-0.008449920062930771,0.7509090410389411,0.765625,-0.014715958961058928,2.014029002135674,2.0794415416798357,-0.0654125395441616,shared_high_confidence_tail_loss
bf413665e5428beb2cff,downslope_dry_warming,下坡/焚风干暖增温,Dallas,2026-06-09,2026-06-09T21:30:53+00:00,16,90-91,92-93,F,0.8479459682795201,0.835,0.81,0.86,21.14,1,1.0,3.0,-2.0,12.0,160.0,0.989871835341472,10.0,,,,,48.2706,0,37.88333333333333,0,0.8479459682795201,0.835,0.81,0.86,0.15205403172047993,0.16500000000000004,1.1976047904191618,6.06060606060606,0.012945968279520104,0.7190123651214928,0.697225,0.02178736512149282,1.8835193494557458,1.8018098050815563,0.08170954437418954,shared_high_confidence_tail_loss
256512f7d88a423d3685,frontal_airmass_transition,锋面/气团转换,Wellington,2026-06-16,2026-06-16T05:30:56+00:00,17,11,12,C,0.5864982055880472,0.8,0.71,0.89,36.93,1,-3.5999999999999943,-3.5999999999999943,0.0,3.0,10.0,0.3955758167534989,140.0,,,False,-2.031833999999957,-6.3672,-6,1050.9333333333334,0,0.5864982055880472,0.8,0.71,0.89,0.4135017944119528,0.19999999999999996,1.25,5.000000000000001,-0.21350179441195283,0.3439801451579993,0.6400000000000001,-0.29601985484200083,0.8830934249583927,1.6094379124341005,-0.7263444874757078,market_only_high_confidence_tail_loss
85f31f9ba5866632e420,frontal_airmass_transition,锋面/气团转换,Lucknow,2026-06-27,2026-06-27T09:00:53+00:00,14,40,41,C,0.7792424751094883,0.875,0.86,0.89,59.1,1,1.7999999999999972,3.5999999999999943,-1.8000000000000114,4.0,330.0,0.3853017879907932,110.0,,,False,-3.047750999999995,57.7059,0,90.88333333333334,0,0.7792424751094883,0.875,0.86,0.89,0.2207575248905117,0.125,1.1428571428571428,8.0,-0.0957575248905117,0.6072188350147615,0.765625,-0.15840616498523852,1.5106903522398072,2.0794415416798357,-0.5687511894400286,market_only_high_confidence_tail_loss
bb8bbe210cd316862374,frontal_airmass_transition,锋面/气团转换,BuenosAires,2026-06-27,2026-06-27T17:30:43+00:00,14,18,19,C,0.8891671405996393,0.94,0.93,0.95,208.87,1,3.6000000000000085,10.800000000000004,0.0,4.0,300.0,,60.0,,,False,-2.031834000000077,27.7529,-1,30.716666666666665,0,0.8891671405996393,0.94,0.93,0.95,0.1108328594003607,0.06000000000000005,1.0638297872340425,16.666666666666654,-0.05083285940036064,0.7906182039221388,0.8835999999999999,-0.09298179607786117,2.1997319836504516,2.8134107167600355,-0.6136787331095839,market_more_overconfident_tail_loss
