city,event_date,bracket,token_id,failed_attempts,first_failure_utc,last_failure_utc,snapshot_ask,model_p_yes,edge,book_error
Atlanta,2026-07-27,94-95,68633956640531880842155444858745218948653818126034105734586567485458599536656,3,2026-07-27T02:38:27Z,2026-07-27T02:49:49Z,0.155,0.6497,0.4947,ConnectTimeout: timed out
Atlanta,2026-07-27,96-97,74704488325283996410052093041699806515348137737785677804041930166905432824424,11,2026-07-27T02:55:29Z,2026-07-27T04:13:15Z,0.07,0.6497,0.5797,ConnectTimeout: timed out
Austin,2026-07-27,100-101,42172672917504850905643860062326308888114256989269753619617968016002719878978,14,2026-07-27T03:07:32Z,2026-07-27T04:58:32Z,0.115,0.3886,0.2736,ConnectTimeout: timed out
Chicago,2026-07-27,92-93,6932219882695051718725756695500592738922193515288553804199644543375449652478,6,2026-07-27T03:08:12Z,2026-07-27T03:50:06Z,0.13,0.5992,0.4692,ConnectTimeout: timed out
Chicago,2026-07-27,94-95,98113394958585219699349332417916740441163239791539764520874830008079810459506,5,2026-07-27T04:06:11Z,2026-07-27T04:41:47Z,0.07,0.2826,0.2126,ConnectTimeout: timed out
Dallas,2026-07-27,104-105,70628649226117429992260926782779780265389780286381668511513569618262340426195,15,2026-07-27T03:08:53Z,2026-07-27T05:06:55Z,0.05,0.3277,0.2777,ConnectTimeout: timed out
Denver,2026-07-27,96-97,89295987028755165680974345097810380543941041689735520667289382245537738460763,16,2026-07-27T04:06:53Z,2026-07-27T05:59:27Z,0.14,0.5869,0.4469,ConnectTimeout: timed out
Denver,2026-07-27,98-99,106598960675883956500238213672701511651885646889952244232151469524148224910272,2,2026-07-27T06:05:48Z,2026-07-27T06:12:10Z,0.05,0.2564,0.2064,ConnectTimeout: timed out
Houston,2026-07-27,98-99,106735324433739051924947869360688637653967669037234943729627660860304168249101,15,2026-07-27T03:09:33Z,2026-07-27T05:08:16Z,0.09,0.3588,0.2688,ConnectTimeout: timed out
MexicoCity,2026-07-27,26,103733630659954018490207997035906390571501591033311195757745087958771807838115,18,2026-07-27T04:07:34Z,2026-07-27T06:12:50Z,0.15,0.3503,0.2003,ConnectTimeout: timed out
CapeTown,2026-07-28,18,21203220822757252960663340433694535867798055911965516478403645898574608818302,16,2026-07-27T20:06:49Z,2026-07-27T22:01:56Z,0.1,0.3927,0.2927,ConnectTimeout: timed out
Chongqing,2026-07-28,35,70186768344214812923497475992233039745498736573346762114903321621923629786591,21,2026-07-27T14:13:59Z,2026-07-27T16:16:16Z,0.055,0.3023,0.2473,ConnectTimeout: timed out
Helsinki,2026-07-28,18,52800132778161270995097250602068012038322718765631549746920962069644075743535,21,2026-07-27T19:03:36Z,2026-07-27T21:05:24Z,0.07,0.3079,0.2379,ConnectTimeout: timed out
HongKong,2026-07-28,31,9480208579291277273633991364628066144615881557393233851535580024275973394386,5,2026-07-27T14:44:33Z,2026-07-27T16:16:56Z,0.085,0.2853,0.2003,ConnectTimeout: timed out
Milan,2026-07-28,35,91638248391839017894012454597507630711439177955889153363007757201235087491676,14,2026-07-27T20:08:09Z,2026-07-27T22:02:36Z,0.0575,0.339,0.2815,ConnectTimeout: timed out
Moscow,2026-07-28,25,91396450699891441593882813583710132740460551307976557580769422958102567310397,3,2026-07-27T19:04:16Z,2026-07-27T19:16:59Z,0.055,0.2599,0.2049,ConnectTimeout: timed out
Shanghai,2026-07-28,32,89783070020789811432457063320431794106890662766545799935033048951290847326329,15,2026-07-27T14:14:40Z,2026-07-27T16:17:37Z,0.11,0.3777,0.2677,ConnectTimeout: timed out
Wellington,2026-07-28,13,110113354849367408221642125548420824885804538004106579733950828038584023617762,23,2026-07-27T10:03:55Z,2026-07-27T12:08:05Z,0.125,0.3672,0.2422,ConnectTimeout: timed out
