window,increment,tie_band,pairs,dates,concordance,ci_low,ci_high
oos_all,source_increment,0.01,529,39,0.5652173913043478,0.49904379285064304,0.6263370761238597
oos_all,source_increment,0.02,967,39,0.5429162357807652,0.48422298160449667,0.5940699419486773
oos_all,source_increment,0.05,2253,39,0.546826453617399,0.4862594629452814,0.605648857570056
oos_all,overshoot_increment,0.01,529,39,0.5784499054820416,0.5227261520530752,0.6298284729851192
oos_all,overshoot_increment,0.02,967,39,0.5667011375387797,0.5142544523846554,0.6146359397417503
oos_all,overshoot_increment,0.05,2253,39,0.5694629383044829,0.5160740866836708,0.6213236508193153
recent_ge_2026_06_21,source_increment,0.01,192,19,0.4635416666666667,0.3465327044515475,0.5583343908629441
recent_ge_2026_06_21,source_increment,0.02,372,19,0.4596774193548387,0.360852457693239,0.5458637901703091
recent_ge_2026_06_21,source_increment,0.05,826,19,0.4745762711864407,0.3735228611244753,0.5628484263560819
recent_ge_2026_06_21,overshoot_increment,0.01,192,19,0.4895833333333333,0.39795784806069023,0.5638335686195421
recent_ge_2026_06_21,overshoot_increment,0.02,372,19,0.5,0.41329176906303,0.5785838870431892
recent_ge_2026_06_21,overshoot_increment,0.05,826,19,0.5121065375302664,0.4221550750957102,0.5927356805044666
fresh_ge_2026_07_08,source_increment,0.01,22,3,0.36363636363636365,0.09090909090909091,0.75
fresh_ge_2026_07_08,source_increment,0.02,53,3,0.3018867924528302,0.16666666666666666,0.625
fresh_ge_2026_07_08,source_increment,0.05,138,3,0.41304347826086957,0.24615384615384617,0.7391304347826086
fresh_ge_2026_07_08,overshoot_increment,0.01,22,3,0.45454545454545453,0.2727272727272727,0.75
fresh_ge_2026_07_08,overshoot_increment,0.02,53,3,0.41509433962264153,0.3333333333333333,0.75
fresh_ge_2026_07_08,overshoot_increment,0.05,138,3,0.4782608695652174,0.35384615384615387,0.8260869565217391
