changed_since_last,city,current_bracket,current_native,current_temp_c,current_yes_ask,current_yes_indicative,current_yes_quote_delay_min,current_yes_quote_source,current_yes_quote_ts_utc,current_yes_snapshot_book_status,current_yes_snapshot_raw_ask,current_yes_token_id,d1_bracket,d1_no_ask,d1_no_indicative,d1_no_quote_delay_min,d1_no_quote_source,d1_no_quote_ts_utc,d1_no_snapshot_book_status,d1_no_snapshot_raw_ask,d1_no_token_id,decision_hour_local_at_detect,decision_snapshot_ts_utc,decline_gate,decline_native,detected_after_report_sec,effective_cost_per_share,entry_ask,estimated_cadence_min,expression,fee_per_share,forecast_max_native,forecast_peak_delta_hours_local,in_research_window,live_observation_source,local_detect_ts_utc,mapping_rule,mature_high_gate,minutes_since_running_max_at_detect,path_not_warming_gate,payload_hash,physical_confirmation_base,physical_confirmation_strong_partial,physical_support_count_partial,physical_support_reasons_partial,pnl_per_share,prebase_without_forecast_clock,precip_state,price_source,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,snapshot_path,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state,win
True,Beijing,33,30.0,30.0,0.986,0.9745,0.55,orderbook_archive_first_after_signal,2026-07-07T06:18:43Z,ok,0.986,66440973907380370885377359575479012197882365923199436971636324188428429828497,34,0.99,0.9765,0.5666666666666667,orderbook_archive_first_after_signal,2026-07-07T06:18:44Z,ok,0.99,105486268429870775139230695923642956817645070756059187902753144942624192500036,14.13888888888889,2026-07-07T06:18:10Z,True,3.0,500.705,0.98669,0.986,30.0,current_yes,0.00069,30.9,3.3,True,aviationweather_metar,2026-07-07T06:08:20.705105+00:00,whole-degree WU station max,True,68.34508508333333,True,cd5bc68a3ced838b,True,False,0,[],0.013310000000000044,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR ZBAA 070600Z 12007G12MPS 080V150 9999 FEW050CB 30/23 Q0997 NOSIG,cad34e8bc71e15fb,29,same_station_source_profile,66.17996487728405,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1418.json,aviationweather_metar,500.705,2026-07-07T06:08:20.705105Z,2026-07-07T06:08:20.705105+00:00,0.986,2026-07-07T06:08:19.718637+00:00,metar_speci_capable,2026-07-07T06:00:00Z,ZBAA,ok,2026-07-07,30.0,-5.4,2026-07-07T06:08:20.705105+00:00,C,cooling,1.0
True,Beijing,33,30.0,30.0,0.986,0.9745,0.55,orderbook_archive_first_after_signal,2026-07-07T06:18:43Z,ok,0.986,66440973907380370885377359575479012197882365923199436971636324188428429828497,34,0.99,0.9765,0.5666666666666667,orderbook_archive_first_after_signal,2026-07-07T06:18:44Z,ok,0.99,105486268429870775139230695923642956817645070756059187902753144942624192500036,14.13888888888889,2026-07-07T06:18:10Z,True,3.0,500.705,0.9904999999999999,0.99,30.0,d1_no,0.0005,30.9,3.3,True,aviationweather_metar,2026-07-07T06:08:20.705105+00:00,whole-degree WU station max,True,68.34508508333333,True,cd5bc68a3ced838b,True,False,0,[],0.009500000000000064,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR ZBAA 070600Z 12007G12MPS 080V150 9999 FEW050CB 30/23 Q0997 NOSIG,cad34e8bc71e15fb,29,same_station_source_profile,66.17996487728405,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1418.json,aviationweather_metar,500.705,2026-07-07T06:08:20.705105Z,2026-07-07T06:08:20.705105+00:00,0.986,2026-07-07T06:08:19.718637+00:00,metar_speci_capable,2026-07-07T06:00:00Z,ZBAA,ok,2026-07-07,30.0,-5.4,2026-07-07T06:08:20.705105+00:00,C,cooling,1.0
True,Busan,29,28.0,28.0,0.949,0.9375,0.8,orderbook_archive_first_after_signal,2026-07-07T07:18:04Z,ok,0.949,24467223268633261170026274691487344281375820816990630099529870333446203091998,30,0.98,0.945,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-07T07:18:05Z,ok,0.98,59026234973464389397943762946450623435031090009102068128662734295515274924253,16.125555555555557,2026-07-07T07:17:16Z,True,1.0,452.949,0.9514199999999999,0.949,48.0,current_yes,0.00242,30.2,2.28,True,aviationweather_metar,2026-07-07T07:07:32.949337+00:00,whole-degree WU station max,True,67.54915561666667,True,50dfe946e8893e83,True,True,3,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",0.04858000000000007,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 070700Z 19010KT 9999 FEW005 SCT020 BKN030 28/25 Q1008,f1b36697f95b749e,24,same_station_source_profile,83.78747242805218,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1517.json,aviationweather_metar,452.949,2026-07-07T07:07:32.949337Z,2026-07-07T07:07:32.949337+00:00,1.007,2026-07-07T07:07:31.941905+00:00,metar_speci_capable,2026-07-07T07:00:00Z,RKPK,ok,2026-07-07,28.0,-1.8,2026-07-07T07:07:32.949337+00:00,C,cooling,1.0
True,Busan,29,28.0,28.0,0.949,0.9375,0.8,orderbook_archive_first_after_signal,2026-07-07T07:18:04Z,ok,0.949,24467223268633261170026274691487344281375820816990630099529870333446203091998,30,0.98,0.945,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-07T07:18:05Z,ok,0.98,59026234973464389397943762946450623435031090009102068128662734295515274924253,16.125555555555557,2026-07-07T07:17:16Z,True,1.0,452.949,0.98098,0.98,48.0,d1_no,0.00098,30.2,2.28,True,aviationweather_metar,2026-07-07T07:07:32.949337+00:00,whole-degree WU station max,True,67.54915561666667,True,50dfe946e8893e83,True,True,3,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",0.019020000000000037,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR RKPK 070700Z 19010KT 9999 FEW005 SCT020 BKN030 28/25 Q1008,f1b36697f95b749e,24,same_station_source_profile,83.78747242805218,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1517.json,aviationweather_metar,452.949,2026-07-07T07:07:32.949337Z,2026-07-07T07:07:32.949337+00:00,1.007,2026-07-07T07:07:31.941905+00:00,metar_speci_capable,2026-07-07T07:00:00Z,RKPK,ok,2026-07-07,28.0,-1.8,2026-07-07T07:07:32.949337+00:00,C,cooling,1.0
True,Amsterdam,23,22.0,22.0,0.976,0.955,16.416666666666668,orderbook_archive_first_after_signal,2026-07-07T12:53:36Z,orderbook_scope_skipped,,36568002281399916898423655687813156495747738673929795086910413022432716946345,24,0.979,0.955,16.433333333333334,orderbook_archive_first_after_signal,2026-07-07T12:53:37Z,orderbook_scope_skipped,,13706945833752699083624211212695821817675139518710249936273986520883503854589,14.459999999999999,2026-07-07T12:37:11Z,True,1.0,156.478,0.97717,0.976,30.0,current_yes,0.00117,22.9,2.62,True,aviationweather_metar,2026-07-07T12:27:36.478436+00:00,whole-degree WU station max,True,62.607973933333334,True,6325eb9d43015736,True,False,1,['onshore_marine_cooling'],0.022830000000000017,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR EHAM 071225Z 29019KT 9999 FEW028 22/13 Q1014 NOSIG,88462b347c4f9397,29,same_station_source_profile,56.65969850703809,METAR,23.0,23.0,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_2037.json,aviationweather_metar,156.478,2026-07-07T12:27:36.478436Z,2026-07-07T12:27:36.478436+00:00,1.309,2026-07-07T12:27:35.169385+00:00,routine_metar_only,2026-07-07T12:25:00Z,EHAM,ok,2026-07-07,22.0,-1.8,2026-07-07T12:27:36.478436+00:00,C,cooling,1.0
True,Amsterdam,23,22.0,22.0,0.976,0.955,16.416666666666668,orderbook_archive_first_after_signal,2026-07-07T12:53:36Z,orderbook_scope_skipped,,36568002281399916898423655687813156495747738673929795086910413022432716946345,24,0.979,0.955,16.433333333333334,orderbook_archive_first_after_signal,2026-07-07T12:53:37Z,orderbook_scope_skipped,,13706945833752699083624211212695821817675139518710249936273986520883503854589,14.459999999999999,2026-07-07T12:37:11Z,True,1.0,156.478,0.98003,0.979,30.0,d1_no,0.00103,22.9,2.62,True,aviationweather_metar,2026-07-07T12:27:36.478436+00:00,whole-degree WU station max,True,62.607973933333334,True,6325eb9d43015736,True,False,1,['onshore_marine_cooling'],0.019970000000000043,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR EHAM 071225Z 29019KT 9999 FEW028 22/13 Q1014 NOSIG,88462b347c4f9397,29,same_station_source_profile,56.65969850703809,METAR,23.0,23.0,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_2037.json,aviationweather_metar,156.478,2026-07-07T12:27:36.478436Z,2026-07-07T12:27:36.478436+00:00,1.309,2026-07-07T12:27:35.169385+00:00,routine_metar_only,2026-07-07T12:25:00Z,EHAM,ok,2026-07-07,22.0,-1.8,2026-07-07T12:27:36.478436+00:00,C,cooling,1.0
True,CapeTown,19,18.0,18.0,0.999,0.994,16.716666666666665,orderbook_archive_first_after_signal,2026-07-07T13:26:12Z,orderbook_budget_exhausted,,87578619624363019039268125682608978582087760610702379973973340650072145732227,20,0.998,0.993,16.733333333333334,orderbook_archive_first_after_signal,2026-07-07T13:26:13Z,orderbook_budget_exhausted,,23271404986401331331641208567137063515175517499829082450287419607212809078480,15.116111111111111,2026-07-07T13:09:29Z,True,1.0,418.861,0.99905,0.999,59.0,current_yes,5e-05,18.1,1.15,True,aviationweather_metar,2026-07-07T13:06:58.860646+00:00,whole-degree WU station max,True,126.98101076666667,True,4f867641c5058e56,True,False,0,[],0.0009500000000000064,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR FACT 071300Z 31007KT 260V350 9999 FEW028 18/13 Q1026 NOSIG,b9668fa2cd1cc730,22,same_station_source_profile,72.58214163091449,METAR,19.0,19.0,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_2109.json,aviationweather_metar,418.861,2026-07-07T13:06:58.860646Z,2026-07-07T13:06:58.860646+00:00,0.952,2026-07-07T13:06:57.908425+00:00,metar_speci_capable,2026-07-07T13:00:00Z,FACT,ok,2026-07-07,18.0,0.0,2026-07-07T13:06:58.860646+00:00,C,flat,1.0
True,CapeTown,19,18.0,18.0,0.999,0.994,16.716666666666665,orderbook_archive_first_after_signal,2026-07-07T13:26:12Z,orderbook_budget_exhausted,,87578619624363019039268125682608978582087760610702379973973340650072145732227,20,0.998,0.993,16.733333333333334,orderbook_archive_first_after_signal,2026-07-07T13:26:13Z,orderbook_budget_exhausted,,23271404986401331331641208567137063515175517499829082450287419607212809078480,15.116111111111111,2026-07-07T13:09:29Z,True,1.0,418.861,0.9981,0.998,59.0,d1_no,0.0001,18.1,1.15,True,aviationweather_metar,2026-07-07T13:06:58.860646+00:00,whole-degree WU station max,True,126.98101076666667,True,4f867641c5058e56,True,False,0,[],0.0019000000000000128,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR FACT 071300Z 31007KT 260V350 9999 FEW028 18/13 Q1026 NOSIG,b9668fa2cd1cc730,22,same_station_source_profile,72.58214163091449,METAR,19.0,19.0,WU market rules station matches configured station,default_wu_station_by_rules,1,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_2109.json,aviationweather_metar,418.861,2026-07-07T13:06:58.860646Z,2026-07-07T13:06:58.860646+00:00,0.952,2026-07-07T13:06:57.908425+00:00,metar_speci_capable,2026-07-07T13:00:00Z,FACT,ok,2026-07-07,18.0,0.0,2026-07-07T13:06:58.860646+00:00,C,flat,1.0
True,Ankara,28,26.0,26.0,0.989,0.9845,0.23333333333333334,orderbook_archive_first_after_signal,2026-07-07T13:41:43Z,ok,0.989,101827684592970135250424896809014736886263706879095313070909168844436508684514,29,0.989,0.9845,0.25,orderbook_archive_first_after_signal,2026-07-07T13:41:44Z,ok,0.989,11249547778788254325143007216679230942400475790122574808374243164602178769877,16.530833333333334,2026-07-07T13:41:29Z,True,2.0,711.073,0.98954,0.989,30.0,current_yes,0.00054,26.1,1.68,True,aviationweather_metar,2026-07-07T13:31:51.073116+00:00,whole-degree WU station max,True,71.8512186,True,5e777d193c123f28,True,False,0,[],0.010460000000000025,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR LTAC 071320Z 04010KT 9999 SCT040 SCT100 26/09 Q1014 NOSIG RMK RWY21C 05008KT 360V080 RWY03L 05010KT 010V080 RWY21R 05008KT 360V110 RWY03R 01012KT RWY21L 04009KT 360V060,92b8148880cbc0de,33,same_station_source_profile,34.166862775596364,METAR,28.0,28.0,WU market rules station matches configured station,default_wu_station_by_rules,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_2141.json,aviationweather_metar,711.073,2026-07-07T13:31:51.073116Z,2026-07-07T13:31:51.073116+00:00,1.144,2026-07-07T13:31:49.928972+00:00,routine_metar_only,2026-07-07T13:20:00Z,LTAC,ok,2026-07-07,26.0,-3.6,2026-07-07T13:31:51.073116+00:00,C,cooling,1.0
True,Ankara,28,26.0,26.0,0.989,0.9845,0.23333333333333334,orderbook_archive_first_after_signal,2026-07-07T13:41:43Z,ok,0.989,101827684592970135250424896809014736886263706879095313070909168844436508684514,29,0.989,0.9845,0.25,orderbook_archive_first_after_signal,2026-07-07T13:41:44Z,ok,0.989,11249547778788254325143007216679230942400475790122574808374243164602178769877,16.530833333333334,2026-07-07T13:41:29Z,True,2.0,711.073,0.98954,0.989,30.0,d1_no,0.00054,26.1,1.68,True,aviationweather_metar,2026-07-07T13:31:51.073116+00:00,whole-degree WU station max,True,71.8512186,True,5e777d193c123f28,True,False,0,[],0.010460000000000025,True,none_observed,direct_executable_ask,weather_data_feed_service.source_events,METAR LTAC 071320Z 04010KT 9999 SCT040 SCT100 26/09 Q1014 NOSIG RMK RWY21C 05008KT 360V080 RWY03L 05010KT 010V080 RWY21R 05008KT 360V110 RWY03R 01012KT RWY21L 04009KT 360V060,92b8148880cbc0de,33,same_station_source_profile,34.166862775596364,METAR,28.0,28.0,WU market rules station matches configured station,default_wu_station_by_rules,2,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_2141.json,aviationweather_metar,711.073,2026-07-07T13:31:51.073116Z,2026-07-07T13:31:51.073116+00:00,1.144,2026-07-07T13:31:49.928972+00:00,routine_metar_only,2026-07-07T13:20:00Z,LTAC,ok,2026-07-07,26.0,-3.6,2026-07-07T13:31:51.073116+00:00,C,cooling,1.0
