city,decision_snapshot_ts_utc,expression,history_delay_min,history_point_ts_utc,history_price,status,target_date,token_id
Amsterdam,2026-07-07T12:37:11Z,current_yes,0.9333333333333333,2026-07-07T12:38:07Z,0.9695,ok,2026-07-07,36568002281399916898423655687813156495747738673929795086910413022432716946345
Amsterdam,2026-07-07T12:37:11Z,d1_no,0.9333333333333333,2026-07-07T12:38:07Z,0.9705,ok,2026-07-07,13706945833752699083624211212695821817675139518710249936273986520883503854589
Ankara,2026-07-07T13:41:29Z,current_yes,0.7166666666666667,2026-07-07T13:42:12Z,0.9845,ok,2026-07-07,101827684592970135250424896809014736886263706879095313070909168844436508684514
Ankara,2026-07-07T13:41:29Z,d1_no,0.7166666666666667,2026-07-07T13:42:12Z,0.9835,ok,2026-07-07,11249547778788254325143007216679230942400475790122574808374243164602178769877
Beijing,2026-07-07T06:18:10Z,current_yes,0.9166666666666666,2026-07-07T06:19:05Z,0.977,ok,2026-07-07,66440973907380370885377359575479012197882365923199436971636324188428429828497
Beijing,2026-07-07T06:18:10Z,d1_no,0.9,2026-07-07T06:19:04Z,0.9815,ok,2026-07-07,105486268429870775139230695923642956817645070756059187902753144942624192500036
Busan,2026-07-07T07:17:16Z,current_yes,0.8,2026-07-07T07:18:04Z,0.926,ok,2026-07-07,24467223268633261170026274691487344281375820816990630099529870333446203091998
Busan,2026-07-07T07:17:16Z,d1_no,0.7833333333333333,2026-07-07T07:18:03Z,0.97,ok,2026-07-07,59026234973464389397943762946450623435031090009102068128662734295515274924253
CapeTown,2026-07-07T13:09:29Z,current_yes,0.5833333333333334,2026-07-07T13:10:04Z,0.995,ok,2026-07-07,87578619624363019039268125682608978582087760610702379973973340650072145732227
CapeTown,2026-07-07T13:09:29Z,d1_no,0.5833333333333334,2026-07-07T13:10:04Z,0.9975,ok,2026-07-07,23271404986401331331641208567137063515175517499829082450287419607212809078480
Chicago,2026-07-07T20:04:59Z,current_yes,0.06666666666666667,2026-07-07T20:05:03Z,0.86,ok,2026-07-07,115648523236384549138956306779174143916313465750614611481668626267928317937440
Chicago,2026-07-07T20:04:59Z,d1_no,0.08333333333333333,2026-07-07T20:05:04Z,0.865,ok,2026-07-07,114720141464309953924687321006075083032743747919733702764755170940351536543612
Chongqing,2026-07-07T08:15:32Z,current_yes,0.5333333333333333,2026-07-07T08:16:04Z,0.9875,ok,2026-07-07,23614586082357684231651411458650156743404613401472733733858945574446950883228
Chongqing,2026-07-07T08:15:32Z,d1_no,0.55,2026-07-07T08:16:05Z,0.994,ok,2026-07-07,88588238390699744882193625034014652919720828679542985919992673490869036030409
