changed_since_last,city,current_native,current_temp_c,decision_hour_local_at_detect,decline_native,detected_after_report_sec,estimated_cadence_min,live_observation_source,local_detect_ts_utc,mapping_rule,minutes_since_running_max_at_detect,payload_hash,physical_support_count_partial,physical_support_reasons_partial,prebase_without_forecast_clock,precip_state,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_file_ts_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state
True,Wellington,12.0,12.0,14.610277777777778,1.0,397.227,30.0,aviationweather_metar,2026-07-07T02:36:37.226874+00:00,whole-degree WU station max,66.6204479,9a4a78a071fb1db1,4,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR NZWN 070230Z AUTO 16018KT 6000 -RA SCT033/// BKN040/// OVC070/// 12/11 Q1005,d576c5912cf05399,30,same_station_source_profile,93.60237175676417,METAR,13.0,13.0,WU market rules station matches configured station,default_wu_station_by_rules,4,aviationweather_metar,397.227,2026-07-07T02:36:37.226874Z,2026-07-07T02:36:37.226874+00:00,1.017,2026-07-07T02:36:36.209445+00:00,,routine_metar_only,2026-07-07T02:30:00Z,NZWN,ok,2026-07-07,12.0,-1.8,2026-07-07T02:36:37.226874+00:00,C,cooling
True,Wellington,12.0,12.0,15.077777777777778,1.0,280.187,30.0,aviationweather_metar,2026-07-07T03:04:40.186819+00:00,whole-degree WU station max,94.66978031666666,0b933a7f872e9fae,4,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR NZWN 070300Z AUTO 18017KT 7000 -RA SCT008/// BKN030/// 12/11 Q1005,66581048197a1972,31,same_station_source_profile,93.60237175676417,METAR,13.0,13.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,280.187,2026-07-07T03:04:40.186819Z,2026-07-07T03:04:40.186819+00:00,1.238,2026-07-07T03:04:38.948386+00:00,,routine_metar_only,2026-07-07T03:00:00Z,NZWN,ok,2026-07-07,12.0,0.0,2026-07-07T03:04:40.186819+00:00,C,flat
True,Busan,27.0,27.0,13.08,1.0,288.888,42.0,aviationweather_metar,2026-07-07T04:04:48.887818+00:00,whole-degree WU station max,64.81479696666666,8199b2289a234eb4,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR RKPK 070400Z 19007KT 9999 FEW005 SCT020 BKN025 27/25 Q1009,c3301e20467cabe0,20,same_station_source_profile,88.83751596451741,METAR,28.0,28.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,288.888,2026-07-07T04:04:48.887818Z,2026-07-07T04:04:48.887818+00:00,1.327,2026-07-07T04:04:47.560421+00:00,,metar_speci_capable,2026-07-07T04:00:00Z,RKPK,ok,2026-07-07,27.0,-1.8,2026-07-07T04:04:48.887818+00:00,C,cooling
True,Taipei,33.0,33.0,13.15611111111111,2.0,562.471,30.0,aviationweather_metar,2026-07-07T05:09:22.471417+00:00,whole-degree WU station max,69.37452361666666,d7e42c415c6495f2,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR RCSS 070500Z 09007KT 040V120 9999 FEW020 SCT035 BKN220 33/27 Q1008 NOSIG RMK A2978,4eb8b5894ad5ea2f,21,same_station_source_profile,70.83672096419856,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,562.471,2026-07-07T05:09:22.471417Z,2026-07-07T05:09:22.471417+00:00,0.957,2026-07-07T05:09:21.514729+00:00,,metar_speci_capable,2026-07-07T05:00:00Z,RCSS,ok,2026-07-07,33.0,-3.6,2026-07-07T05:09:22.471417+00:00,C,cooling
True,Guangzhou,29.0,29.0,13.15611111111111,1.0,562.529,30.0,aviationweather_metar,2026-07-07T05:09:22.529412+00:00,whole-degree WU station max,99.3754902,18e0745f7b9db383,2,"['observed_precipitation', 'cloud_limited_flat_or_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR ZGGG 070500Z 14006MPS 9999 FEW016 OVC040 29/25 Q1007 BECMG AT0540 SHRA FEW026CB BKN033,500861494fc3f625,27,same_station_source_profile,79.0585121873896,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,4,aviationweather_metar,562.529,2026-07-07T05:09:22.529412Z,2026-07-07T05:09:22.529412+00:00,2.194,2026-07-07T05:09:20.335752+00:00,,metar_speci_capable,2026-07-07T05:00:00Z,ZGGG,ok,2026-07-07,29.0,0.0,2026-07-07T05:09:22.529412+00:00,C,flat
True,Guangzhou,29.0,29.0,13.646388888888888,1.0,527.138,30.0,aviationweather_metar,2026-07-07T05:38:47.137601+00:00,whole-degree WU station max,128.78562668333333,caac9687993bec47,2,"['observed_precipitation', 'cloud_limited_flat_or_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR ZGGG 070530Z 12006MPS 9999 -SHRA SCT016 OVC040 29/25 Q1007 NOSIG,a83ce2de0408dff7,28,same_station_source_profile,79.0585121873896,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,4,aviationweather_metar,527.138,2026-07-07T05:38:47.137601Z,2026-07-07T05:38:47.137601+00:00,0.907,2026-07-07T05:38:46.230940+00:00,,metar_speci_capable,2026-07-07T05:30:00Z,ZGGG,ok,2026-07-07,29.0,0.0,2026-07-07T05:38:47.137601+00:00,C,flat
True,Taipei,32.0,32.0,13.646666666666667,3.0,528.458,30.0,aviationweather_metar,2026-07-07T05:38:48.457914+00:00,whole-degree WU station max,98.80763189999999,0f0f98c518fef33d,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR RCSS 070530Z 33006KT 290V020 9999 FEW020 SCT035 BKN220 32/27 Q1008 NOSIG RMK A2978,77ac2dc11a182e8d,22,same_station_source_profile,74.94828132337592,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,528.458,2026-07-07T05:38:48.457914Z,2026-07-07T05:38:48.457914+00:00,1.147,2026-07-07T05:38:47.310435+00:00,,metar_speci_capable,2026-07-07T05:30:00Z,RCSS,ok,2026-07-07,32.0,-3.6,2026-07-07T05:38:48.457914+00:00,C,cooling
True,Beijing,30.0,30.0,14.13888888888889,3.0,500.705,30.0,aviationweather_metar,2026-07-07T06:08:20.705105+00:00,whole-degree WU station max,68.34508508333333,cd5bc68a3ced838b,0,[],True,none_observed,weather_data_feed_service.source_events,METAR ZBAA 070600Z 12007G12MPS 080V150 9999 FEW050CB 30/23 Q0997 NOSIG,cad34e8bc71e15fb,29,same_station_source_profile,66.17996487728405,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,aviationweather_metar,500.705,2026-07-07T06:08:20.705105Z,2026-07-07T06:08:20.705105+00:00,0.986,2026-07-07T06:08:19.718637+00:00,,metar_speci_capable,2026-07-07T06:00:00Z,ZBAA,ok,2026-07-07,30.0,-5.4,2026-07-07T06:08:20.705105+00:00,C,cooling
True,Taipei,33.0,33.0,14.139444444444443,2.0,502.818,30.0,aviationweather_metar,2026-07-07T06:08:22.817872+00:00,whole-degree WU station max,128.38029786666667,891afa2c1bdee5dc,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR RCSS 070600Z 32007KT 290V360 9999 FEW020 BKN035 BKN220 33/27 Q1008 NOSIG RMK A2978,72ed201681a0d8f6,23,same_station_source_profile,70.83672096419856,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,502.818,2026-07-07T06:08:22.817872Z,2026-07-07T06:08:22.817872+00:00,0.957,2026-07-07T06:08:21.861340+00:00,,metar_speci_capable,2026-07-07T06:00:00Z,RCSS,ok,2026-07-07,33.0,0.0,2026-07-07T06:08:22.817872+00:00,C,flat
True,Guangzhou,29.0,29.0,14.210277777777778,1.0,757.058,30.0,aviationweather_metar,2026-07-07T06:12:37.058411+00:00,whole-degree WU station max,162.61764018333332,e05c1a9f2bb0e518,2,"['observed_precipitation', 'cloud_limited_flat_or_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR ZGGG 070600Z 12007MPS 9999 -SHRA SCT016 OVC040 29/25 Q1007 NOSIG,afe8b0c1b031a91e,29,same_station_source_profile,79.0585121873896,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,4,aviationweather_metar,757.058,2026-07-07T06:12:37.058411Z,2026-07-07T06:12:37.058411+00:00,1.17,2026-07-07T06:12:35.888692+00:00,,metar_speci_capable,2026-07-07T06:00:00Z,ZGGG,ok,2026-07-07,29.0,0.0,2026-07-07T06:12:37.058411+00:00,C,flat
