active_dates,avg_ask,cities,cohort,cost,expression,pnl,price_layer,roi,roi_ci95,rows,slippage_add,win_rate,wins
8,0.9156225165562915,39,base,138.56822,current_yes,0.4317800000000006,clob_price_history_proxy,0.003116010294423935,"[-0.028495560113468744, 0.03106419670819499]",151,0.0,0.9205298013245033,139.0
8,0.9574933333333333,39,base,143.88894,d1_no,-1.888940000000001,clob_price_history_proxy,-0.013127763676624493,"[-0.04293690490274916, 0.015454369288598049]",150,0.0,0.9466666666666667,142.0
8,0.9273246753246753,25,strong_partial,71.5542,current_yes,0.44580000000000025,clob_price_history_proxy,0.006230242249930826,"[-0.04058806718325669, 0.042855962630543226]",77,0.0,0.935064935064935,72.0
8,0.9590263157894736,25,strong_partial,73.0188,d1_no,-1.0188000000000006,clob_price_history_proxy,-0.013952571118670817,"[-0.05491620232761055, 0.014422266794183285]",76,0.0,0.9473684210526315,72.0
8,0.9238311258278146,39,base,139.75778,current_yes,-0.7577800000000001,clob_price_history_proxy,-0.005422095285142624,"[-0.0369855619141463, 0.022262317622013396]",151,0.01,0.9205298013245033,139.0
8,0.9650133333333334,39,base,144.96627,d1_no,-2.9662700000000006,clob_price_history_proxy,-0.0204617943194648,"[-0.050113789009803164, 0.008000399792834616]",150,0.01,0.9466666666666667,142.0
8,0.9353051948051948,25,strong_partial,72.14323,current_yes,-0.14323000000000002,clob_price_history_proxy,-0.0019853560756844407,"[-0.04873565077183212, 0.03444854122960685]",77,0.01,0.935064935064935,72.0
8,0.9664736842105263,25,strong_partial,73.55927,d1_no,-1.5592700000000004,clob_price_history_proxy,-0.021197464303275446,"[-0.06252612231898748, 0.007907478836536823]",76,0.01,0.9473684210526315,72.0
8,0.9295960264900662,39,base,140.59571,current_yes,-1.5957100000000002,clob_price_history_proxy,-0.01134963506354497,"[-0.04333498316089746, 0.01656749039106035]",151,0.02,0.9205298013245033,139.0
8,0.9698966666666666,39,base,145.66695,d1_no,-3.666950000000001,clob_price_history_proxy,-0.025173520829536146,"[-0.054934097291067185, 0.003296486289642141]",150,0.02,0.9466666666666667,142.0
8,0.9407857142857143,25,strong_partial,72.54884,current_yes,-0.5488400000000002,clob_price_history_proxy,-0.007565110620652242,"[-0.05451552263044906, 0.028470878847065444]",77,0.02,0.935064935064935,72.0
8,0.9713092105263158,25,strong_partial,73.91075,d1_no,-1.91075,clob_price_history_proxy,-0.02585212570566528,"[-0.06748101404478665, 0.004440216604578474]",76,0.02,0.9473684210526315,72.0
8,0.9339370860927152,39,base,141.22866,current_yes,-2.22866,clob_price_history_proxy,-0.015780508007369045,"[-0.04821084033464908, 0.011879026104021456]",151,0.03,0.9205298013245033,139.0
8,0.9736533333333334,39,base,146.2064,d1_no,-4.2064,clob_price_history_proxy,-0.028770286389651893,"[-0.05896934962347011, -0.00010437266685313675]",150,0.03,0.9466666666666667,142.0
8,0.9447727272727273,25,strong_partial,72.84486,current_yes,-0.8448600000000002,clob_price_history_proxy,-0.011598072945709557,"[-0.05870783841668015, 0.02420972122165428]",77,0.03,0.935064935064935,72.0
8,0.9752302631578948,25,strong_partial,74.19582,d1_no,-2.19582,clob_price_history_proxy,-0.02959492866309719,"[-0.0720026685078821, 0.002726679268581675]",76,0.03,0.9473684210526315,72.0
