changed_since_last,city,current_bracket,current_native,current_temp_c,current_yes_ask,current_yes_indicative,current_yes_quote_delay_min,current_yes_quote_source,current_yes_quote_ts_utc,current_yes_snapshot_book_status,current_yes_snapshot_raw_ask,current_yes_token_id,d1_bracket,d1_no_ask,d1_no_indicative,d1_no_quote_delay_min,d1_no_quote_source,d1_no_quote_ts_utc,d1_no_snapshot_book_status,d1_no_snapshot_raw_ask,d1_no_token_id,decision_hour_local_at_detect,decision_snapshot_ts_utc,decline_gate,decline_native,detected_after_report_sec,estimated_cadence_min,forecast_max_native,forecast_peak_delta_hours_local,in_research_window,live_observation_source,local_detect_ts_utc,mapping_rule,mature_high_gate,minutes_since_running_max_at_detect,path_not_warming_gate,payload_hash,physical_confirmation_base,physical_confirmation_strong_partial,physical_support_count_partial,physical_support_reasons_partial,prebase_without_forecast_clock,precip_state,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,snapshot_path,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state
True,Wellington,13,12.0,12.0,,0.95,,missing_within_30m,,orderbook_budget_exhausted,,98368676224414617490698225407387562675678635957722427919585241948902696208768,14,,0.9495,,missing_within_30m,,orderbook_budget_exhausted,,47784281997173681006141819316271036348785544405320623186808991321625529791730,14.610277777777778,2026-07-07T02:37:50Z,True,1.0,397.227,30.0,13.0,2.62,True,aviationweather_metar,2026-07-07T02:36:37.226874+00:00,whole-degree WU station max,True,66.6204479,True,9a4a78a071fb1db1,True,True,4,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR NZWN 070230Z AUTO 16018KT 6000 -RA SCT033/// BKN040/// OVC070/// 12/11 Q1005,d576c5912cf05399,30,same_station_source_profile,93.60237175676417,METAR,13.0,13.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1037.json,aviationweather_metar,397.227,2026-07-07T02:36:37.226874Z,2026-07-07T02:36:37.226874+00:00,1.017,2026-07-07T02:36:36.209445+00:00,routine_metar_only,2026-07-07T02:30:00Z,NZWN,ok,2026-07-07,12.0,-1.8,2026-07-07T02:36:37.226874+00:00,C,cooling
True,Taipei,35,33.0,33.0,,0.9625,,missing_within_30m,,orderbook_budget_exhausted,,87366164003849812399760046582193695803496964161460893340231352441110186359457,36,,0.96,,missing_within_30m,,orderbook_budget_exhausted,,54309441978702512151548865165546021561558810078698810551083056658548654310573,13.15611111111111,2026-07-07T05:19:06Z,True,2.0,562.471,30.0,34.1,2.32,True,aviationweather_metar,2026-07-07T05:09:22.471417+00:00,whole-degree WU station max,True,69.37452361666666,True,d7e42c415c6495f2,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR RCSS 070500Z 09007KT 040V120 9999 FEW020 SCT035 BKN220 33/27 Q1008 NOSIG RMK A2978,4eb8b5894ad5ea2f,21,same_station_source_profile,70.83672096419856,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1319.json,aviationweather_metar,562.471,2026-07-07T05:09:22.471417Z,2026-07-07T05:09:22.471417+00:00,0.957,2026-07-07T05:09:21.514729+00:00,metar_speci_capable,2026-07-07T05:00:00Z,RCSS,ok,2026-07-07,33.0,-3.6,2026-07-07T05:09:22.471417+00:00,C,cooling
True,Guangzhou,30,29.0,29.0,,0.675,,missing_within_30m,,orderbook_budget_exhausted,,49799110239894543984120202342978616268392617632837944635834544104611865028116,31,,0.8200000000000001,,missing_within_30m,,orderbook_budget_exhausted,,38557914928803452529012913591637638299973499244899843043141153114269162821086,13.15611111111111,2026-07-07T05:19:06Z,True,1.0,562.529,30.0,26.1,13.32,True,aviationweather_metar,2026-07-07T05:09:22.529412+00:00,whole-degree WU station max,True,99.3754902,True,18e0745f7b9db383,True,True,2,"['observed_precipitation', 'cloud_limited_flat_or_cooling']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR ZGGG 070500Z 14006MPS 9999 FEW016 OVC040 29/25 Q1007 BECMG AT0540 SHRA FEW026CB BKN033,500861494fc3f625,27,same_station_source_profile,79.0585121873896,METAR,30.0,30.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1319.json,aviationweather_metar,562.529,2026-07-07T05:09:22.529412Z,2026-07-07T05:09:22.529412+00:00,2.194,2026-07-07T05:09:20.335752+00:00,metar_speci_capable,2026-07-07T05:00:00Z,ZGGG,ok,2026-07-07,29.0,0.0,2026-07-07T05:09:22.529412+00:00,C,flat
True,Busan,29,28.0,28.0,0.949,0.9375,0.8,orderbook_archive_first_after_signal,2026-07-07T07:18:04Z,ok,0.949,24467223268633261170026274691487344281375820816990630099529870333446203091998,30,0.98,0.945,0.8166666666666667,orderbook_archive_first_after_signal,2026-07-07T07:18:05Z,ok,0.98,59026234973464389397943762946450623435031090009102068128662734295515274924253,16.125555555555557,2026-07-07T07:17:16Z,True,1.0,452.949,48.0,30.2,2.28,True,aviationweather_metar,2026-07-07T07:07:32.949337+00:00,whole-degree WU station max,True,67.54915561666667,True,50dfe946e8893e83,True,True,3,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",True,none_observed,weather_data_feed_service.source_events,METAR RKPK 070700Z 19010KT 9999 FEW005 SCT020 BKN030 28/25 Q1008,f1b36697f95b749e,24,same_station_source_profile,83.78747242805218,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1517.json,aviationweather_metar,452.949,2026-07-07T07:07:32.949337Z,2026-07-07T07:07:32.949337+00:00,1.007,2026-07-07T07:07:31.941905+00:00,metar_speci_capable,2026-07-07T07:00:00Z,RKPK,ok,2026-07-07,28.0,-1.8,2026-07-07T07:07:32.949337+00:00,C,cooling
True,Lucknow,34,33.0,33.0,,0.9785,,missing_within_30m,,orderbook_budget_exhausted,,7004118905675495460055300913972339515514988719701653804839726402849267498114,35,,0.979,,missing_within_30m,,orderbook_budget_exhausted,,115444255396828518092399999956866887303315027181851778462737888094520538000180,14.595,2026-07-07T09:11:41Z,True,1.0,342.839,30.0,32.6,3.68,True,aviationweather_metar,2026-07-07T09:05:42.838638+00:00,whole-degree WU station max,True,65.7139773,True,f260c2c1879984ae,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR VILK 070900Z 09008G18KT 5000 HZ SCT020 FEW030CB OVC090 33/25 Q0995 NOSIG,d86ca266afa5824f,30,same_station_source_profile,62.92958329531055,METAR,34.0,34.0,WU market rules station matches configured station,default_wu_station_by_rules,4,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_1711.json,aviationweather_metar,342.839,2026-07-07T09:05:42.838638Z,2026-07-07T09:05:42.838638+00:00,1.964,2026-07-07T09:05:40.875110+00:00,routine_metar_only,2026-07-07T09:00:00Z,VILK,ok,2026-07-07,33.0,-1.8,2026-07-07T09:05:42.838638+00:00,C,cooling
True,Warsaw,19,18.0,18.0,,0.635,,missing_within_30m,,orderbook_budget_exhausted,,56791494144926352928317651522882240996548818656902586845948902772464964027711,20,,0.69,,missing_within_30m,,orderbook_budget_exhausted,,56950489557954449272893333706302395207660585233776826374607430859758112090737,14.540277777777778,2026-07-07T12:37:11Z,True,1.0,145.277,30.0,18.2,0.62,True,aviationweather_metar,2026-07-07T12:32:25.276688+00:00,whole-degree WU station max,True,62.42127813333333,True,3a9e089c481bc2a9,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR EPWA 071230Z 22009KT 9999 FEW036CB BKN044 18/16 Q1006 NOSIG,b5f4e9fb5ee75184,30,same_station_source_profile,88.1001435273896,METAR,19.0,19.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260707_2037.json,aviationweather_metar,145.277,2026-07-07T12:32:25.276688Z,2026-07-07T12:32:25.276688+00:00,1.418,2026-07-07T12:32:23.858291+00:00,routine_metar_only,2026-07-07T12:30:00Z,EPWA,ok,2026-07-07,18.0,-1.8,2026-07-07T12:32:25.276688+00:00,C,cooling
True,SaoPaulo,21,20.0,20.0,,0.835,,missing_within_30m,,orderbook_budget_exhausted,,60905403235543923718406726840821473030069300729504072920133513953932631010830,22,,0.935,,missing_within_30m,,orderbook_budget_exhausted,,99037445228329943305231143009071104720768152157891239904120180596140218295750,13.453055555555554,2026-07-07T16:36:35Z,True,1.0,1631.326,60.0,20.5,0.6,True,aviationweather_metar,2026-07-07T16:27:11.325514+00:00,whole-degree WU station max,True,87.18875856666666,True,c43f2a6a1b58c05c,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR SBGR 071600Z 21006KT 9999 BKN030 20/14 Q1020,9970cef0a23bd38f,14,same_station_source_profile,68.37704311271233,METAR,21.0,21.0,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260708_0036.json,aviationweather_metar,1631.326,2026-07-07T16:27:11.325514Z,2026-07-07T16:27:11.325514+00:00,3.541,2026-07-07T16:27:07.784847+00:00,metar_speci_capable,2026-07-07T16:00:00Z,SBGR,ok,2026-07-07,20.0,-1.8,2026-07-07T16:27:11.325514+00:00,C,cooling
True,Miami,92-93,91.03999999999999,32.8,,0.9815,,missing_within_30m,,orderbook_budget_exhausted,,70530620610524246010765710817119712836903891192212244482393453006460358441397,94-95,,0.9875,,missing_within_30m,,orderbook_budget_exhausted,,108730874771193696194427783218972893210692490818458095302247294306830856719493,15.960555555555555,2026-07-07T20:04:59Z,True,0.9000000000000057,278.848,60.0,88.4,4.07,True,aviationweather_metar,2026-07-07T19:57:38.847738+00:00,whole-degree WU station max,True,64.6474623,True,1b7453ec7208974c,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR KMIA 071953Z 16009KT 10SM SCT037 SCT090 BKN250 33/24 A3010 RMK AO2 SLP191 CB DSNT SW-NW T03280244,397d054550e78d2f,17,same_station_source_profile,59.94469446824091,METAR,33.3,91.94,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260708_0404.json,aviationweather_metar,278.848,2026-07-07T19:57:38.847738Z,2026-07-07T19:57:38.847738+00:00,1.229,2026-07-07T19:57:37.619015+00:00,metar_speci_capable,2026-07-07T19:53:00Z,KMIA,ok,2026-07-07,32.8,-0.9,2026-07-07T19:57:38.847738+00:00,F,flat
True,Denver,96-97,94.46000000000001,34.7,,0.9895,,missing_within_30m,,orderbook_budget_exhausted,,34104225610758748972365138865248831228637850619848240484078678295790718803485,98-99,,0.9885,,missing_within_30m,,orderbook_budget_exhausted,,3882036075158775191187964055230279452823182412982950063155134737522033955483,15.243055555555555,2026-07-07T21:21:49Z,True,2.339999999999989,995.397,60.0,94.8,3.35,True,aviationweather_metar,2026-07-07T21:14:35.396979+00:00,whole-degree WU station max,True,136.58994965,True,c8fed83e30f68881,True,True,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR KBKF 072058Z 29020G27KT 10SM SCT090 SCT140 BKN220 35/01 A3011 RMK AO2A PK WND 28027/48 LTG DSNT NE-SE-SW SLP089 T03470011 56009,6c2627f43461346c,15,same_station_source_profile,11.886193053963353,METAR,36.0,96.8,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260708_0521.json,aviationweather_metar,995.397,2026-07-07T21:14:35.396979Z,2026-07-07T21:14:35.396979+00:00,2.297,2026-07-07T21:14:33.100418+00:00,routine_metar_only,2026-07-07T20:58:00Z,KBKF,ok,2026-07-07,34.7,-1.9799999999999898,2026-07-07T21:14:35.396979+00:00,F,cooling
True,SanFrancisco,62-63,60.980000000000004,16.1,,0.9955,,missing_within_30m,,orderbook_budget_exhausted,,31817762739657918048401237109411637181831066621826298866562094571067961426682,64-65,,0.996,,missing_within_30m,,orderbook_budget_exhausted,,72838304325789136250770800373686772956734696704413198099112908554835541247831,15.989444444444443,2026-07-07T23:09:02Z,True,1.0799999999999912,202.942,60.0,60.3,1.15,True,aviationweather_metar,2026-07-07T22:59:22.941839+00:00,whole-degree WU station max,True,63.382363983333335,True,49ffc00840c89ab6,True,True,3,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",True,none_observed,weather_data_feed_service.source_events,METAR KSFO 072256Z 28021G26KT 10SM FEW006 BKN016 16/11 A3008 RMK AO2 PK WND 28028/2230 SLP185 T01610106,80cce161c617560d,19,same_station_source_profile,71.75956790155405,METAR,16.7,62.059999999999995,WU market rules station matches configured station,default_wu_station_by_rules,3,/Volumes/jrs/weather_data_feed_service_runtime/targeted_output/paper_snapshots/snapshot_20260708_0709.json,aviationweather_metar,202.942,2026-07-07T22:59:22.941839Z,2026-07-07T22:59:22.941839+00:00,0.948,2026-07-07T22:59:21.993758+00:00,metar_speci_capable,2026-07-07T22:56:00Z,KSFO,ok,2026-07-07,16.1,-1.079999999999996,2026-07-07T22:59:22.941839+00:00,F,cooling
