city,target_date,decision_hour_local,settled,steps,forecast_steps,temp_trend_1h_f,forecast_peak_delta_hours_local,minutes_since_running_max,forecast_gap_native,current_yes_ask,leg,leg_steps,leg_bracket,ask,ask_size,max_future_bid,min_future_ask,city_hot_tail_pct
NYC,2026-05-19,18,True,0.0,1.0,4.0,1.0,23.883333333333333,2.299999999999997,0.99,d1_yes,1,96-97,0.65,39.88,0.01,0.145,0.2753888380603843
NYC,2026-05-19,18,True,0.0,1.0,4.0,1.0,23.883333333333333,2.299999999999997,0.99,d2_yes,2,98-99,0.65,39.88,0.001,0.003,0.2753888380603843
NYC,2026-05-19,18,True,0.0,1.0,4.0,1.0,23.883333333333333,2.299999999999997,0.99,tail_yes,10,114+,0.006,18.0,,0.005,0.2753888380603843
NYC,2026-05-19,18,True,0.0,1.0,4.0,1.0,23.883333333333333,2.299999999999997,0.99,current_bracket_no,-1,95,0.78,,0.012,0.078,0.2753888380603843
Miami,2026-05-19,18,True,0.0,-1.0,-1.0,5.0,157.88333333333333,-2.200000000000003,,d1_yes,1,88-89,0.65,39.88,,0.001,0.43000914913083255
Miami,2026-05-19,18,True,0.0,-1.0,-1.0,5.0,157.88333333333333,-2.200000000000003,,d2_yes,2,90-91,0.64,66.0,,0.001,0.43000914913083255
Miami,2026-05-19,18,True,0.0,-1.0,-1.0,5.0,157.88333333333333,-2.200000000000003,,tail_yes,6,98+,0.004,297.57,,0.001,0.43000914913083255
Miami,2026-05-19,18,True,0.0,-1.0,-1.0,5.0,157.88333333333333,-2.200000000000003,,current_bracket_no,-1,86-87,0.02,,,0.001,0.43000914913083255
SanFrancisco,2026-05-19,15,True,0.0,2.0,1.0,2.0,154.88333333333333,4.5,0.49,d1_yes,1,82-83,0.49,7.41,0.001,0.018,0.37359550561797755
SanFrancisco,2026-05-19,15,True,0.0,2.0,1.0,2.0,154.88333333333333,4.5,0.49,d2_yes,2,84-85,0.49,7.41,0.001,0.005,0.37359550561797755
SanFrancisco,2026-05-19,15,True,0.0,2.0,1.0,2.0,154.88333333333333,4.5,0.49,tail_yes,3,86-87,0.49,7.41,0.001,0.005,0.37359550561797755
SanFrancisco,2026-05-19,15,True,0.0,2.0,1.0,2.0,154.88333333333333,4.5,0.49,current_bracket_no,-1,80-81,0.99,,0.008,0.015,0.37359550561797755
Wellington,2026-05-20,10,True,1.0,0.0,0.0,-5.0,0.8833333333333333,0.38888888888889106,0.32,d1_yes,1,15,0.78,26.18,0.998,0.73,0.8019662921348315
Wellington,2026-05-20,10,True,1.0,0.0,0.0,-5.0,0.8833333333333333,0.38888888888889106,0.32,d2_yes,2,16,0.33,54.08,0.32,0.002,0.8019662921348315
Wellington,2026-05-20,10,True,1.0,0.0,0.0,-5.0,0.8833333333333333,0.38888888888889106,0.32,tail_yes,4,18,0.009,12.05,0.005,0.003,0.8019662921348315
Wellington,2026-05-20,10,True,1.0,0.0,0.0,-5.0,0.8833333333333333,0.38888888888889106,0.32,current_bracket_no,-1,14,0.74,,0.991,0.999,0.8019662921348315
Austin,2026-05-19,17,True,0.0,0.0,2.0,1.0,37.88333333333333,-0.7000000000000028,0.78,d1_yes,1,92-93,0.7,5.0,0.01,0.38,0.6724611161939615
Austin,2026-05-19,17,True,0.0,0.0,2.0,1.0,37.88333333333333,-0.7000000000000028,0.78,d2_yes,2,94-95,0.7,5.0,0.001,0.01,0.6724611161939615
Austin,2026-05-19,17,True,0.0,0.0,2.0,1.0,37.88333333333333,-0.7000000000000028,0.78,tail_yes,3,96-97,0.7,5.0,0.001,0.009,0.6724611161939615
Austin,2026-05-19,17,True,0.0,0.0,2.0,1.0,37.88333333333333,-0.7000000000000028,0.78,current_bracket_no,-1,90-91,0.99,,0.02,0.179,0.6724611161939615
Denver,2026-05-19,16,True,0.0,0.0,-0.5,2.0,92.88333333333334,0.6000000000000014,0.7,d1_yes,1,50-51,0.69,12.19,0.01,0.35,0.471671388101983
Denver,2026-05-19,16,True,0.0,0.0,-0.5,2.0,92.88333333333334,0.6000000000000014,0.7,d2_yes,2,52-53,0.7,5.0,0.01,0.5,0.471671388101983
Denver,2026-05-19,16,True,0.0,0.0,-0.5,2.0,92.88333333333334,0.6000000000000014,0.7,tail_yes,5,58-59,0.001,12.0,,,0.471671388101983
