cell,leg,rows,dates,cities,avg_ask,settle_win,touch15,touch20,touch30,pump_die,hold_roi,hold_ci_lo,hold_ci_hi,tp20_roi,tp20_ci_lo,tp20_ci_hi,tp30_roi,top5_rm_hold,worst_day_hold,recent_hold_roi,recent_rows,maker_fill_rate_win,maker_fill_rate_lose,maker_roi_filled
A0_broad_cheap,d1_yes,1085,39,36,0.061025806451612895,0.04055299539170507,0.07373271889400922,0.05898617511520737,0.052534562211981564,0.02304147465437788,-0.45237133091538434,-0.636425423119564,-0.23905099792266224,-0.7995541811194251,-0.8670248835052206,-0.7166913775111502,-0.7447809959067359,-0.5548305614977636,-34.0,-0.5267778364705079,189,0.18181818181818182,0.9289145052833814,-0.8552663416426557
A0_broad_cheap,d2_yes,975,39,36,0.06125538461538462,0.04205128205128205,0.09333333333333334,0.07179487179487179,0.05846153846153846,0.03282051282051282,-0.4318975220305898,-0.6563035022299045,-0.18698694039267486,-0.7729134716874773,-0.8547217124767823,-0.6731427070418446,-0.7291933394768246,-0.5330338540619586,-39.0,0.10784521012882996,131,0.1951219512195122,0.9571734475374732,-0.8495241583654838
A0_broad_cheap,tail_yes,182,36,33,0.056521978021978024,0.03296703296703297,0.10989010989010989,0.07142857142857142,0.04395604395604396,0.038461538461538464,-0.6098243330023334,-0.9228026103026103,-0.16891514441868916,-0.8296482838001914,-0.9271032578934734,-0.6953157516349231,-0.8546590243806444,-0.9481677292282173,-16.0,-1.0,10,0.6666666666666666,0.9829545454545454,-0.6309341967146029
A1_warming,d1_yes,383,39,36,0.06177284595300261,0.02610966057441253,0.07049608355091384,0.04699738903394256,0.0391644908616188,0.02349869451697128,-0.6134854711444023,-0.8386034762651143,-0.3458687844907266,-0.8521177221803994,-0.9230886520034104,-0.7677047711485433,-0.8208707894823265,-0.8650135678437566,-18.0,-0.4391025641025641,72,0.1,0.8954423592493298,-0.9336650082918739
A1_warming,d2_yes,396,39,36,0.06183585858585859,0.04040404040404041,0.10353535353535354,0.07575757575757576,0.06313131313131314,0.03787878787878788,-0.4468423704699411,-0.7038280735898629,-0.15656851817214465,-0.7674562865731396,-0.8680738273108949,-0.627801051309223,-0.7122611247375473,-0.6730765426163444,-16.0,0.013447524603711182,51,0.25,0.9342105263157895,-0.7753511943587509
A1_warming,tail_yes,98,31,30,0.05809183673469388,0.04081632653061224,0.10204081632653061,0.08163265306122448,0.05102040816326531,0.04081632653061224,-0.551982201149508,-1.0,0.12047258491647705,-0.8198381148869249,-0.9567779638133304,-0.6346005753192379,-0.8431731685745447,-1.0,-11.0,-1.0,4,0.5,0.9787234042553191,-0.7012418311577611
A2_peak_ahead,d1_yes,473,36,36,0.06370824524312897,0.048625792811839326,0.10570824524312897,0.07188160676532769,0.05919661733615222,0.03171247357293869,-0.36784146854007455,-0.6915143986929388,0.055224368604933474,-0.7263319502530906,-0.8598247755119649,-0.5562727716278157,-0.6791690635612981,-0.5757459966121596,-25.0,-1.0,6,0.17391304347826086,0.9533333333333334,-0.8257720237325463
A2_peak_ahead,d2_yes,602,35,36,0.06269933554817277,0.04318936877076412,0.10465116279069768,0.07641196013289037,0.059800664451827246,0.03488372093023256,-0.4118208347429609,-0.6817642755498071,-0.09049920520539481,-0.7784286667191211,-0.8743734147699257,-0.6402905173451905,-0.7368996113680797,-0.5689987107351263,-29.0,-1.0,6,0.11538461538461539,0.9618055555555556,-0.8835762021106955
A2_peak_ahead,tail_yes,160,31,32,0.056925,0.0375,0.125,0.08125,0.05,0.04375,-0.5561751787901542,-0.916469953954654,-0.07403391934847038,-0.8062249228227177,-0.9150671283319552,-0.6522903729812397,-0.8346746402329831,-0.9408108907960934,-14.0,,0,0.6666666666666666,0.9935064935064936,-0.5839194447037243
A3_conflict,d1_yes,420,38,36,0.06256904761904762,0.03333333333333333,0.10952380952380952,0.07380952380952381,0.05714285714285714,0.04523809523809524,-0.5388559239947256,-0.7898099895357401,-0.2254500177505772,-0.7620150577579593,-0.8664247774374133,-0.6236981700294135,-0.7236139029693587,-0.7689546063040039,-21.0,-0.6527777777777778,32,0.14285714285714285,0.8990147783251231,-0.9270144024912418
