target_date,source_field,prior_metar_running_max_c,knmi_obs_ts_utc,knmi_value_c,knmi_round_c,cross_increment_c,next_knmi_round_c,persistent_next_knmi,next_metar_report_ts_utc,next_metar_temp_round_c,next_metar_confirmed_cross,wu_native_daily_max_c,wu_final_confirmed_cross,terminal_false_cross,file_created_at_utc
2026-07-22,ta,17,2026-07-22T09:10:00+00:00,17.8,18,1,18,1,2026-07-22T09:25:00+00:00,18,1,20,1,0,2026-07-22T09:13:40+00:00
2026-07-22,tx,17,2026-07-22T09:10:00+00:00,18.0,18,1,18,1,2026-07-22T09:25:00+00:00,18,1,20,1,0,2026-07-22T09:13:40+00:00
2026-07-22,tx,18,2026-07-22T09:30:00+00:00,18.5,19,1,18,0,2026-07-22T09:55:00+00:00,17,0,20,1,0,2026-07-22T09:33:41+00:00
2026-07-22,ta,18,2026-07-22T11:10:00+00:00,18.5,19,1,19,1,2026-07-22T11:25:00+00:00,19,1,20,1,0,2026-07-22T11:13:41+00:00
2026-07-22,tx,19,2026-07-22T12:20:00+00:00,19.5,20,1,20,1,2026-07-22T12:25:00+00:00,19,0,20,1,0,2026-07-22T12:23:40+00:00
2026-07-22,ta,19,2026-07-22T12:30:00+00:00,19.8,20,1,21,1,2026-07-22T12:55:00+00:00,20,1,20,1,0,2026-07-22T12:33:41+00:00
2026-07-22,tx,20,2026-07-22T13:00:00+00:00,21.2,21,1,19,0,2026-07-22T13:25:00+00:00,19,0,20,0,1,2026-07-22T13:03:41+00:00
2026-07-23,ta,17,2026-07-23T06:30:00+00:00,17.6,18,1,18,1,2026-07-23T06:55:00+00:00,18,1,21,1,0,2026-07-23T06:33:44+00:00
2026-07-23,tx,17,2026-07-23T06:30:00+00:00,17.6,18,1,18,1,2026-07-23T06:55:00+00:00,18,1,21,1,0,2026-07-23T06:33:44+00:00
2026-07-23,ta,18,2026-07-23T07:40:00+00:00,18.5,19,1,18,0,2026-07-23T07:55:00+00:00,18,0,21,1,0,2026-07-23T07:43:43+00:00
2026-07-23,tx,18,2026-07-23T07:40:00+00:00,18.6,19,1,19,1,2026-07-23T07:55:00+00:00,18,0,21,1,0,2026-07-23T07:43:43+00:00
2026-07-23,tx,19,2026-07-23T09:40:00+00:00,19.7,20,1,20,1,2026-07-23T09:55:00+00:00,20,1,21,1,0,2026-07-23T09:43:44+00:00
2026-07-23,ta,19,2026-07-23T09:50:00+00:00,20.1,20,1,19,0,2026-07-23T09:55:00+00:00,20,1,21,1,0,2026-07-23T09:53:43+00:00
2026-07-24,tx,16,2026-07-24T00:00:00+00:00,16.5,17,1,16,0,2026-07-24T00:25:00+00:00,16,0,24,1,0,2026-07-24T00:03:41+00:00
2026-07-24,ta,16,2026-07-24T00:40:00+00:00,16.6,17,1,17,1,2026-07-24T00:55:00+00:00,17,1,24,1,0,2026-07-24T00:43:41+00:00
2026-07-24,ta,17,2026-07-24T06:50:00+00:00,17.7,18,1,18,1,2026-07-24T06:55:00+00:00,18,1,24,1,0,2026-07-24T06:53:41+00:00
2026-07-24,tx,17,2026-07-24T06:50:00+00:00,17.7,18,1,18,1,2026-07-24T06:55:00+00:00,18,1,24,1,0,2026-07-24T06:53:41+00:00
2026-07-24,ta,19,2026-07-24T09:50:00+00:00,19.6,20,1,20,1,2026-07-24T09:55:00+00:00,20,1,24,1,0,2026-07-24T09:53:41+00:00
2026-07-24,tx,19,2026-07-24T09:50:00+00:00,19.6,20,1,20,1,2026-07-24T09:55:00+00:00,20,1,24,1,0,2026-07-24T09:53:41+00:00
2026-07-24,tx,20,2026-07-24T10:10:00+00:00,20.5,21,1,21,1,2026-07-24T10:25:00+00:00,21,1,24,1,0,2026-07-24T10:13:42+00:00
2026-07-24,ta,20,2026-07-24T10:20:00+00:00,20.9,21,1,21,1,2026-07-24T10:25:00+00:00,21,1,24,1,0,2026-07-24T10:23:42+00:00
2026-07-24,ta,21,2026-07-24T11:10:00+00:00,21.5,22,1,22,1,2026-07-24T11:25:00+00:00,22,1,24,1,0,2026-07-24T11:13:41+00:00
2026-07-24,tx,21,2026-07-24T11:10:00+00:00,21.5,22,1,22,1,2026-07-24T11:25:00+00:00,22,1,24,1,0,2026-07-24T11:13:41+00:00
2026-07-24,ta,22,2026-07-24T12:40:00+00:00,22.6,23,1,23,1,2026-07-24T12:55:00+00:00,23,1,24,1,0,2026-07-24T12:43:41+00:00
2026-07-24,tx,22,2026-07-24T12:40:00+00:00,22.8,23,1,23,1,2026-07-24T12:55:00+00:00,23,1,24,1,0,2026-07-24T12:43:41+00:00
2026-07-24,tx,23,2026-07-24T14:00:00+00:00,24.1,24,1,24,1,2026-07-24T14:25:00+00:00,24,1,24,1,0,2026-07-24T14:03:42+00:00
