schema_version,source,source_kind,city,station,station_label,icao,target_date,observation_time_utc,local_detect_ts_utc,fetched_at_utc,temp_c,temp_f,temp_round_f,raw_payload_hash,source_note,wigos_station_id,knmi_station_code,max_temp_c_past_10m,measurement_interval_end_utc,knmi_filename,knmi_file_created_at_utc,knmi_file_last_modified_at_utc,payload_hash,collection_mode,historical_retrieved_at_utc
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T22:00:00+00:00,2026-07-27T16:11:34.565395+00:00,2026-07-27T16:11:34.565395+00:00,16.8,62.24,62,fcee21707d4c1f76,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.8,2026-07-21T22:00:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212200.nc,2026-07-21T22:03:41+00:00,2026-07-21T22:13:39+00:00,b505aa4e58481d49,historical_backfill_not_pit,2026-07-27T16:11:34.565395+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T22:10:00+00:00,2026-07-27T16:11:34.709882+00:00,2026-07-27T16:11:34.709882+00:00,16.7,62.06,62,fbf63849b16624d1,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.8,2026-07-21T22:10:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212210.nc,2026-07-21T22:13:41+00:00,2026-07-21T22:23:39+00:00,b44353547daa4813,historical_backfill_not_pit,2026-07-27T16:11:34.709882+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T22:20:00+00:00,2026-07-27T16:11:34.717709+00:00,2026-07-27T16:11:34.717709+00:00,16.5,61.7,62,8ef9a433efafaaf8,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.7,2026-07-21T22:20:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212220.nc,2026-07-21T22:23:42+00:00,2026-07-21T22:33:39+00:00,8576462bda4f4b21,historical_backfill_not_pit,2026-07-27T16:11:34.717709+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T22:30:00+00:00,2026-07-27T16:11:34.725428+00:00,2026-07-27T16:11:34.725428+00:00,16.4,61.52,62,a417f2dc89ca351c,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.5,2026-07-21T22:30:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212230.nc,2026-07-21T22:33:41+00:00,2026-07-21T22:43:40+00:00,d432f253fc0297af,historical_backfill_not_pit,2026-07-27T16:11:34.725428+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T22:40:00+00:00,2026-07-27T16:11:34.733060+00:00,2026-07-27T16:11:34.733060+00:00,16.3,61.34,61,10f916b5318dc4fb,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.4,2026-07-21T22:40:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212240.nc,2026-07-21T22:43:41+00:00,2026-07-21T22:53:39+00:00,82a1d031332e05d4,historical_backfill_not_pit,2026-07-27T16:11:34.733060+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T22:50:00+00:00,2026-07-27T16:11:34.741008+00:00,2026-07-27T16:11:34.741008+00:00,16.1,60.98,61,fe6fb38af90b1db1,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.3,2026-07-21T22:50:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212250.nc,2026-07-21T22:53:41+00:00,2026-07-21T23:03:38+00:00,f60a63847c6f3be7,historical_backfill_not_pit,2026-07-27T16:11:34.741008+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T23:00:00+00:00,2026-07-27T16:11:34.748670+00:00,2026-07-27T16:11:34.748670+00:00,16.2,61.16,61,5f688c99c649190b,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.2,2026-07-21T23:00:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212300.nc,2026-07-21T23:03:41+00:00,2026-07-21T23:13:40+00:00,83930b4213ee0efe,historical_backfill_not_pit,2026-07-27T16:11:34.748670+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T23:10:00+00:00,2026-07-27T16:11:34.756634+00:00,2026-07-27T16:11:34.756634+00:00,16.2,61.16,61,0c08c4e895ad76b6,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.2,2026-07-21T23:10:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212310.nc,2026-07-21T23:13:42+00:00,2026-07-21T23:23:39+00:00,e442b9d7ae5f763c,historical_backfill_not_pit,2026-07-27T16:11:34.756634+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T23:20:00+00:00,2026-07-27T16:11:34.764158+00:00,2026-07-27T16:11:34.764158+00:00,15.9,60.62,61,47aed1db28946f8b,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,16.2,2026-07-21T23:20:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212320.nc,2026-07-21T23:23:41+00:00,2026-07-21T23:33:41+00:00,675448d8658f8210,historical_backfill_not_pit,2026-07-27T16:11:34.764158+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-22,2026-07-21T23:30:00+00:00,2026-07-27T16:11:34.772072+00:00,2026-07-27T16:11:34.772072+00:00,15.7,60.26,60,7f4e727dda26813e,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,15.9,2026-07-21T23:30:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607212330.nc,2026-07-21T23:33:43+00:00,2026-07-21T23:43:39+00:00,eb536cb1635a5962,historical_backfill_not_pit,2026-07-27T16:11:34.772072+00:00
