target_date,knmi_obs_ts_utc,knmi_ta_c,knmi_tx_c,knmi_ta_round_c,knmi_tx_round_c,next_metar_report_ts_utc,next_metar_detect_ts_utc,next_metar_temp_c,lead_to_next_metar_min,ta_minus_next_metar_c,tx_minus_next_metar_c,ta_exact_next_metar,tx_exact_next_metar,ta_within1_next_metar,tx_within1_next_metar,raw_metar
2026-07-22,2026-07-21T22:00:00+00:00,16.8,16.8,17,17,2026-07-21T22:25:00+00:00,2026-07-21T22:36:11.919121+00:00,17.0,25.0,0,0,1,1,1,1,METAR EHAM 212225Z 33009KT 9999 FEW015 SCT025 BKN038 17/13 Q1025 NOSIG
2026-07-22,2026-07-21T22:10:00+00:00,16.7,16.8,17,17,2026-07-21T22:25:00+00:00,2026-07-21T22:36:11.919121+00:00,17.0,15.0,0,0,1,1,1,1,METAR EHAM 212225Z 33009KT 9999 FEW015 SCT025 BKN038 17/13 Q1025 NOSIG
2026-07-22,2026-07-21T22:20:00+00:00,16.5,16.7,17,17,2026-07-21T22:25:00+00:00,2026-07-21T22:36:11.919121+00:00,17.0,5.0,0,0,1,1,1,1,METAR EHAM 212225Z 33009KT 9999 FEW015 SCT025 BKN038 17/13 Q1025 NOSIG
2026-07-22,2026-07-21T22:30:00+00:00,16.4,16.5,16,17,2026-07-21T22:55:00+00:00,2026-07-21T22:59:26.215696+00:00,16.0,25.0,0,1,1,0,1,1,METAR EHAM 212255Z 30006KT 9999 FEW015 SCT025 BKN037 16/13 Q1025 NOSIG
2026-07-22,2026-07-21T22:40:00+00:00,16.3,16.4,16,16,2026-07-21T22:55:00+00:00,2026-07-21T22:59:26.215696+00:00,16.0,15.0,0,0,1,1,1,1,METAR EHAM 212255Z 30006KT 9999 FEW015 SCT025 BKN037 16/13 Q1025 NOSIG
2026-07-22,2026-07-21T22:50:00+00:00,16.1,16.3,16,16,2026-07-21T22:55:00+00:00,2026-07-21T22:59:26.215696+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 212255Z 30006KT 9999 FEW015 SCT025 BKN037 16/13 Q1025 NOSIG
2026-07-22,2026-07-21T23:00:00+00:00,16.2,16.2,16,16,2026-07-21T23:25:00+00:00,2026-07-21T23:27:39.978896+00:00,16.0,25.0,0,0,1,1,1,1,METAR EHAM 212325Z 31007KT 280V360 9999 -RADZ FEW011 SCT018 BKN036 16/14 Q1025 NOSIG
2026-07-22,2026-07-21T23:10:00+00:00,16.2,16.2,16,16,2026-07-21T23:25:00+00:00,2026-07-21T23:27:39.978896+00:00,16.0,15.0,0,0,1,1,1,1,METAR EHAM 212325Z 31007KT 280V360 9999 -RADZ FEW011 SCT018 BKN036 16/14 Q1025 NOSIG
2026-07-22,2026-07-21T23:20:00+00:00,15.9,16.2,16,16,2026-07-21T23:25:00+00:00,2026-07-21T23:27:39.978896+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 212325Z 31007KT 280V360 9999 -RADZ FEW011 SCT018 BKN036 16/14 Q1025 NOSIG
2026-07-22,2026-07-21T23:30:00+00:00,15.7,15.9,16,16,2026-07-21T23:55:00+00:00,2026-07-21T23:58:01.378922+00:00,16.0,25.0,0,0,1,1,1,1,METAR EHAM 212355Z 34004KT 300V030 9999 FEW012 SCT021 BKN035 16/13 Q1025 NOSIG
2026-07-22,2026-07-21T23:40:00+00:00,15.7,15.7,16,16,2026-07-21T23:55:00+00:00,2026-07-21T23:58:01.378922+00:00,16.0,15.0,0,0,1,1,1,1,METAR EHAM 212355Z 34004KT 300V030 9999 FEW012 SCT021 BKN035 16/13 Q1025 NOSIG
2026-07-22,2026-07-21T23:50:00+00:00,15.7,15.7,16,16,2026-07-21T23:55:00+00:00,2026-07-21T23:58:01.378922+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 212355Z 34004KT 300V030 9999 FEW012 SCT021 BKN035 16/13 Q1025 NOSIG
2026-07-22,2026-07-22T00:00:00+00:00,15.6,15.7,16,16,2026-07-22T00:25:00+00:00,2026-07-22T00:30:34.646093+00:00,16.0,25.0,0,0,1,1,1,1,METAR EHAM 220025Z 29004KT 250V320 9999 FEW016 BKN026 16/14 Q1025 NOSIG
2026-07-22,2026-07-22T00:10:00+00:00,15.6,15.6,16,16,2026-07-22T00:25:00+00:00,2026-07-22T00:30:34.646093+00:00,16.0,15.0,0,0,1,1,1,1,METAR EHAM 220025Z 29004KT 250V320 9999 FEW016 BKN026 16/14 Q1025 NOSIG
2026-07-22,2026-07-22T00:20:00+00:00,15.6,15.6,16,16,2026-07-22T00:25:00+00:00,2026-07-22T00:30:34.646093+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 220025Z 29004KT 250V320 9999 FEW016 BKN026 16/14 Q1025 NOSIG
2026-07-22,2026-07-22T00:30:00+00:00,15.7,15.7,16,16,2026-07-22T00:55:00+00:00,2026-07-22T01:03:17.573001+00:00,16.0,25.0,0,0,1,1,1,1,METAR EHAM 220055Z 26004KT 9999 -RADZ FEW011 SCT021 BKN025 16/14 Q1024 NOSIG
2026-07-22,2026-07-22T00:40:00+00:00,15.8,15.8,16,16,2026-07-22T00:55:00+00:00,2026-07-22T01:03:17.573001+00:00,16.0,15.0,0,0,1,1,1,1,METAR EHAM 220055Z 26004KT 9999 -RADZ FEW011 SCT021 BKN025 16/14 Q1024 NOSIG
