target_date,knmi_filename,interval_end_utc,created_at_utc,last_modified_at_utc,created_delay_sec,last_modified_delay_sec,revision_lag_after_created_sec
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212200.nc,2026-07-21T22:00:00+00:00,2026-07-21T22:03:41+00:00,2026-07-21T22:13:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212210.nc,2026-07-21T22:10:00+00:00,2026-07-21T22:13:41+00:00,2026-07-21T22:23:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212220.nc,2026-07-21T22:20:00+00:00,2026-07-21T22:23:42+00:00,2026-07-21T22:33:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212230.nc,2026-07-21T22:30:00+00:00,2026-07-21T22:33:41+00:00,2026-07-21T22:43:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212240.nc,2026-07-21T22:40:00+00:00,2026-07-21T22:43:41+00:00,2026-07-21T22:53:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212250.nc,2026-07-21T22:50:00+00:00,2026-07-21T22:53:41+00:00,2026-07-21T23:03:38+00:00,221.0,818.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212300.nc,2026-07-21T23:00:00+00:00,2026-07-21T23:03:41+00:00,2026-07-21T23:13:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212310.nc,2026-07-21T23:10:00+00:00,2026-07-21T23:13:42+00:00,2026-07-21T23:23:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212320.nc,2026-07-21T23:20:00+00:00,2026-07-21T23:23:41+00:00,2026-07-21T23:33:41+00:00,221.0,821.0,600.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607212330.nc,2026-07-21T23:30:00+00:00,2026-07-21T23:33:43+00:00,2026-07-21T23:43:39+00:00,223.0,819.0,596.0
