feature,coef,abs_coef
categorical__peak_delta_bucket_peak_gt1h_ahead,-1.5906305125977442,1.5906305125977442
categorical__leg_current_yes,-1.1512116115351374,1.1512116115351374
categorical__peak_delta_bucket_post_peak_gt1_5h,0.6864284788036306,0.6864284788036306
categorical__leg_d1_no,0.5689066130040941,0.5689066130040941
categorical__forecast_gap_bucket_room_1_2,-0.5653026460506427,0.5653026460506427
categorical__forecast_gap_bucket_busted_lt_minus1,0.5416138106454306,0.5416138106454306
numeric__target_distance_native,0.5089426922463134,0.5089426922463134
categorical__forecast_gap_bucket_capped_minus1_0,0.4628876847710884,0.4628876847710884
categorical__peak_delta_bucket_near_peak,0.4545628002086686,0.4545628002086686
categorical__forecast_gap_bucket_room_0_1,-0.38325948488596,0.38325948488596
categorical__peak_delta_bucket_post_peak_0_5_1_5h,0.36355136037564884,0.36355136037564884
numeric__forecast_gap_to_running_native,0.35445404582009526,0.35445404582009526
categorical__leg_d2_no,0.3417419473233179,0.3417419473233179
numeric__running_value,-0.33786957590696154,0.33786957590696154
numeric__decline_native,0.32511499259103016,0.32511499259103016
numeric__forecast_peak_delta_hours_local,-0.28551461494459907,0.28551461494459907
categorical__leg_d3_no,0.24917384415964428,0.24917384415964428
numeric__forecast_margin_to_target_native,-0.1957923177036103,0.1957923177036103
categorical__unit_F,0.11698382706902513,0.11698382706902513
categorical__unit_C,-0.1083730341171057,0.1083730341171057
categorical__peak_delta_bucket_peak_1h_to_15m_ahead,0.09469866616171668,0.09469866616171668
numeric__metar_obs_count_today,0.0688973055673373,0.0688973055673373
categorical__forecast_gap_bucket_room_gt2,-0.047328571527996924,0.047328571527996924
numeric__local_time_float,0.03557483355541702,0.03557483355541702
categorical__path_state_at_high,0.025338314283000478,0.025338314283000478
categorical__path_state_decline,-0.016727521331080058,0.016727521331080058
