snapshot_ts_utc,snapshot_time_bj,best_ask,ask_size,best_bid,bid_size,spread,depth_ask_5c,depth_bid_5c,orderbook_file
2026-07-06T06:06:20+00:00,14:06:20,0.84,20.0,0.76,6.67,0.08,157.27,35.26,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1406.jsonl.gz
2026-07-06T06:22:50+00:00,14:22:50,0.84,20.0,0.8,169.06,0.04,133.37,169.06,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1422.jsonl.gz
2026-07-06T06:39:09+00:00,14:39:09,0.89,50.0,0.85,10.0,0.04,107.33,119.06,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1439.jsonl.gz
2026-07-06T06:55:49+00:00,14:55:49,0.93,32.0,0.86,8.14,0.07,467.08,130.0,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1455.jsonl.gz
2026-07-06T07:12:18+00:00,15:12:18,0.93,8.0,0.88,5.0,0.05,540.98,99.14,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1512.jsonl.gz
2026-07-06T07:28:57+00:00,15:28:57,0.95,88.0,0.94,8.0,0.01,1328.46,145.84,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1528.jsonl.gz
2026-07-06T07:45:43+00:00,15:45:43,0.96,180.47,0.959,20.0,0.001,1504.17,210.0,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1545.jsonl.gz
2026-07-06T08:02:17+00:00,16:02:17,0.988,75.45,0.982,20.0,0.006,886.36,207.53,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1602.jsonl.gz
2026-07-06T08:19:07+00:00,16:19:07,0.988,6.89,0.985,10.0,0.003,872.2,35.66,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1619.jsonl.gz
2026-07-06T08:35:57+00:00,16:35:57,0.998,144.7,0.985,20.0,0.013,384.03,45.66,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1635.jsonl.gz
2026-07-06T08:53:05+00:00,16:53:05,0.998,97.25,0.99,129.93,0.008,336.58,165.59,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1653.jsonl.gz
2026-07-06T09:10:02+00:00,17:10:02,0.999,33.91,0.991,166.7,0.008,33.91,192.9,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1710.jsonl.gz
2026-07-06T09:27:12+00:00,17:27:12,0.999,68.03,0.997,64.58,0.002,68.03,291.08,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-07-06/orderbook_snapshot_20260706_1727.jsonl.gz
