city,target_date,snapshot_ts_utc,legs,leg_set,cost,pnl,wins,worst_leg_pnl,depth_5c_sum,roi,period
Amsterdam,2026-06-21,2026-06-21T10:06:43Z,1,d1_no,0.98193,0.01807000000000003,1.0,0.01807000000000003,968.8,0.01840253378550409,train_to_2026-06-28
Amsterdam,2026-06-23,2026-06-23T10:02:13Z,1,d2_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,3535.57,0.010570568142773434,train_to_2026-06-28
Amsterdam,2026-06-24,2026-06-24T10:49:37Z,1,d1_no,0.97908,0.02092000000000005,1.0,0.02092000000000005,2647.16,0.021366997589573937,train_to_2026-06-28
Amsterdam,2026-07-01,2026-07-01T07:15:54Z,1,d3_no,0.97241,0.027590000000000003,1.0,0.027590000000000003,5590.28,0.02837280570952582,forward_2026-06-29_2026-07-04
Amsterdam,2026-07-01,2026-07-01T08:37:18Z,1,d2_no,0.97146,0.02854000000000001,1.0,0.02854000000000001,1060.69,0.029378461285076082,forward_2026-06-29_2026-07-04
Amsterdam,2026-07-01,2026-07-01T09:18:21Z,1,d1_no,0.9600099999999999,0.03999000000000008,1.0,0.03999000000000008,1115.99,0.0416558160852492,forward_2026-06-29_2026-07-04
Amsterdam,2026-07-04,2026-07-04T07:11:44Z,1,d3_no,0.97812,0.02188000000000001,1.0,0.02188000000000001,783.52,0.022369443422075013,forward_2026-06-29_2026-07-04
Amsterdam,2026-07-04,2026-07-04T10:33:47Z,1,d2_no,0.96192,-0.96192,0.0,-0.96192,561.12,-1.0,forward_2026-06-29_2026-07-04
Ankara,2026-06-21,2026-06-21T10:06:43Z,1,d1_no,0.96192,0.03808,1.0,0.03808,145.46,0.03958749168330007,train_to_2026-06-28
Ankara,2026-06-22,2026-06-22T09:59:18Z,1,d1_no,0.95238,0.047619999999999996,1.0,0.047619999999999996,450.12,0.05000105000105,train_to_2026-06-28
Ankara,2026-06-23,2026-06-23T10:38:34Z,1,d1_no,0.98003,0.019970000000000043,1.0,0.019970000000000043,1306.41,0.020376927236921364,train_to_2026-06-28
Ankara,2026-06-26,2026-06-26T10:26:53Z,1,d1_no,0.96192,0.03808,1.0,0.03808,251.62,0.03958749168330007,train_to_2026-06-28
Ankara,2026-06-27,2026-06-27T08:51:52Z,1,d1_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,383.23,0.010570568142773434,train_to_2026-06-28
Ankara,2026-06-30,2026-06-30T08:02:37Z,1,d3_no,0.98098,0.019020000000000037,1.0,0.019020000000000037,757.03,0.019388774490815344,forward_2026-06-29_2026-07-04
Ankara,2026-06-30,2026-06-30T09:19:27Z,1,d2_no,0.9904999999999999,0.009500000000000064,1.0,0.009500000000000064,1251.18,0.009591115598182801,forward_2026-06-29_2026-07-04
Ankara,2026-07-01,2026-07-01T07:56:37Z,1,d3_no,0.97717,0.022830000000000017,1.0,0.022830000000000017,786.72,0.023363386104771962,forward_2026-06-29_2026-07-04
Ankara,2026-07-01,2026-07-01T08:37:18Z,1,d2_no,0.98098,0.019020000000000037,1.0,0.019020000000000037,693.67,0.019388774490815344,forward_2026-06-29_2026-07-04
Ankara,2026-07-01,2026-07-01T09:55:18Z,1,d1_no,0.9904999999999999,0.009500000000000064,1.0,0.009500000000000064,461.51,0.009591115598182801,forward_2026-06-29_2026-07-04
Ankara,2026-07-02,2026-07-02T08:29:40Z,1,d1_no,0.95619,0.043810000000000016,1.0,0.043810000000000016,2461.48,0.045817253893054743,forward_2026-06-29_2026-07-04
Ankara,2026-07-03,2026-07-03T08:38:48Z,1,d2_no,0.96192,0.03808,1.0,0.03808,706.14,0.03958749168330007,forward_2026-06-29_2026-07-04
Ankara,2026-07-03,2026-07-03T09:09:04Z,1,d1_no,0.98003,0.019970000000000043,1.0,0.019970000000000043,732.3,0.020376927236921364,forward_2026-06-29_2026-07-04
Ankara,2026-07-04,2026-07-04T08:02:06Z,1,d3_no,0.98098,0.019020000000000037,1.0,0.019020000000000037,2585.51,0.019388774490815344,forward_2026-06-29_2026-07-04
Ankara,2026-07-04,2026-07-04T09:26:13Z,1,d1_no,0.97812,0.02188000000000001,1.0,0.02188000000000001,2145.35,0.022369443422075013,forward_2026-06-29_2026-07-04
Ankara,2026-07-04,2026-07-04T09:59:52Z,1,d3_no,0.96192,0.03808,1.0,0.03808,950.25,0.03958749168330007,forward_2026-06-29_2026-07-04
Ankara,2026-07-04,2026-07-04T10:33:47Z,1,d2_no,0.95238,0.047619999999999996,1.0,0.047619999999999996,920.09,0.05000105000105,forward_2026-06-29_2026-07-04
Atlanta,2026-06-20,2026-06-20T07:37:15Z,1,d1_no,0.98098,0.019020000000000037,1.0,0.019020000000000037,1162.41,0.019388774490815344,train_to_2026-06-28
Atlanta,2026-06-23,2026-06-23T07:37:23Z,1,d1_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,421.79,0.010570568142773434,train_to_2026-06-28
Atlanta,2026-06-30,2026-06-30T07:26:03Z,1,d3_no,0.9704999999999999,0.02950000000000008,1.0,0.02950000000000008,1569.68,0.03039670273055135,forward_2026-06-29_2026-07-04
Atlanta,2026-06-30,2026-06-30T10:39:09Z,1,d2_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,16105.43,0.010570568142773434,forward_2026-06-29_2026-07-04
Atlanta,2026-07-01,2026-07-01T07:15:54Z,1,d3_no,0.98003,0.019970000000000043,1.0,0.019970000000000043,2938.57,0.020376927236921364,forward_2026-06-29_2026-07-04
Beijing,2026-06-25,2026-06-25T07:21:33Z,2,"current_yes,d1_no",1.92861,0.07139000000000006,2.0,0.03331000000000006,1882.83,0.03701629671110285,train_to_2026-06-28
Beijing,2026-06-30,2026-06-30T07:26:03Z,2,"current_yes,d1_no",1.9800399999999998,0.01996000000000009,2.0,0.009500000000000064,3219.3,0.010080604432233738,forward_2026-06-29_2026-07-04
Beijing,2026-07-01,2026-07-01T07:15:54Z,1,d2_no,0.98003,0.019970000000000043,1.0,0.019970000000000043,1806.12,0.020376927236921364,forward_2026-06-29_2026-07-04
Beijing,2026-07-01,2026-07-01T07:56:37Z,2,"current_yes,d1_no",1.90476,0.09523999999999999,2.0,0.047619999999999996,1211.65,0.05000105000105,forward_2026-06-29_2026-07-04
Beijing,2026-07-02,2026-07-02T07:43:14Z,1,d2_no,0.98859,0.011410000000000031,1.0,0.011410000000000031,1632.52,0.011541690690781852,forward_2026-06-29_2026-07-04
Beijing,2026-07-02,2026-07-02T08:13:51Z,1,current_yes,0.95238,0.047619999999999996,1.0,0.047619999999999996,1026.89,0.05000105000105,forward_2026-06-29_2026-07-04
Beijing,2026-07-02,2026-07-02T08:44:45Z,1,d1_no,0.96192,0.03808,1.0,0.03808,636.65,0.03958749168330007,forward_2026-06-29_2026-07-04
Beijing,2026-07-03,2026-07-03T07:23:15Z,1,d2_no,0.97146,0.02854000000000001,1.0,0.02854000000000001,308.2,0.029378461285076082,forward_2026-06-29_2026-07-04
Beijing,2026-07-03,2026-07-03T08:23:44Z,2,"current_yes,d1_no",1.92384,0.07616,2.0,0.03808,2665.21,0.03958749168330007,forward_2026-06-29_2026-07-04
Beijing,2026-07-04,2026-07-04T07:11:44Z,1,d2_no,0.9704999999999999,0.02950000000000008,1.0,0.02950000000000008,4155.59,0.03039670273055135,forward_2026-06-29_2026-07-04
Beijing,2026-07-04,2026-07-04T08:02:06Z,2,"current_yes,d1_no",1.92289,0.07711000000000001,2.0,0.03808,1206.02,0.04010109782670876,forward_2026-06-29_2026-07-04
BuenosAires,2026-07-02,2026-07-02T07:04:31Z,1,d1_no,0.95715,0.042850000000000055,1.0,0.042850000000000055,1469.81,0.04476832262445809,forward_2026-06-29_2026-07-04
Busan,2026-07-01,2026-07-01T07:56:37Z,1,d2_no,0.97146,0.02854000000000001,1.0,0.02854000000000001,507.81,0.029378461285076082,forward_2026-06-29_2026-07-04
Busan,2026-07-02,2026-07-02T07:04:31Z,2,"current_yes,d1_no",1.9571999999999998,0.04280000000000006,2.0,0.019020000000000037,2738.84,0.02186797465767426,forward_2026-06-29_2026-07-04
CapeTown,2026-06-30,2026-06-30T08:40:31Z,1,d3_no,0.98098,0.019020000000000037,1.0,0.019020000000000037,192.94,0.019388774490815344,forward_2026-06-29_2026-07-04
CapeTown,2026-06-30,2026-06-30T09:19:27Z,1,d1_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,567.94,0.010570568142773434,forward_2026-06-29_2026-07-04
CapeTown,2026-06-30,2026-06-30T10:39:09Z,1,d3_no,0.97146,0.02854000000000001,1.0,0.02854000000000001,1826.26,0.029378461285076082,forward_2026-06-29_2026-07-04
CapeTown,2026-07-01,2026-07-01T10:32:16Z,1,d2_no,0.96192,0.03808,1.0,0.03808,356.65,0.03958749168330007,forward_2026-06-29_2026-07-04
