snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260620_1537.json,2026-06-20T07:37:15Z,2026-06-20 15:37:15,2026-06-20 03:37:15,15,37,Atlanta,t2_research,2026-06-20,F,80-81,d1_no,no,78,78.0,77.0,1.0,78.0,77.0,2026-06-20T06:52:00Z,3,87.3,9.299999999999997,2026-06-20T16:00,-12.38,open_meteo_live_gfs,0.98,0.971,0.009,113.8,1162.41,275.7,2.0000000000000018,0x96f4f064b5f5b4434dfe7171a1522bd97cf6fdd4ff30d8697998d66ed8d67c4c,2602321,,,0.98,0.971,Will the highest temperature in Atlanta be between 80-81°F on June 20?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,train_to_2026-06-28,97_99,1_3,peak_gt1h_ahead,room_gt2,decline,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260621_1806.json,2026-06-21T10:06:43Z,2026-06-21 18:06:43,2026-06-21 12:06:43,18,6,Amsterdam,t2_research,2026-06-21,C,25,d1_no,no,24,23.88888888888889,23.88888888888889,0.0,75.0,75.0,2026-06-21T09:55:00Z,24,26.9,2.8999999999999986,2026-06-21T16:00,-3.9,open_meteo_live_ecmwf,0.981,0.949,0.032,8.0,968.8,421.51,1.9000000000000017,0x43fd6ee6c6f184bb56355ba11b83bb05f6b68dd1ad370250d17eb28b97412f90,2603734,,,0.981,0.949,Will the highest temperature in Amsterdam be 25°C on June 21?,0.0,True,1.0,0.00093,0.98193,0.01807000000000003,0.01840253378550409,train_to_2026-06-28,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,18
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260621_1806.json,2026-06-21T10:06:43Z,2026-06-21 18:06:43,2026-06-21 13:06:43,18,6,Ankara,t1_trading,2026-06-21,C,24,d1_no,no,23,22.77777777777778,22.22222222222222,0.5555555555555571,73.0,72.0,2026-06-21T09:50:00Z,26,24.5,1.5,2026-06-21T15:00,-1.9,open_meteo_live_ecmwf,0.96,0.93,0.03,7.0,145.46,247.78,4.0000000000000036,0x65b1d85659c14f0c6ce7b0a8c8359466340208e312b653dfd2b5986035ae4086,2603510,,,0.96,0.93,Will the highest temperature in Ankara be 24°C on June 21?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,train_to_2026-06-28,95_97,3_5,peak_gt1h_ahead,room_1_2,decline,18
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260622_1759.json,2026-06-22T09:59:18Z,2026-06-22 17:59:18,2026-06-22 12:59:18,17,59,Ankara,t1_trading,2026-06-22,C,25,d1_no,no,24,23.88888888888889,23.88888888888889,0.0,75.0,75.0,2026-06-22T09:50:00Z,26,25.5,1.5,2026-06-22T15:00,-2.02,open_meteo_live_ecmwf,0.95,0.93,0.02,150.0,450.12,177.94,5.000000000000004,0xfbfdce3f190bda978a1454bdacbceea260bdbebb34729b1591b75c3fd33a0719,2615203,,,0.95,0.93,Will the highest temperature in Ankara be 25°C on June 22?,0.0,True,1.0,0.00238,0.95238,0.047619999999999996,0.05000105000105,train_to_2026-06-28,90_95,5_10,peak_gt1h_ahead,room_1_2,at_high,17
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260623_1537.json,2026-06-23T07:37:23Z,2026-06-23 15:37:23,2026-06-23 03:37:23,15,37,Atlanta,t2_research,2026-06-23,F,78-79,d1_no,no,77,77.0,74.0,3.0,77.0,74.0,2026-06-23T07:18:00Z,9,82.8,5.799999999999997,2026-06-23T16:00,-12.38,open_meteo_live_gfs,0.989,0.972,0.017,7.0,421.79,245.43,1.100000000000001,0xa2bc9cef3578bb4465018c059142ec4c8a8c5e171a2d1865772d7c14cd6b5c1d,2635107,,,0.989,0.972,Will the highest temperature in Atlanta be between 78-79°F on June 23?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,train_to_2026-06-28,97_99,1_3,peak_gt1h_ahead,room_gt2,decline,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260623_1802.json,2026-06-23T10:02:13Z,2026-06-23 18:02:13,2026-06-23 12:02:13,18,2,Amsterdam,t2_research,2026-06-23,C,26,d2_no,no,24,23.88888888888889,23.88888888888889,0.0,75.0,75.0,2026-06-23T09:55:00Z,24,27.3,3.3000000000000007,2026-06-23T17:00,-4.97,open_meteo_live_ecmwf,0.989,0.988,0.001,17.25,3535.57,275.77,1.100000000000001,0xf0212678e420a5f13404362eb66e64a69fa6d4e6bc389aa00f5164ec87c729cc,2626038,,,0.989,0.988,Will the highest temperature in Amsterdam be 26°C or below on June 23?,0.0,True,1.0,0.00054,0.98954,0.010460000000000025,0.010570568142773434,train_to_2026-06-28,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,18
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260623_1838.json,2026-06-23T10:38:34Z,2026-06-23 18:38:34,2026-06-23 13:38:34,18,38,Ankara,t1_trading,2026-06-23,C,25,d1_no,no,24,23.88888888888889,23.88888888888889,0.0,75.0,75.0,2026-06-23T10:20:00Z,27,25.4,1.3999999999999986,2026-06-23T16:00,-2.37,open_meteo_live_ecmwf,0.979,0.92,0.059,413.93,1306.41,42.43,2.100000000000002,0xb99b054b3dc66ba0bd3caf41ad22eade2a07c887017611787c585668b915cf54,2625820,,,0.979,0.92,Will the highest temperature in Ankara be 25°C on June 23?,0.0,True,1.0,0.00103,0.98003,0.019970000000000043,0.020376927236921364,train_to_2026-06-28,97_99,1_3,peak_gt1h_ahead,room_1_2,at_high,18
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260624_1849.json,2026-06-24T10:49:37Z,2026-06-24 18:49:37,2026-06-24 12:49:37,18,49,Amsterdam,t2_research,2026-06-24,C,32,d1_no,no,31,31.11111111111111,31.11111111111111,0.0,88.0,88.0,2026-06-24T10:25:00Z,24,32.0,1.0,2026-06-24T16:00,-3.18,open_meteo_live_ecmwf,0.978,0.965,0.013,25.0,2647.16,49.32,2.200000000000002,0x745528c84357b7a7cd25447d70a9aee26c3a994cb9c2a104a4cff014656396b9,2636847,,,0.978,0.965,Will the highest temperature in Amsterdam be 32°C on June 24?,0.0,True,1.0,0.00108,0.97908,0.02092000000000005,0.021366997589573937,train_to_2026-06-28,97_99,1_3,peak_gt1h_ahead,room_0_1,at_high,18
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260625_1521.json,2026-06-25T07:21:33Z,2026-06-25 15:21:33,2026-06-25 15:21:33,15,21,Beijing,t2_research,2026-06-25,C,32,current_yes,yes,32,32.22222222222222,32.22222222222222,0.0,90.0,90.0,2026-06-25T07:00:00Z,31,30.3,-1.6999999999999993,2026-06-25T16:00,-0.65,open_meteo_live_ecmwf,0.96,0.91,0.05,16.91,573.08,300.38,4.0000000000000036,0x9c597a9862bf9635a86a2379319d1af2bd66c1007959e931b62438b8162c33f7,2647544,0.96,0.91,,,Will the highest temperature in Beijing be 32°C on June 25?,1.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,train_to_2026-06-28,95_97,3_5,peak_1h_to_15m_ahead,busted_lt_minus1,at_high,15
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260625_1521.json,2026-06-25T07:21:33Z,2026-06-25 15:21:33,2026-06-25 15:21:33,15,21,Beijing,t2_research,2026-06-25,C,33,d1_no,no,32,32.22222222222222,32.22222222222222,0.0,90.0,90.0,2026-06-25T07:00:00Z,31,30.3,-1.6999999999999993,2026-06-25T16:00,-0.65,open_meteo_live_ecmwf,0.965,0.882,0.083,25.0,1309.75,237.67,3.500000000000003,0x8543dd1f418ffce7e7c9bf5d9d5aec30e1380ba44b690d986262ff8e7b6d3cf4,2647545,,,0.965,0.882,Will the highest temperature in Beijing be 33°C on June 25?,0.0,True,1.0,0.00169,0.9666899999999999,0.03331000000000006,0.034457788949921964,train_to_2026-06-28,95_97,3_5,peak_1h_to_15m_ahead,busted_lt_minus1,at_high,15
