execution_mode,city,target_date,decision_hour_local,legs,leg_set,cost,pnl,worst_leg_pnl,final_winning_bracket,roi
maker,Amsterdam,2026-05-21,15,1,d3_no,0.961,0.039000000000000035,0.039000000000000035,19,0.040582726326743014
maker,Amsterdam,2026-05-24,16,1,d3_no,0.971,0.029000000000000026,0.029000000000000026,24,0.02986611740473741
maker,Amsterdam,2026-05-24,18,2,"d2_no,d3_no",1.947,0.05300000000000005,0.014000000000000012,24,0.027221366204417074
maker,Amsterdam,2026-05-29,16,2,"current_yes,d1_no",1.94,0.06000000000000005,0.029000000000000026,28,0.03092783505154642
maker,Amsterdam,2026-05-30,16,1,d2_no,0.981,0.019000000000000017,0.019000000000000017,25,0.01936799184505608
maker,Amsterdam,2026-05-31,15,1,d2_no,0.99,0.010000000000000009,0.010000000000000009,23,0.01010101010101011
maker,Amsterdam,2026-06-04,17,2,"d2_no,d3_no",1.958,0.04200000000000004,0.010000000000000009,19,0.021450459652706862
maker,Amsterdam,2026-06-09,16,1,d2_no,0.988,0.01200000000000001,0.01200000000000001,18,0.012145748987854262
maker,Amsterdam,2026-06-12,16,1,current_yes,0.981,0.019000000000000017,0.019000000000000017,20,0.01936799184505608
maker,Amsterdam,2026-06-12,18,2,"current_yes,d1_no",1.9289999999999998,0.07100000000000006,0.030000000000000027,20,0.03680663556246764
maker,Amsterdam,2026-06-13,15,1,d3_no,0.99,0.010000000000000009,0.010000000000000009,17,0.01010101010101011
maker,Amsterdam,2026-06-16,18,2,"current_yes,d1_no",1.95,0.050000000000000044,0.020000000000000018,23,0.025641025641025664
maker,Amsterdam,2026-06-17,15,1,d3_no,0.979,0.02100000000000002,0.02100000000000002,24,0.021450459652706862
maker,Amsterdam,2026-06-19,16,1,d2_no,0.97,0.030000000000000027,0.030000000000000027,33,0.03092783505154642
maker,Amsterdam,2026-06-19,18,1,d2_no,0.986,0.014000000000000012,0.014000000000000012,33,0.014198782961460458
maker,Amsterdam,2026-06-30,15,2,"current_yes,d1_no",1.976,0.02400000000000002,0.010000000000000009,22,0.012145748987854262
maker,Amsterdam,2026-07-01,16,1,d3_no,0.984,0.016000000000000014,0.016000000000000014,23,0.016260162601626032
maker,Amsterdam,2026-07-01,17,1,d2_no,0.953,0.04700000000000004,0.04700000000000004,23,0.04931794333683111
maker,Amsterdam,2026-07-01,18,2,"d1_no,d2_no",1.9209999999999998,0.07900000000000007,0.039000000000000035,23,0.04112441436751696
maker,Amsterdam,2026-07-02,15,1,d2_no,0.976,0.02400000000000002,0.02400000000000002,21,0.024590163934426253
maker,Amsterdam,2026-07-02,16,1,d2_no,0.989,0.01100000000000001,0.01100000000000001,21,0.011122345803842274
maker,Amsterdam,2026-07-02,17,1,d2_no,0.989,0.01100000000000001,0.01100000000000001,21,0.011122345803842274
maker,Amsterdam,2026-07-03,16,2,"current_yes,d1_no",1.971,0.029000000000000026,0.010000000000000009,20,0.014713343480466781
maker,Amsterdam,2026-07-03,18,2,"current_yes,d1_no",1.9169999999999998,0.08300000000000007,0.040000000000000036,20,0.04329681794470531
maker,Ankara,2026-05-21,16,2,"d1_no,d2_no",1.952,0.04800000000000004,0.01100000000000001,18,0.024590163934426253
maker,Ankara,2026-05-24,17,2,"d2_no,d3_no",1.938,0.062000000000000055,0.025000000000000022,18,0.0319917440660475
maker,Ankara,2026-05-26,18,2,"current_yes,d1_no",1.9489999999999998,0.051000000000000045,0.020000000000000018,22,0.026167265264238095
maker,Ankara,2026-05-29,17,1,d2_no,0.953,0.04700000000000004,0.04700000000000004,17,0.04931794333683111
maker,Ankara,2026-06-04,18,2,"current_yes,d1_no",1.9129999999999998,0.08700000000000008,0.04300000000000004,27,0.0454783063251438
