orderbook_file,snapshot_ts_utc,book_age_min,decision_hour_local,city,target_date,unit,running_value,leg,bracket,outcome,condition_id,market_id,token_id,best_ask,ask_size,best_bid,bid_size,spread,depth_ask_5c,depth_bid_5c,icao,timezone,obs_count_day,obs_count_to_decision,first_obs_utc,last_obs_utc,decision_last_obs_utc,final_max_f,running_max_f,current_temp_f,final_max_c,running_max_c,current_temp_c,residual_c,residual_ge_0_5c,residual_ge_1_0c,residual_ge_1_5c,floor_c_bucket_delta,decline_from_max_c,decline_from_max_f,tmpf_now,dwpf_now,dewpoint_depression_f,relative_humidity_pct,wind_speed_kt,sky_cover_code,temp_trend_1h_f,temp_trend_3h_f,minutes_since_running_max,cadence_min,minutes_to_next_obs,source,source_chain,asof_generated_at_utc,is_f,running_native,current_native,decline_native,decision_ts_utc,final_winning_bracket,final_yes,settled,win,execution_mode,entry_price,top_size,depth_5c,residual_points,fee_per_share,cost_per_share,pnl_per_share,roi,strict_residual_1_5,watch_residual_1_10,depth_ok,period,residual_band,hour,book_spread_band,plateau_state
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Amsterdam,2026-05-21,C,18.0,current_yes,18,yes,0x7c34742e9f017006c9acf850cfd37dce9e86c254d5b20485c6b7ea012f72f5b8,2299740,92963760858238354496616236518932615044695658828738104455684721326564184270303,0.27,6.57,0.09,13.0,0.18,15.21,97.44,EHAM,Europe/Amsterdam,48,30,2026-05-20T22:25:00+00:00,2026-05-21T21:55:00+00:00,2026-05-21T12:55:00+00:00,66.0,64.0,64.0,18.88888888888889,17.77777777777778,17.77777777777778,1.1111111111111107,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,False,17.77777777777778,17.77777777777778,0.0,2026-05-21T13:00:00+00:00,19,0.0,True,0.0,taker,0.27,6.57,15.21,73.0,0.00986,0.27986,-0.27986,-1.0,False,False,True,train_to_2026-06-28,gt10,15,>6c,at_high
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,16,Jeddah,2026-05-21,C,34.0,d3_no,37,no,0x80d04129f0020b55723ed4bb4eb80390f7368daaee41394066c8358946be4b3b,2299800,30548474147801547330489762721310206582716917476257076967382659734825824241753,0.98,162.24,0.971,8.0,0.009,366.24,54.86,OEJN,Asia/Riyadh,24,17,2026-05-20T21:00:00+00:00,2026-05-21T20:00:00+00:00,2026-05-21T13:00:00+00:00,93.0,93.0,91.0,33.888888888888886,33.888888888888886,32.77777777777778,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,False,33.888888888888886,32.77777777777778,1.1111111111111072,2026-05-21T13:00:00+00:00,34,0.0,True,1.0,taker,0.98,162.24,366.24,2.0000000000000018,0.00098,0.98098,0.019020000000000037,0.019388774490815344,True,True,True,train_to_2026-06-28,1_5,16,<=1c,decline
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,18,Karachi,2026-05-21,C,35.0,current_yes,35,yes,0xc523fa0edc86bb2334f2107c5914a416948af8ed87d2b16429f1d872f285a529,2299866,72849133631345178463312028937874149036197364916308543840566021158085877885463,,,0.997,5.0,,0.0,764.45,OPKC,Asia/Karachi,48,37,2026-05-20T19:00:00+00:00,2026-05-21T18:30:00+00:00,2026-05-21T13:00:00+00:00,95.0,95.0,90.0,35.0,35.0,32.22222222222222,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,False,35.0,32.22222222222222,2.7777777777777786,2026-05-21T13:00:00+00:00,35,1.0,True,1.0,taker,,,0.0,,,,,,False,False,False,train_to_2026-06-28,,18,,decline
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Madrid,2026-05-21,C,30.0,current_yes,30,yes,0x2f2793d08df19e3c46a5c8513609dcaa524d77d35b2db101a3549c7079581172,2299549,107429432383995520780127580181490438418793043217109974929815896260159754686250,0.01,75.0,0.003,171.3,0.007,1462.44,1067.46,LEMD,Europe/Madrid,48,31,2026-05-20T22:00:00+00:00,2026-05-21T21:30:00+00:00,2026-05-21T13:00:00+00:00,90.0,86.0,86.0,32.22222222222222,30.0,30.0,2.2222222222222214,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,False,30.0,30.0,0.0,2026-05-21T13:00:00+00:00,32,0.0,True,0.0,taker,0.01,75.0,1462.44,99.0,0.00049,0.01049,-0.01049,-1.0,False,False,True,train_to_2026-06-28,gt10,15,<=1c,at_high
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Madrid,2026-05-21,C,30.0,d1_no,31,no,0x02ba3dd0ae4102f4cb204a24391cc2d4d56d7926e5d3aedcd5262f14ecc3c0b4,2299550,31344527001402521875996802135330809861818442426817602926341824300758200513139,0.83,6.25,0.8,8.0,0.03,360.75,99.19,LEMD,Europe/Madrid,48,31,2026-05-20T22:00:00+00:00,2026-05-21T21:30:00+00:00,2026-05-21T13:00:00+00:00,90.0,86.0,86.0,32.22222222222222,30.0,30.0,2.2222222222222214,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,False,30.0,30.0,0.0,2026-05-21T13:00:00+00:00,32,0.0,True,1.0,taker,0.83,6.25,360.75,17.000000000000004,0.00706,0.8370599999999999,0.16294000000000008,0.19465749169713056,False,False,True,train_to_2026-06-28,gt10,15,1_3c,at_high
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Madrid,2026-05-21,C,30.0,d2_no,32,no,0x1cc45e8738052370e4d10c6259e88f4921f3d49be0da851e7acccc8b917e5d46,2299551,49966912645759531049713182112913783688313457040775211994800841179084206123289,0.41,10.1,0.37,36.0,0.04,10.1,98.22,LEMD,Europe/Madrid,48,31,2026-05-20T22:00:00+00:00,2026-05-21T21:30:00+00:00,2026-05-21T13:00:00+00:00,90.0,86.0,86.0,32.22222222222222,30.0,30.0,2.2222222222222214,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,False,30.0,30.0,0.0,2026-05-21T13:00:00+00:00,32,1.0,True,0.0,taker,0.41,10.1,10.1,59.00000000000001,0.0121,0.4221,-0.4221,-1.0,False,False,True,train_to_2026-06-28,gt10,15,3_6c,at_high
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Madrid,2026-05-21,C,30.0,d3_no,33,no,0x3fe9f18f0400a7a627afe1945d4f5d61d26b9f49e2a7ed722c48bf6382636ec5,2299552,114173801695692045662189557892554474516012589232111549980710365353023074996282,0.76,6.5,0.71,27.62,0.05,43.5,115.62,LEMD,Europe/Madrid,48,31,2026-05-20T22:00:00+00:00,2026-05-21T21:30:00+00:00,2026-05-21T13:00:00+00:00,90.0,86.0,86.0,32.22222222222222,30.0,30.0,2.2222222222222214,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,False,30.0,30.0,0.0,2026-05-21T13:00:00+00:00,32,0.0,True,1.0,taker,0.76,6.5,43.5,24.0,0.00912,0.76912,0.23087999999999997,0.3001872269606823,False,False,True,train_to_2026-06-28,gt10,15,3_6c,at_high
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Munich,2026-05-21,C,19.0,current_yes,19,yes,0xc3e039d63f12d60dc9b402cd2749893fd6be9979c9a5ae1b867a4264a417a46c,2299473,37222660178477100861495397837772434290571356964485941823519931177877905418122,0.145,5.0,0.02,105.0,0.125,96.73,790.0,EDDM,Europe/Berlin,48,30,2026-05-20T22:20:00+00:00,2026-05-21T21:50:00+00:00,2026-05-21T12:50:00+00:00,70.0,66.0,66.0,21.11111111111111,18.88888888888889,18.88888888888889,2.2222222222222214,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,False,18.88888888888889,18.88888888888889,0.0,2026-05-21T13:00:00+00:00,21,0.0,True,0.0,taker,0.145,5.0,96.73,85.5,0.0062,0.1512,-0.1512,-1.0,False,False,True,train_to_2026-06-28,gt10,15,>6c,at_high
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Munich,2026-05-21,C,19.0,d1_no,20,no,0x0d258b5de6c971b876b48590c3c258908c41a3edaef6c7f402d13a9c20d0cbf9,2299474,50627259172146766286340237028475979375612112630592643716801919486679471285082,0.6,141.99,0.52,8.0,0.08,192.44,43.42,EDDM,Europe/Berlin,48,30,2026-05-20T22:20:00+00:00,2026-05-21T21:50:00+00:00,2026-05-21T12:50:00+00:00,70.0,66.0,66.0,21.11111111111111,18.88888888888889,18.88888888888889,2.2222222222222214,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,False,18.88888888888889,18.88888888888889,0.0,2026-05-21T13:00:00+00:00,21,0.0,True,1.0,taker,0.6,141.99,192.44,40.0,0.012,0.612,0.388,0.6339869281045752,False,False,True,train_to_2026-06-28,gt10,15,>6c,at_high
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_2030.jsonl.gz,2026-05-21T12:30:53+00:00,29.116666666666667,15,Munich,2026-05-21,C,19.0,d2_no,21,no,0xb861549c5de8efd466d1ae759b62d3e9fa474064406e3f88c9db37bee45a3d71,2299475,103922126935455216580843803939183177701819877779477590853528458487934644274469,0.56,103.35,0.53,15.52,0.03,103.35,18.52,EDDM,Europe/Berlin,48,30,2026-05-20T22:20:00+00:00,2026-05-21T21:50:00+00:00,2026-05-21T12:50:00+00:00,70.0,66.0,66.0,21.11111111111111,18.88888888888889,18.88888888888889,2.2222222222222214,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,False,18.88888888888889,18.88888888888889,0.0,2026-05-21T13:00:00+00:00,21,1.0,True,0.0,taker,0.56,103.35,103.35,43.99999999999999,0.01232,0.57232,-0.57232,-1.0,False,False,True,train_to_2026-06-28,gt10,15,1_3c,at_high
