snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,target_bracket_low_native,target_bracket_high_native,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,heating_done_score_v1,heating_done_bucket_v1,heating_done_reasons_v1,leg_residual_done_score_v1,leg_residual_done_bucket_v1,leg_residual_done_reasons_v1,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour,entry_policy
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260626_1751.json,2026-06-26T09:51:31Z,2026-06-26 17:51:31,2026-06-26 17:51:31,17,51,Beijing,t2_research,2026-06-26,C,34,current_yes,yes,34.0,34.0,34,33.888888888888886,32.77777777777778,1.1111111111111072,93.0,91.0,2026-06-26T09:30:00Z,36,34.0,0.0,2026-06-26T15:00,2.85,open_meteo_live_ecmwf,0.999,0.998,0.001,120.62,120.62,2040.41,0.10000000000000009,0x75d5fefcf62523f028fd864c8202f068b0f1380daf6a2ca8d128c6a1317a4b1b,2663165,0.999,0.998,,,Will the highest temperature in Beijing be 34°C on June 26?,0.8,heating_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high,0.8,leg_residual_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,1.0,True,1.0,5e-05,0.99905,0.0009500000000000064,0.0009509033581902871,train_to_2026-06-28,99_plus,lt1,post_peak_gt1_5h,capped_minus1_0,decline,17,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,Beijing,t2_research,2026-06-30,C,30,current_yes,yes,30.0,30.0,30,30.0,30.0,0.0,86.0,86.0,2026-06-30T07:00:00Z,36,27.3,-2.6999999999999993,2026-06-30T14:00,1.43,open_meteo_live_ecmwf,0.99,0.97,0.02,157.01,1327.01,573.71,1.0000000000000009,0x343e67d5b603958e16020a9b97e4dd441662cd1ede0bbf23fcdfaa1cca069199,2715297,0.99,0.97,0.03,0.01,Will the highest temperature in Beijing be 30°C on June 30?,0.58,heating_done_probable,peak_passed_1h_plus;forecast_below_running_high;at_running_high_plateau,0.58,leg_residual_done_probable,peak_passed_1h_plus;forecast_below_running_high;at_running_high_plateau;uses_day_heating_done,1.0,True,1.0,0.0005,0.9904999999999999,0.009500000000000064,0.009591115598182801,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,busted_lt_minus1,at_high,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 16:26:03,15,26,Busan,t2_research,2026-06-30,C,28,current_yes,yes,28.0,28.0,28,27.77777777777778,27.22222222222222,0.5555555555555571,82.0,81.0,2026-06-30T07:00:00Z,17,27.7,-0.3000000000000007,2026-06-30T13:00,3.43,open_meteo_live_ecmwf,0.998,0.991,0.007,395.0,827.05,404.59,0.20000000000000018,0x081a434d8856412972da4c386b06a9b0554a33ba5bb1ffb553d3e5ec62b2007c,2715339,0.998,0.991,0.009,0.002,Will the highest temperature in Busan be 28°C on June 30?,0.8,heating_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high,0.8,leg_residual_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,1.0,True,1.0,0.0001,0.9981,0.0019000000000000128,0.001903616872056921,forward_2026-06-29_2026-07-06,99_plus,lt1,post_peak_gt1_5h,capped_minus1_0,decline,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,Chongqing,t2_research,2026-06-30,C,26,current_yes,yes,26.0,26.0,26,26.11111111111111,25.0,1.1111111111111107,79.0,77.0,2026-06-30T07:00:00Z,16,24.8,-1.1999999999999993,2026-06-30T16:00,-0.57,open_meteo_live_ecmwf,0.96,0.92,0.04,53.0,634.79,45.77,4.0000000000000036,0x2d9ef96248e4f8d60d7165f7c807a37904df487e4d3635524e59a45c7c80acba,2715284,0.96,0.92,0.08,0.04,Will the highest temperature in Chongqing be 26°C on June 30?,0.45,near_peak_capping,forecast_below_running_high;pulled_back_from_high,0.45,leg_residual_marginal,forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,0.0,True,0.0,0.00192,0.96192,-0.96192,-1.0,forward_2026-06-29_2026-07-06,95_97,3_5,peak_1h_to_15m_ahead,busted_lt_minus1,decline,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,Guangzhou,t1_trading,2026-06-30,C,34,current_yes,yes,34.0,34.0,34,33.888888888888886,27.77777777777778,6.111111111111107,93.0,82.0,2026-06-30T07:00:00Z,34,32.1,-1.8999999999999986,2026-06-30T13:00,2.43,open_meteo_live_gfs,0.996,0.995,0.001,50.0,1947.8,2120.06,0.40000000000000036,0x1bdd71dc8778982640bc0a3566bb10b31a53127b52f012d5317c0919c8400b45,2715364,0.996,0.995,0.005,0.004,Will the highest temperature in Guangzhou be 34°C on June 30?,0.8,heating_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high,0.8,leg_residual_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,1.0,True,1.0,0.0002,0.9962,0.0038000000000000256,0.0038144950813089997,forward_2026-06-29_2026-07-06,99_plus,lt1,post_peak_gt1_5h,busted_lt_minus1,decline,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,HongKong,t2_research,2026-06-30,C,33,current_yes,yes,33.0,33.0,33,32.77777777777778,32.22222222222222,0.5555555555555571,91.0,90.0,2026-06-30T07:00:00Z,38,30.0,-3.0,2026-06-30T12:00,3.43,open_meteo_live_ecmwf,0.049,0.023,0.026,15.11,122.49,22478.59,95.1,0xbff6b4d48fc20c1b6a22a890bd40e981be691c7b95538eaeb005e4796b19e8eb,2715241,0.049,0.023,0.977,0.951,Will the highest temperature in Hong Kong be 33°C on June 30?,0.8,heating_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high,0.8,leg_residual_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,0.0,True,0.0,0.00233,0.05133,-0.05133,-1.0,forward_2026-06-29_2026-07-06,lt90,gt10,post_peak_gt1_5h,busted_lt_minus1,decline,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,KualaLumpur,t2_research,2026-06-30,C,32,current_yes,yes,32.0,32.0,32,32.22222222222222,31.11111111111111,1.1111111111111107,90.0,88.0,2026-06-30T07:00:00Z,31,31.2,-0.8000000000000007,2026-06-30T14:00,1.43,open_meteo_live_ecmwf,0.98,0.96,0.02,471.93,1338.61,45.17,2.0000000000000018,0xfef1cea9143d9e7cd99b7ec9eab1b25d4d29b2cf0b1ac0aa21e57cfe0872fcf4,2715353,0.98,0.96,0.04,0.02,Will the highest temperature in Kuala Lumpur be 32°C on June 30?,0.73,heating_done_confirmed,peak_passed_1h_plus;forecast_below_running_high;pulled_back_from_high,0.73,leg_residual_done_confirmed,peak_passed_1h_plus;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,1.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,decline,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,Manila,t1_trading,2026-06-30,C,29,current_yes,yes,29.0,29.0,29,28.88888888888889,28.88888888888889,0.0,84.0,84.0,2026-06-30T07:00:00Z,18,29.1,0.10000000000000142,2026-06-30T10:00,5.43,open_meteo_live_gfs,0.97,0.92,0.05,130.76,859.25,536.75,3.0000000000000027,0x307c565850d655be4d1907b54e8c32c0d1e0a61309f93151520079024ea413a6,2715381,0.97,0.92,0.08,0.03,Will the highest temperature in Manila be 29°C on June 30?,0.55,heating_done_probable,peak_passed_2h_plus;forecast_room_le_1_step;at_running_high_plateau,0.55,leg_residual_done_probable,peak_passed_2h_plus;forecast_room_le_1_step;at_running_high_plateau;uses_day_heating_done,1.0,True,1.0,0.00146,0.97146,0.02854000000000001,0.029378461285076082,forward_2026-06-29_2026-07-06,95_97,3_5,post_peak_gt1_5h,room_0_1,at_high,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 16:26:03,15,26,Seoul,t2_research,2026-06-30,C,28,current_yes,yes,28.0,28.0,28,27.77777777777778,26.11111111111111,1.6666666666666679,82.0,79.0,2026-06-30T07:00:00Z,33,26.5,-1.5,2026-06-30T14:00,2.43,open_meteo_live_ecmwf,0.999,0.993,0.006,893.02,893.02,1536.0,0.10000000000000009,0x5b0ec76af8753b63f8af54c3b5ad3f2595c761cd36c5efdb3198ef9dc01283c8,2715208,0.999,0.993,0.007,0.001,Will the highest temperature in Seoul be 28°C on June 30?,0.8,heating_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high,0.8,leg_residual_done_confirmed,peak_passed_2h_plus;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,1.0,True,1.0,5e-05,0.99905,0.0009500000000000064,0.0009509033581902871,forward_2026-06-29_2026-07-06,99_plus,lt1,post_peak_gt1_5h,busted_lt_minus1,decline,15,current_yes_heating_done
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1526.json,2026-06-30T07:26:03Z,2026-06-30 15:26:03,2026-06-30 15:26:03,15,26,Shanghai,t1_trading,2026-06-30,C,27,current_yes,yes,27.0,27.0,27,27.22222222222222,27.22222222222222,0.0,81.0,81.0,2026-06-30T07:00:00Z,37,26.8,-0.1999999999999993,2026-06-30T14:00,1.43,open_meteo_live_gfs,0.985,0.96,0.025,176.8,1223.41,115.3,1.5000000000000013,0xd2a67b7309a4cb12f429741a4e7337779b2ce946a62014596459b1656edad827,2715251,0.985,0.96,0.04,0.015,Will the highest temperature in Shanghai be 27°C on June 30?,0.58,heating_done_probable,peak_passed_1h_plus;forecast_below_running_high;at_running_high_plateau,0.58,leg_residual_done_probable,peak_passed_1h_plus;forecast_below_running_high;at_running_high_plateau;uses_day_heating_done,0.0,True,0.0,0.00074,0.98574,-0.98574,-1.0,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,at_high,15,current_yes_heating_done
