model,scope,rows,dates,hit_rate,logloss,brier,auc,avg_p
physical_base,all_lodo,681,13,0.8032305433186491,0.3803798788850933,0.11518125656760166,0.8030914895358673,0.8011443650216546
physical_base,forward_lodo,621,5,0.8132045088566827,0.3750676311184214,0.11312254633793623,0.7984807101399796,0.809781522710799
physical_clean,all_lodo,681,13,0.8032305433186491,0.3786421151382917,0.11347151036531392,0.8072252994624683,0.7970980765979743
physical_clean,forward_lodo,621,5,0.8132045088566827,0.37433099605183623,0.11151309760132314,0.8002219187435986,0.806142961424469
physical_plus,all_lodo,681,13,0.8032305433186491,0.3835252084642712,0.11554227888559371,0.8047968566673033,0.7891960038577499
physical_plus,forward_lodo,621,5,0.8132045088566827,0.37762372364915314,0.1130834861782413,0.801092523045408,0.7977160538483237
heuristic_leg_score,all_lodo,681,13,0.8032305433186491,6.20090087548364,0.5475946020563627,0.5584804496712052,0.22768037738619679
heuristic_leg_score,forward_lodo,621,5,0.8132045088566827,6.000822580293775,0.5370160933982898,0.5707835438716287,0.24436439935587762
market_entry_price,all_lodo,681,13,0.8032305433186491,0.2528277524043455,0.08196359911894273,0.9283472946055829,0.8038575624082233
market_entry_price,forward_lodo,621,5,0.8132045088566827,0.2559983109667105,0.08242626086956521,0.922302833731649,0.8087278582930756
physical_base,forward_expanding,414,4,0.8115942028985508,0.4002999005601174,0.12276179866674482,0.7694215506715506,0.7825159073099506
physical_clean,forward_expanding,414,4,0.8115942028985508,0.402098154055666,0.12186351347434778,0.7720161782661783,0.7806253226314367
physical_plus,forward_expanding,414,4,0.8115942028985508,0.4171261463632769,0.12705365102746707,0.7724358974358974,0.7670606309302863
heuristic_leg_score,forward_expanding,621,5,0.8132045088566827,6.000822580293775,0.5370160933982898,0.5707835438716287,0.24436439935587762
market_entry_price,forward_expanding,621,5,0.8132045088566827,0.2559983109667105,0.08242626086956521,0.922302833731649,0.8087278582930756
