rows,active_dates,cities,avg_p,avg_entry,avg_edge,hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,model,edge_threshold,slice,leg
259,6,31,0.7489841037882989,0.5505945945945946,0.19001954780374297,0.5482625482625483,144.77182,-2.771820000000003,-0.019146129405570804,-0.09629183013321763,0.07360082889790402,base_expanding,0.0,all,
245,6,31,0.7415790394821141,0.532395918367347,0.20061279458415487,0.5346938775510204,132.53672999999998,-1.5367299999999995,-0.011594748112466633,-0.07959898669262558,0.08150892628422582,base_expanding,0.01,all,
236,6,30,0.7362179738276199,0.5198093220338983,0.20770339755643347,0.5254237288135594,124.72944,-0.7294400000000016,-0.0058481782648908045,-0.09065135418136565,0.1001954464851991,base_expanding,0.02,all,
224,6,30,0.7277063992401176,0.5013214285714286,0.21751345281154613,0.5133928571428571,114.28322,0.7167799999999991,0.006271961885568144,-0.09495675014819199,0.12402876294347698,base_expanding,0.03,all,
255,6,31,0.746956407726191,0.5512941176470587,0.18733636851050464,0.5450980392156862,142.70310999999998,-3.703110000000003,-0.025949749798725504,-0.11691749987134399,0.05406960056322065,clean_expanding,0.0,all,
242,6,30,0.7390960278798628,0.5333801652892564,0.1971949534996975,0.5330578512396694,131.14005999999998,-2.14006,-0.01631888837018986,-0.11017827826902812,0.07199902805421454,clean_expanding,0.01,all,
232,6,30,0.7309754944321362,0.5172112068965518,0.2050366151217914,0.5301724137931034,122.01782,0.9821799999999978,0.008049479985792222,-0.08692841430813215,0.09679373443923883,clean_expanding,0.02,all,
217,6,29,0.7312980448170247,0.5049815668202764,0.2174940816833841,0.5161290322580645,111.49546,0.5045399999999978,0.004525206676576766,-0.09692710727655421,0.1131835565472509,clean_expanding,0.03,all,
248,6,31,0.7501647308374426,0.5570322580645162,0.18493956954711996,0.5483870967741935,140.17584,-4.175839999999999,-0.02979001231595972,-0.12774838119151213,0.0734156546562213,plus_expanding,0.0,all,
237,6,31,0.7436887142437685,0.5420506329113924,0.19327765939144798,0.5358649789029536,130.44742,-3.44742,-0.02642765951216207,-0.10732558015104607,0.06587171000433173,plus_expanding,0.01,all,
219,6,30,0.7351350261487527,0.5185799086757991,0.20792644167386673,0.5159817351598174,115.45867999999999,-2.458680000000001,-0.021294890951464206,-0.13288705920647162,0.10960406115086381,plus_expanding,0.02,all,
208,6,30,0.7263322258045307,0.49987980769230766,0.2176442450353,0.5144230769230769,105.80709999999999,1.192899999999998,0.011274290666694373,-0.12411704666619953,0.1519294818821526,plus_expanding,0.03,all,
65,6,20,0.46564347956801894,0.19643076923076924,0.2639390180295575,0.18461538461538463,13.11079,-1.1107899999999997,-0.08472334619042786,-0.6092380043394119,0.4057566907089856,base_expanding,0.0,by_leg,current_yes
64,6,19,0.4637863660850439,0.19059375,0.2680280848350439,0.171875,12.52853,-1.5285299999999997,-0.12200393821142622,-0.6092380043394119,0.3717138879172581,base_expanding,0.01,by_leg,current_yes
64,6,19,0.4637863660850439,0.19059375,0.2680280848350439,0.171875,12.52853,-1.5285299999999997,-0.12200393821142622,-0.6092380043394119,0.3717138879172581,base_expanding,0.02,by_leg,current_yes
63,6,19,0.45954106706670345,0.18250793650793648,0.2719532892889258,0.15873015873015872,11.81803,-1.81803,-0.15383528388403142,-0.7731245625557971,0.3717138879172581,base_expanding,0.03,by_leg,current_yes
85,6,23,0.8483300962753355,0.6418,0.1970395080400413,0.6941176470588235,55.359700000000004,3.640299999999999,0.0657572205051689,-0.04164637205181672,0.2137130151301464,base_expanding,0.0,by_leg,d1_no
82,6,23,0.8446152024533813,0.6308414634146341,0.2040361780631375,0.6951219512195121,52.527480000000004,4.472519999999999,0.0851462891423689,-0.004291212020665078,0.21695695653668653,base_expanding,0.01,by_leg,d1_no
78,6,23,0.8429550359280188,0.6191923076923077,0.21379247182545463,0.6794871794871795,49.074679999999994,3.9253199999999993,0.07998666522125054,-0.01790820243069332,0.21551651615053596,base_expanding,0.02,by_leg,d1_no
75,6,23,0.8396574867935661,0.6080800000000001,0.22139188679356608,0.6666666666666666,46.36991999999999,3.6300799999999995,0.07828523318565139,-0.0316524639426992,0.2246593320912113,base_expanding,0.03,by_leg,d1_no
60,6,20,0.8179813646822299,0.6823666666666667,0.12595453134889648,0.6333333333333333,41.521609999999995,-3.521610000000001,-0.08481390774587019,-0.16752391882168954,0.03795992436732016,base_expanding,0.0,by_leg,d2_no
55,6,19,0.8119188259150284,0.6647636363636364,0.137044280460483,0.6181818181818182,37.1181,-3.118100000000002,-0.08400483860973493,-0.17499236867941032,0.03572511855353586,base_expanding,0.01,by_leg,d2_no
54,6,19,0.8150863321716771,0.6657777777777779,0.13923059143093638,0.6296296296296297,36.49621,-2.4962100000000014,-0.06839641705262002,-0.1513901422827022,0.03946578023942723,base_expanding,0.02,by_leg,d2_no
46,6,16,0.7995842400184149,0.6296521739130434,0.15903532697493677,0.6304347826086957,29.46525,-0.46525000000000083,-0.015789786273661375,-0.19901318424298736,0.1514142539657733,base_expanding,0.03,by_leg,d2_no
49,4,17,0.8680227886716508,0.7008367346938775,0.15823258459001824,0.673469387755102,34.77972,-1.7797199999999986,-0.05117119976814071,-0.16390166333925654,0.06230131645690639,base_expanding,0.0,by_leg,d3_no
44,4,17,0.8656944367538931,0.6806363636363636,0.17563489129934756,0.6590909090909091,30.36262,-1.3626199999999995,-0.044878208797528,-0.1586124256818132,0.04767661994378164,base_expanding,0.01,by_leg,d3_no
40,4,16,0.8574989913554866,0.6557,0.1917484913554865,0.65,26.63002,-0.63002,-0.023658262367057932,-0.16847603084186363,0.15349966029435,base_expanding,0.02,by_leg,d3_no
40,4,16,0.8574989913554866,0.6557,0.1917484913554865,0.65,26.63002,-0.63002,-0.023658262367057932,-0.16847603084186363,0.15349966029435,base_expanding,0.03,by_leg,d3_no
66,6,21,0.44994386208516696,0.2063030303030303,0.23820537723668211,0.18181818181818182,13.97474,-1.9747400000000002,-0.14130781681805887,-0.7193461044888485,0.3371278049041391,clean_expanding,0.0,by_leg,current_yes
