decile,rows,avg_p,actual,model,label
0,284,0.3280739871073128,0.721830985915493,base_physical_only,no_win
1,283,0.5030521463589548,0.7667844522968198,base_physical_only,no_win
2,283,0.6354550345628631,0.8409893992932862,base_physical_only,no_win
3,283,0.7355784868966196,0.872791519434629,base_physical_only,no_win
4,283,0.8087225462545415,0.9293286219081273,base_physical_only,no_win
5,283,0.8671487236142056,0.9257950530035336,base_physical_only,no_win
6,283,0.9108772943653969,0.9469964664310954,base_physical_only,no_win
7,283,0.9446670389179921,0.9787985865724381,base_physical_only,no_win
8,283,0.9709015262563591,0.9611307420494699,base_physical_only,no_win
9,284,0.9925144408219007,0.9894366197183099,base_physical_only,no_win
0,284,0.26115869006556514,0.6725352112676056,obs_clock_cadence,no_win
1,283,0.45409841891052066,0.8021201413427562,obs_clock_cadence,no_win
2,283,0.606070438385861,0.8657243816254417,obs_clock_cadence,no_win
3,283,0.7281024289334603,0.8692579505300353,obs_clock_cadence,no_win
4,283,0.8095089210494706,0.9045936395759717,obs_clock_cadence,no_win
5,283,0.8759095804324365,0.9399293286219081,obs_clock_cadence,no_win
6,283,0.9257679580748512,0.9681978798586572,obs_clock_cadence,no_win
7,283,0.960559004182389,0.9575971731448764,obs_clock_cadence,no_win
8,283,0.9825490079401575,0.9646643109540636,obs_clock_cadence,no_win
9,284,0.9964781416082342,0.9894366197183099,obs_clock_cadence,no_win
0,284,0.26895470916466824,0.6866197183098591,multi_model_forecast,no_win
1,283,0.471001834213671,0.8021201413427562,multi_model_forecast,no_win
2,283,0.6190482672674319,0.8409893992932862,multi_model_forecast,no_win
3,283,0.7419657450372873,0.8798586572438163,multi_model_forecast,no_win
4,283,0.8278433500513066,0.9045936395759717,multi_model_forecast,no_win
5,283,0.8923273097541118,0.9434628975265018,multi_model_forecast,no_win
6,283,0.9372565099959241,0.9681978798586572,multi_model_forecast,no_win
7,283,0.9656510568240707,0.9540636042402827,multi_model_forecast,no_win
8,283,0.9847858997069655,0.9681978798586572,multi_model_forecast,no_win
9,284,0.9969689212005441,0.9859154929577465,multi_model_forecast,no_win
0,284,0.2610335134939645,0.7147887323943662,taf,no_win
1,283,0.4633674889426825,0.7879858657243817,taf,no_win
2,283,0.6170736175079539,0.833922261484099,taf,no_win
3,283,0.7456118612057769,0.8869257950530035,taf,no_win
4,283,0.8370192071945265,0.8975265017667845,taf,no_win
5,283,0.9007415994430813,0.9399293286219081,taf,no_win
6,283,0.9430896692174995,0.9611307420494699,taf,no_win
7,283,0.9711713640169648,0.9540636042402827,taf,no_win
8,283,0.9877472574389522,0.9646643109540636,taf,no_win
9,284,0.9978349938594305,0.9929577464788732,taf,no_win
0,284,0.2600310714545766,0.7112676056338029,vertical_hourly_context,no_win
1,283,0.46294815790768484,0.7915194346289752,vertical_hourly_context,no_win
2,283,0.6174489073042566,0.833922261484099,vertical_hourly_context,no_win
3,283,0.7460596513155721,0.8869257950530035,vertical_hourly_context,no_win
4,283,0.8375092109827759,0.8975265017667845,vertical_hourly_context,no_win
5,283,0.9010063421870933,0.9363957597173145,vertical_hourly_context,no_win
6,283,0.9432298300489,0.9646643109540636,vertical_hourly_context,no_win
7,283,0.9714346034698226,0.9540636042402827,vertical_hourly_context,no_win
8,283,0.9878525208654906,0.9681978798586572,vertical_hourly_context,no_win
9,284,0.9979038979472866,0.9894366197183099,vertical_hourly_context,no_win
0,284,0.24990153129685316,0.721830985915493,city_late_reheat_calibration,no_win
1,283,0.4992909040287062,0.8551236749116607,city_late_reheat_calibration,no_win
2,283,0.6525810068219551,0.8056537102473498,city_late_reheat_calibration,no_win
3,283,0.7626277220211619,0.8621908127208481,city_late_reheat_calibration,no_win
4,283,0.8578044138449642,0.8833922261484098,city_late_reheat_calibration,no_win
5,283,0.9163495422348432,0.9257950530035336,city_late_reheat_calibration,no_win
6,283,0.9541768867029277,0.9540636042402827,city_late_reheat_calibration,no_win
7,283,0.9790764200587361,0.9646643109540636,city_late_reheat_calibration,no_win
8,283,0.9930200577345824,0.9752650176678446,city_late_reheat_calibration,no_win
9,284,0.9991266643755047,0.9859154929577465,city_late_reheat_calibration,no_win
0,284,0.24955489847702764,0.7253521126760564,full_v2,no_win
1,283,0.49847233836659105,0.8515901060070671,full_v2,no_win
2,283,0.6529187772287964,0.7985865724381626,full_v2,no_win
3,283,0.763374679824358,0.8692579505300353,full_v2,no_win
4,283,0.858351672856146,0.8798586572438163,full_v2,no_win
5,283,0.9165822814509013,0.9293286219081273,full_v2,no_win
6,283,0.9545248192727421,0.9575971731448764,full_v2,no_win
7,283,0.9792628055933907,0.9646643109540636,full_v2,no_win
8,283,0.9931467928421425,0.9752650176678446,full_v2,no_win
9,284,0.9991564442790347,0.9823943661971831,full_v2,no_win
0,148,0.38101351351351354,0.39864864864864863,market_no_ask,no_win
1,147,0.7322721088435374,0.6938775510204082,market_no_ask,no_win
2,147,0.8985306122448979,0.9047619047619048,market_no_ask,no_win
3,148,0.9560067567567568,0.9054054054054054,market_no_ask,no_win
4,147,0.9806530612244898,0.9591836734693877,market_no_ask,no_win
5,147,0.9909183673469387,0.9863945578231292,market_no_ask,no_win
6,148,0.9965337837837838,1.0,market_no_ask,no_win
7,147,0.9979999999999999,1.0,market_no_ask,no_win
8,147,0.9989795918367347,1.0,market_no_ask,no_win
9,148,0.999,1.0,market_no_ask,no_win
0,318,0.4999999999999999,0.8616352201257862,clock_only_hazard,no_win
1,318,0.6343386607884094,0.9182389937106918,clock_only_hazard,no_win
2,317,0.6882562864147224,0.7949526813880127,clock_only_hazard,no_win
3,318,0.6899744811276125,0.779874213836478,clock_only_hazard,no_win
4,318,0.724339566719763,0.8301886792452831,clock_only_hazard,no_win
5,317,0.7972491856268604,0.9274447949526814,clock_only_hazard,no_win
6,318,0.8175744761936435,0.9716981132075472,clock_only_hazard,no_win
7,317,0.8175744761936437,0.9211356466876972,clock_only_hazard,no_win
8,318,0.8442154467568135,0.9842767295597484,clock_only_hazard,no_win
9,318,0.898012721976857,0.940251572327044,clock_only_hazard,no_win
0,318,0.01478062893081761,0.6635220125786163,raw_physical_score_v1,no_win
1,318,0.17770440251572328,0.7955974842767296,raw_physical_score_v1,no_win
2,317,0.33381703470031543,0.8706624605678234,raw_physical_score_v1,no_win
3,318,0.4523270440251572,0.8553459119496856,raw_physical_score_v1,no_win
4,318,0.5623584905660377,0.8836477987421384,raw_physical_score_v1,no_win
5,317,0.6412618296529968,0.9747634069400631,raw_physical_score_v1,no_win
6,318,0.6843710691823899,0.9433962264150944,raw_physical_score_v1,no_win
7,317,0.7763722397476341,0.9936908517350158,raw_physical_score_v1,no_win
8,318,0.8,0.9748427672955975,raw_physical_score_v1,no_win
9,318,0.8,0.9748427672955975,raw_physical_score_v1,no_win
0,305,0.09541054204598316,0.6295081967213115,v1_original_retrained,no_win
1,305,0.25994710093529905,0.7639344262295082,v1_original_retrained,no_win
2,305,0.42454129849440786,0.8459016393442623,v1_original_retrained,no_win
3,304,0.5728065839339248,0.9046052631578947,v1_original_retrained,no_win
4,305,0.6958473172485892,0.9344262295081968,v1_original_retrained,no_win
5,305,0.7935136583221507,0.9606557377049181,v1_original_retrained,no_win
6,304,0.8612060846143005,0.9835526315789473,v1_original_retrained,no_win
7,305,0.9126817088176545,0.9639344262295082,v1_original_retrained,no_win
8,305,0.9522695446652029,0.9672131147540983,v1_original_retrained,no_win
9,305,0.9887910809168706,0.9737704918032787,v1_original_retrained,no_win
0,305,0.09851846032810385,0.6491803278688525,old_v1_like,no_win
1,305,0.2678412789294751,0.7573770491803279,old_v1_like,no_win
2,305,0.43010446035025846,0.839344262295082,old_v1_like,no_win
3,304,0.5742271163579746,0.9046052631578947,old_v1_like,no_win
4,305,0.696678819718218,0.9180327868852459,old_v1_like,no_win
5,305,0.7992230355325409,0.9672131147540983,old_v1_like,no_win
6,304,0.8713069046858877,0.9769736842105263,old_v1_like,no_win
7,305,0.9249237009441952,0.9606557377049181,old_v1_like,no_win
8,305,0.9660766438965723,0.9639344262295082,old_v1_like,no_win
9,305,0.9923064047136876,0.9901639344262295,old_v1_like,no_win
