model,target,scope,rows,dates,base_rate,logloss,brier,auc,avg_p
base_physical_only,touch,forward_expanding,3048,8,0.12335958005249344,0.5253557514760138,0.17085267838245186,0.80803386577908,0.34846605553467597
base_physical_only,stop_exact_given_touch,forward_expanding_touched_only,348,7,0.867816091954023,0.6320272750696072,0.21597887256101414,0.6210768787791534,0.6318904274772692
base_physical_only,final_exact,forward_expanding,2832,7,0.10663841807909605,0.37342023485623277,0.11801611019619587,0.7493835562652149,0.23037814083788188
base_physical_only,no_win,forward_expanding,2832,7,0.893361581920904,0.37342023485623277,0.11801611019619587,0.7493835562652147,0.7696218591621181
obs_clock_cadence,touch,forward_expanding,3048,8,0.12335958005249344,0.5471523680697747,0.17816346155832133,0.7953053334819722,0.34876476604323037
obs_clock_cadence,stop_exact_given_touch,forward_expanding_touched_only,348,7,0.867816091954023,0.611146180927849,0.1995328978582763,0.600921393607832,0.6771288242980278
obs_clock_cadence,final_exact,forward_expanding,2832,7,0.10663841807909605,0.3956004238726077,0.1267664256786663,0.7539198492265005,0.24007239771057642
obs_clock_cadence,no_win,forward_expanding,2832,7,0.893361581920904,0.3956004238726077,0.1267664256786663,0.7539198492265005,0.7599276022894235
multi_model_forecast,touch,forward_expanding,3048,8,0.12335958005249344,0.5328029960783541,0.1728928447676275,0.791221413555867,0.3346694587311859
multi_model_forecast,stop_exact_given_touch,forward_expanding_touched_only,348,7,0.867816091954023,0.6375574140791475,0.20936460292615777,0.588180247624532,0.6735592615666357
multi_model_forecast,final_exact,forward_expanding,2832,7,0.10663841807909605,0.3935080367526454,0.12515155850151974,0.7469505012695339,0.22951682791649436
multi_model_forecast,no_win,forward_expanding,2832,7,0.893361581920904,0.3935080367526454,0.12515155850151974,0.7469505012695338,0.7704831720835056
taf,touch,forward_expanding,3048,8,0.12335958005249344,0.5296930875234497,0.17133597123537814,0.7940969789145115,0.328260841249462
taf,stop_exact_given_touch,forward_expanding_touched_only,348,7,0.867816091954023,0.6644388884381313,0.2148619739031832,0.5661531816873021,0.6700614866445439
taf,final_exact,forward_expanding,2832,7,0.10663841807909605,0.39885335578849695,0.1280859048168213,0.7423684003874043,0.22763195604726374
taf,no_win,forward_expanding,2832,7,0.893361581920904,0.39885335578849695,0.1280859048168213,0.742368400387404,0.7723680439527362
vertical_hourly_context,touch,forward_expanding,3048,8,0.12335958005249344,0.5321574709810335,0.17092630871048903,0.7936172203465409,0.32754021095039554
vertical_hourly_context,stop_exact_given_touch,forward_expanding_touched_only,348,7,0.867816091954023,0.6598263103811444,0.2140966222114432,0.5660811978116902,0.6705247113052891
vertical_hourly_context,final_exact,forward_expanding,2832,7,0.10663841807909605,0.4015289538468477,0.12812431541118793,0.7426262335418684,0.2275589753795124
vertical_hourly_context,no_win,forward_expanding,2832,7,0.893361581920904,0.4015289538468429,0.12812431541118793,0.7426262335418684,0.7724410246204876
city_late_reheat_calibration,touch,forward_expanding,3048,8,0.12335958005249344,0.5517201244272675,0.17583791249107367,0.7786839884061664,0.3218488722746551
city_late_reheat_calibration,stop_exact_given_touch,forward_expanding_touched_only,348,7,0.867816091954023,0.7634759426833415,0.2403877202651175,0.5395911315865246,0.6423866125331015
city_late_reheat_calibration,final_exact,forward_expanding,2832,7,0.10663841807909605,0.4060150992649154,0.12902105968677166,0.7282726487448631,0.21371881010175386
city_late_reheat_calibration,no_win,forward_expanding,2832,7,0.893361581920904,0.4060150992649154,0.12902105968677166,0.728272648744863,0.7862811898982462
full_v2,touch,forward_expanding,3048,8,0.12335958005249344,0.5544524365726167,0.1755342166378487,0.7780748343738055,0.3212827701099705
full_v2,stop_exact_given_touch,forward_expanding_touched_only,348,7,0.867816091954023,0.7601627624143944,0.23964963706911147,0.5395911315865245,0.6426538194476651
full_v2,final_exact,forward_expanding,2832,7,0.10663841807909605,0.40852720618002264,0.12905718087711554,0.7279559196921708,0.2135799840670974
full_v2,no_win,forward_expanding,2832,7,0.893361581920904,0.4085272061800221,0.12905718087711554,0.7279559196921708,0.7864200159329028
market_no_ask,no_win,forward_expanding,1474,9,0.8846675712347354,0.20715040615152763,0.06351201424694708,0.9194243955250812,0.893027815468114
clock_only_hazard,no_win,forward_expanding,3177,9,0.8929807994963802,0.40582668870541755,0.12141633198515016,0.6331175226523461,0.7411284690033466
raw_physical_score_v1,no_win,forward_expanding,3177,9,0.8929807994963802,1.2605558303475155,0.24917604532585458,0.7732831906114579,0.5242430720805791
v1_original_retrained,no_win,forward_expanding,3048,8,0.8927165354330708,0.5424362999277188,0.1770935971654861,0.7832870852706382,0.6556612657249798
old_v1_like,no_win,forward_expanding,3048,8,0.8927165354330708,0.5335845104168202,0.17500049750906876,0.7857618904724495,0.6620808883672292
