slice,rows,dates,cities,touch_rate,exact_rate,no_win_rate,avg_p_no_win,tail_miss_rate,model
d1_no,2832,7.0,47.0,0.1228813559322034,0.10663841807909605,0.893361581920904,0.7696218591621181,0.011299435028248588,base_physical_only
d1_no_next_obs_le30,2193,7.0,47.0,0.1322389420884633,0.11445508435932512,0.8855449156406748,0.7623430121281831,0.011855905152758778,base_physical_only
d1_no_cadence_approx60,1104,7.0,32.0,0.08876811594202899,0.08242753623188406,0.917572463768116,0.7631359708480793,0.007246376811594203,base_physical_only
d1_no_path_decline,1437,7.0,47.0,0.03618649965205289,0.032011134307585246,0.9679888656924147,0.9002166139217087,0.012526096033402923,base_physical_only
d1_no_forecast_below_target,2204,7.0,47.0,0.09891107078039928,0.08938294010889292,0.9106170598911071,0.7775264841286345,0.010435571687840291,base_physical_only
d1_no_multi_model_spread_high,0,,,,,,,,base_physical_only
d1_no_chengdu_like_asia_hot,697,7.0,12.0,0.08321377331420372,0.07317073170731707,0.926829268292683,0.8058691624599063,0.015781922525107604,base_physical_only
d1_no,2832,7.0,47.0,0.1228813559322034,0.10663841807909605,0.893361581920904,0.7599276022894235,0.012711864406779662,obs_clock_cadence
d1_no_next_obs_le30,2193,7.0,47.0,0.1322389420884633,0.11445508435932512,0.8855449156406748,0.7407653287369294,0.013223894208846329,obs_clock_cadence
d1_no_cadence_approx60,1104,7.0,32.0,0.08876811594202899,0.08242753623188406,0.917572463768116,0.7807979423995896,0.010869565217391304,obs_clock_cadence
d1_no_path_decline,1437,7.0,47.0,0.03618649965205289,0.032011134307585246,0.9679888656924147,0.9006078418533803,0.013917884481558803,obs_clock_cadence
d1_no_forecast_below_target,2204,7.0,47.0,0.09891107078039928,0.08938294010889292,0.9106170598911071,0.7739530770811629,0.013157894736842105,obs_clock_cadence
d1_no_multi_model_spread_high,0,,,,,,,,obs_clock_cadence
d1_no_chengdu_like_asia_hot,697,7.0,12.0,0.08321377331420372,0.07317073170731707,0.926829268292683,0.7999760323021929,0.021520803443328552,obs_clock_cadence
d1_no,2832,7.0,47.0,0.1228813559322034,0.10663841807909605,0.893361581920904,0.7704831720835056,0.013771186440677966,multi_model_forecast
d1_no_next_obs_le30,2193,7.0,47.0,0.1322389420884633,0.11445508435932512,0.8855449156406748,0.7497579706228206,0.01459188326493388,multi_model_forecast
d1_no_cadence_approx60,1104,7.0,32.0,0.08876811594202899,0.08242753623188406,0.917572463768116,0.7964629024095216,0.01177536231884058,multi_model_forecast
d1_no_path_decline,1437,7.0,47.0,0.03618649965205289,0.032011134307585246,0.9679888656924147,0.9058433755483193,0.013917884481558803,multi_model_forecast
d1_no_forecast_below_target,2204,7.0,47.0,0.09891107078039928,0.08938294010889292,0.9106170598911071,0.7868212620909487,0.014519056261343012,multi_model_forecast
d1_no_multi_model_spread_high,0,,,,,,,,multi_model_forecast
d1_no_chengdu_like_asia_hot,697,7.0,12.0,0.08321377331420372,0.07317073170731707,0.926829268292683,0.817021293427193,0.021520803443328552,multi_model_forecast
d1_no,2832,7.0,47.0,0.1228813559322034,0.10663841807909605,0.893361581920904,0.7723680439527362,0.014477401129943503,taf
d1_no_next_obs_le30,2193,7.0,47.0,0.1322389420884633,0.11445508435932512,0.8855449156406748,0.7518011794998121,0.01459188326493388,taf
d1_no_cadence_approx60,1104,7.0,32.0,0.08876811594202899,0.08242753623188406,0.917572463768116,0.7972563513186925,0.010869565217391304,taf
d1_no_path_decline,1437,7.0,47.0,0.03618649965205289,0.032011134307585246,0.9679888656924147,0.9080390936843744,0.014613778705636743,taf
d1_no_forecast_below_target,2204,7.0,47.0,0.09891107078039928,0.08938294010889292,0.9106170598911071,0.7868473048172285,0.014972776769509982,taf
d1_no_multi_model_spread_high,0,,,,,,,,taf
d1_no_chengdu_like_asia_hot,697,7.0,12.0,0.08321377331420372,0.07317073170731707,0.926829268292683,0.7915590893260829,0.02295552367288379,taf
d1_no,2832,7.0,47.0,0.1228813559322034,0.10663841807909605,0.893361581920904,0.7724410246204876,0.014477401129943503,vertical_hourly_context
d1_no_next_obs_le30,2193,7.0,47.0,0.1322389420884633,0.11445508435932512,0.8855449156406748,0.7519063343026816,0.01459188326493388,vertical_hourly_context
