label,period,rows,dates,cities,win_rate,avg_entry,avg_shares,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,source_fit_bucket,book_state_v1
source_book:hot_clean|feasible,full,141,41,23,0.09929078014184398,0.09899999999999999,7.446808510638298,115.87788185000001,2.1221181499999933,0.018313401281764913,-0.4011640814206681,0.4855959823123241,-0.3657395739226498,27,27,-6.4593464,-1.0,hot_clean,feasible
source_book:hot_clean|missing,full,38,13,17,0.21052631578947367,0.10835526315789473,7.7368421052631575,35.966021575,28.033978425,0.7794573099095963,-0.09922586430010594,1.9044852524612714,-0.3775889398757944,7,6,-2.8338757,-1.0,hot_clean,missing
source_book:hot_clean|thin_wide,full,42,25,16,0.19047619047619047,0.1183452380952381,8.0,44.001547075,19.998452925000002,0.45449431336841245,-0.40147810133138195,1.4258181360653983,-0.4686104623175129,18,18,-3.8706056999999996,-1.0,hot_clean,thin_wide
source_book:hot_noisy|feasible,full,3,3,2,0.3333333333333333,0.07333333333333333,6.666666666666667,1.6001025,4.3998975,2.7497597810140286,-1.0,14.918497293855458,,2,2,-0.87759,-1.0,hot_noisy,feasible
source_book:hot_noisy|missing,full,2,2,1,0.0,0.095,8.0,1.5887,-1.5887,-1.0,,,,2,2,-0.87759,-1.0,hot_noisy,missing
source_book:neutral_or_cold|feasible,full,68,30,19,0.14705882352941177,0.10084558823529412,7.5,57.339283175000006,24.660716825000005,0.43008414928619315,-0.25722771995194077,1.2226844577762492,-0.2865634475547516,20,20,-4.218187500000001,-1.0,neutral_or_cold,feasible
source_book:neutral_or_cold|missing,full,22,12,11,0.2727272727272727,0.1065909090909091,7.636363636363637,20.10909935,33.89090065,1.6853514948694108,-0.3054178543965178,2.9375771523331426,-0.5051327823697549,8,8,-2.4299975000000003,-1.0,neutral_or_cold,missing
source_book:neutral_or_cold|thin_wide,full,17,12,8,0.17647058823529413,0.11758823529411766,8.235294117647058,18.222480725000004,11.777519275000001,0.6463181085351374,-1.0,2.0236438622331923,-1.0,9,9,-2.4726975,-1.0,neutral_or_cold,thin_wide
source_book:hot_clean|feasible,train_le_2026_06_20,116,32,22,0.07758620689655173,0.09949137931034481,7.4655172413793105,95.86762685000001,-21.867626850000004,-0.22810230698852438,-0.6345748821191013,0.1799928451741377,-0.685573971607196,23,23,-6.4593464,-1.0,hot_clean,feasible
source_book:hot_clean|missing,train_le_2026_06_20,33,11,16,0.21212121212121213,0.11009090909090909,7.818181818181818,31.99216555,26.00783445,0.812943856812469,-0.12076955956748599,2.1458576653358414,-0.5189597707078454,6,5,-2.8338757,-1.0,hot_clean,missing
source_book:hot_clean|thin_wide,train_le_2026_06_20,32,19,13,0.21875,0.125078125,8.1875,36.094824275,19.905175725,0.5514689744254199,-0.47818415143330256,1.7179463005298892,-0.5898964339405967,13,13,-3.8706056999999996,-1.0,hot_clean,thin_wide
source_book:hot_noisy|feasible,train_le_2026_06_20,3,3,2,0.3333333333333333,0.07333333333333333,6.666666666666667,1.6001025,4.3998975,2.7497597810140286,-1.0,14.918497293855458,,2,2,-0.87759,-1.0,hot_noisy,feasible
source_book:hot_noisy|missing,train_le_2026_06_20,2,2,1,0.0,0.095,8.0,1.5887,-1.5887,-1.0,,,,2,2,-0.87759,-1.0,hot_noisy,missing
source_book:neutral_or_cold|feasible,train_le_2026_06_20,53,25,17,0.1320754716981132,0.09898113207547171,7.471698113207547,43.58942085,12.410579149999998,0.2847153944235072,-0.47112587136320117,1.2298865831952017,-0.6799779470669844,18,18,-4.218187500000001,-1.0,neutral_or_cold,feasible
source_book:neutral_or_cold|missing,train_le_2026_06_20,20,10,10,0.3,0.10800000000000001,7.7,18.688429350000003,35.31157065,1.8894884095757354,-0.2026048304892291,3.1710305894382502,-0.4394511204401652,6,6,-2.4299975000000003,-1.0,neutral_or_cold,missing
source_book:neutral_or_cold|thin_wide,train_le_2026_06_20,16,11,8,0.1875,0.12025000000000001,8.375,17.751668225000003,12.248331775,0.6899820129440256,-1.0,2.1131229494945853,-1.0,8,8,-2.4726975,-1.0,neutral_or_cold,thin_wide
source_book:hot_clean|feasible,recent_ge_2026_06_21,25,9,12,0.2,0.09672,7.36,20.010254999999997,23.989745,1.1988725281112111,-0.17911092285234134,2.9148374001240778,-1.0,4,4,-3.918805625,-1.0,hot_clean,feasible
source_book:hot_clean|missing,recent_ge_2026_06_21,5,2,4,0.2,0.0969,7.2,3.973856025,2.026143975,0.5098684910206328,,,,1,1,-0.37692,-1.0,hot_clean,missing
source_book:hot_clean|thin_wide,recent_ge_2026_06_21,10,6,8,0.1,0.09680000000000002,7.4,7.9067228,0.09327719999999956,0.011797201237407686,-1.0,1.2190501065412056,-1.0,5,5,-1.77055,-1.0,hot_clean,thin_wide
source_book:neutral_or_cold|feasible,recent_ge_2026_06_21,15,5,11,0.2,0.10743333333333333,7.6,13.749862325,12.250137675,0.8909280242556901,-0.4384188404470112,3.07178911441847,-1.0,2,2,-3.1593075,-1.0,neutral_or_cold,feasible
source_book:neutral_or_cold|missing,recent_ge_2026_06_21,2,2,2,0.0,0.0925,7.0,1.4206699999999999,-1.4206699999999999,-1.0,,,,2,2,-1.04375,-1.0,neutral_or_cold,missing
source_book:neutral_or_cold|thin_wide,recent_ge_2026_06_21,1,1,1,0.0,0.075,6.0,0.47081249999999997,-0.47081249999999997,-1.0,,,,1,1,-0.47081249999999997,-1.0,neutral_or_cold,thin_wide
