label,period,rows,dates,cities,win_rate,avg_entry,avg_shares,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,city,forecast_model,source_fit_bucket
city_source:Amsterdam|ecmwf|hot_clean,full,16,16,1,0.375,0.13284375,8.75,20.42998085,37.57001914999999,1.8389649714233576,0.214804174920124,3.3509992603143544,-0.32291285496579236,10,10,-1.9253875,-1.0,Amsterdam,ecmwf,hot_clean
city_source:Ankara|ecmwf|hot_clean,full,16,16,1,0.0,0.09353125,7.125,11.667863825000001,-11.667863825000001,-1.0,-1.0,-1.0,-1.0,16,16,-1.5119875,-1.0,Ankara,ecmwf,hot_clean
city_source:Atlanta|gfs|hot_clean,full,13,13,1,0.07692307692307693,0.12238461538461538,8.153846153846153,14.407057825,-4.407057825000001,-0.30589575460387247,-1.0,1.0018831385702067,-1.0,12,12,-2.08,-1.0,Atlanta,gfs,hot_clean
city_source:Austin|gfs|hot_clean,full,9,9,1,0.0,0.11683333333333334,8.0,9.231800325,-9.231800325,-1.0,-1.0,-1.0,-1.0,9,9,-1.9253875,-1.0,Austin,gfs,hot_clean
city_source:Beijing|ecmwf|hot_clean,full,15,15,1,0.0,0.07953333333333332,6.8,8.8522201,-8.8522201,-1.0,-1.0,-1.0,-1.0,15,15,-1.08524,-1.0,Beijing,ecmwf,hot_clean
city_source:BuenosAires|ecmwf|hot_clean,full,8,8,1,0.375,0.15662500000000001,9.25,12.33277,17.66723,1.4325435405022553,-0.29804655053179474,3.4214188704577815,-1.0,5,5,-2.0284875,-1.0,BuenosAires,ecmwf,hot_clean
city_source:Busan|ecmwf|neutral_or_cold,full,3,3,1,0.6666666666666666,0.12683333333333333,8.666666666666666,3.5105098750000003,14.489490125000001,4.127460295208541,-1.0,9.070620224323065,,1,1,-1.04375,-1.0,Busan,ecmwf,neutral_or_cold
city_source:CapeTown|ecmwf|neutral_or_cold,full,4,4,1,0.0,0.12937500000000002,8.5,4.969945,-4.969945,-1.0,-1.0,-1.0,,4,4,-1.9253875,-1.0,CapeTown,ecmwf,neutral_or_cold
city_source:Chengdu|ecmwf|hot_clean,full,2,2,1,0.0,0.0995,7.0,1.5388157,-1.5388157,-1.0,,,,2,2,-1.16816,-1.0,Chengdu,ecmwf,hot_clean
city_source:Chicago|gfs|hot_clean,full,9,9,1,0.0,0.1163888888888889,8.222222222222221,9.223379824999999,-9.223379824999999,-1.0,-1.0,-1.0,-1.0,9,9,-1.6154875,-1.0,Chicago,gfs,hot_clean
city_source:Chongqing|ecmwf|hot_clean,full,5,5,1,0.2,0.0913,7.2,3.8240732250000002,2.1759267749999993,0.5690076122953945,-1.0,6.925975963949489,,4,4,-1.97695,-1.0,Chongqing,ecmwf,hot_clean
city_source:Dallas|ecmwf|hot_clean,full,5,5,1,0.2,0.0937,7.2,3.6338656,4.3661344,1.201512350924591,-1.0,5.857078008776545,,4,4,-1.08524,-1.0,Dallas,ecmwf,hot_clean
city_source:Denver|gfs|neutral_or_cold,full,6,6,1,0.16666666666666666,0.11850000000000001,8.333333333333334,6.351022599999999,3.6489774000000006,0.5745495851329518,-1.0,2.459001709507825,-1.0,5,5,-1.08524,-1.0,Denver,gfs,neutral_or_cold
city_source:Guangzhou|gfs|hot_noisy,full,1,1,1,1.0,0.06,6.0,0.37692,5.62308,14.918497293855461,,,,0,0,5.62308,14.918497293855461,Guangzhou,gfs,hot_noisy
city_source:Helsinki|ecmwf|hot_clean,full,13,13,1,0.15384615384615385,0.08296153846153846,6.923076923076923,8.3029665,5.6970335,0.6861443437113711,-1.0,3.109522026921849,-1.0,11,11,-1.713719875,-1.0,Helsinki,ecmwf,hot_clean
city_source:HongKong|ecmwf|hot_clean,full,5,5,1,0.0,0.0809,6.8,2.956129925,-2.956129925,-1.0,-1.0,-1.0,,5,5,-0.87759,-1.0,HongKong,ecmwf,hot_clean
city_source:Houston|gfs|neutral_or_cold,full,1,1,1,0.0,0.105,8.0,0.87759,-0.87759,-1.0,,,,1,1,-0.87759,-1.0,Houston,gfs,neutral_or_cold
