city,opportunities,any_fill_rate,full_fill_rate,avg_fill_ratio,total_requested_shares,total_filled_shares,total_fill_cost,median_first_fill_wait_min
Ankara,1,1.0,1.0,1.0,12.5,12.5,0.95055,0.0
Busan,1,1.0,1.0,1.0,16.67,16.67,0.80016,6.216666666666667
Chicago,2,1.0,1.0,1.0,38.56,38.56,2.30004,50.80833333333333
Dallas,1,1.0,1.0,1.0,7.21,7.21,0.7931,83.96666666666667
Helsinki,2,0.5,0.5,0.5000000000000001,11.3,5.300000000000001,0.8003,109.25
Houston,1,1.0,1.0,1.0,8.8,8.8,0.792,4.55
LA,1,1.0,1.0,1.0,5.68,5.68,0.7952,13.933333333333334
London,1,1.0,1.0,1.0,12.5,12.5,0.75,0.0
Manila,1,1.0,1.0,1.0,14.29,14.29,0.8002400000000001,21.116666666666667
NYC,2,1.0,1.0,1.0,42.31,42.31,2.29455,2.5
Paris,1,1.0,1.0,0.9994189786585367,13.12,13.112377,0.799855,464.8333333333333
Shanghai,1,1.0,1.0,1.0,6.0,6.0,0.324,587.0666666666667
TelAviv,1,1.0,1.0,1.0,7.15,7.15,0.7865,0.0
Wellington,1,1.0,1.0,1.0,8.0,8.0,0.88,446.6166666666667
