opportunity_key,city,target_date,bracket,signal_id,orders,submitted_orders,first_created_at_utc,last_created_at_utc,requested_shares,filled_shares,fill_cost,first_fill_wait_min,maker_only,execution_mode,place_status,any_fill,full_fill,fill_ratio
Ankara|2026-07-03|30|8df4c7052bd7d146c741c0670896b86dc6e48fdca4c1dc466bd2f5934e4e85f3,Ankara,2026-07-03,30,8df4c7052bd7d146c741c0670896b86dc6e48fdca4c1dc466bd2f5934e4e85f3,1,1,2026-07-02 23:43:24+00:00,2026-07-02 23:43:24+00:00,12.5,12.5,0.95055,0.0,False,tiny_live_guarded_taker_cancel_after,matched,True,True,1.0
Busan|2026-07-04|24|cc7ddda81097b39453ac897960725c6853c6e5eea75615ab5de6eb0c35f573fb,Busan,2026-07-04,24,cc7ddda81097b39453ac897960725c6853c6e5eea75615ab5de6eb0c35f573fb,1,1,2026-07-03 16:25:40+00:00,2026-07-03 16:25:40+00:00,16.67,16.67,0.80016,6.216666666666667,True,tiny_live_maker_first,live,True,True,1.0
Chicago|2026-07-02|98-99|7c41b5e94dbfa35c24872a947e4d2c454839749622d7605cf6365f839657c5bc,Chicago,2026-07-02,98-99,7c41b5e94dbfa35c24872a947e4d2c454839749622d7605cf6365f839657c5bc,1,1,2026-07-02 06:37:19+00:00,2026-07-02 06:37:19+00:00,25.0,25.0,1.5,0.0,False,tiny_live_guarded_taker_cancel_after,matched,True,True,1.0
Chicago|2026-07-03|94-95|08bfb3e34339ac43bd2abdf2efccd86d0ae263798381c1f2adbc528a9372a0e1,Chicago,2026-07-03,94-95,08bfb3e34339ac43bd2abdf2efccd86d0ae263798381c1f2adbc528a9372a0e1,1,1,2026-07-03 06:39:45+00:00,2026-07-03 06:39:45+00:00,13.56,13.56,0.80004,101.61666666666666,True,tiny_live_maker_first,live,True,True,1.0
Dallas|2026-07-03|98-99|f97be2dc6d20553603e6c68dadb51c5de938758c90bb86ab29ae4395a97088fe,Dallas,2026-07-03,98-99,f97be2dc6d20553603e6c68dadb51c5de938758c90bb86ab29ae4395a97088fe,1,1,2026-07-03 03:53:01+00:00,2026-07-03 03:53:01+00:00,7.21,7.21,0.7931,83.96666666666667,True,tiny_live_maker_first,live,True,True,1.0
Helsinki|2026-07-04|21|271442d4078aca45a84453c5919dc2516816358c51b0049f87af730ac57db0ef,Helsinki,2026-07-04,21,271442d4078aca45a84453c5919dc2516816358c51b0049f87af730ac57db0ef,1,1,2026-07-03 19:46:35+00:00,2026-07-03 19:46:35+00:00,5.3,5.300000000000001,0.8003,109.25,True,tiny_live_maker_first,live,True,True,1.0000000000000002
Helsinki|2026-07-05|17|bacc2656bcda9062dc8064d88f23d58bfe49c1f94c3d0ccc5c279d1a695dddf6,Helsinki,2026-07-05,17,bacc2656bcda9062dc8064d88f23d58bfe49c1f94c3d0ccc5c279d1a695dddf6,8,8,2026-07-04 19:11:22+00:00,2026-07-05 00:53:25+00:00,6.0,0.0,0.0,,True,tiny_live_dynamic_maker,live,False,False,0.0
Helsinki|2026-07-06|18|71ad16f00e96bf14ecbadcd8461051944861cdc8cb9ab379832423f773a1766b,Helsinki,2026-07-06,18,71ad16f00e96bf14ecbadcd8461051944861cdc8cb9ab379832423f773a1766b,8,5,2026-07-06 01:49:02+00:00,2026-07-06 04:51:35+00:00,8.0,0.0,0.0,,True,tiny_live_dynamic_maker,blocked,False,False,0.0
Houston|2026-07-03|96-97|100d7e9cef706f803a6cb3d56ddde4f3297c54a2b6c6f028a4a7c38b0366ba33,Houston,2026-07-03,96-97,100d7e9cef706f803a6cb3d56ddde4f3297c54a2b6c6f028a4a7c38b0366ba33,1,1,2026-07-03 05:03:50+00:00,2026-07-03 05:03:50+00:00,8.8,8.8,0.792,4.55,True,tiny_live_maker_first,live,True,True,1.0
Istanbul|2026-07-06|25|d47eb91787b91ae76d2cd37a3ad3763a7ea84c962c3fa129b370d69a0704097f,Istanbul,2026-07-06,25,d47eb91787b91ae76d2cd37a3ad3763a7ea84c962c3fa129b370d69a0704097f,13,13,2026-07-06 01:49:03+00:00,2026-07-06 04:51:37+00:00,6.0,0.0,0.0,,True,tiny_live_dynamic_maker,live,False,False,0.0
LA|2026-07-03|70-71|a1ce2db7dc08db0734db56c240ff6676a3c27937d737c96221563b823bf23689,LA,2026-07-03,70-71,a1ce2db7dc08db0734db56c240ff6676a3c27937d737c96221563b823bf23689,1,1,2026-07-03 09:51:42+00:00,2026-07-03 09:51:42+00:00,5.68,5.68,0.7952,13.933333333333334,True,tiny_live_maker_first,live,True,True,1.0
London|2026-07-03|28|5578012694986f5c8077442319e4147f6607a76edd4464da798627a6f3e76ca6,London,2026-07-03,28,5578012694986f5c8077442319e4147f6607a76edd4464da798627a6f3e76ca6,1,1,2026-07-02 23:13:49+00:00,2026-07-02 23:13:49+00:00,12.5,12.5,0.75,0.0,False,tiny_live_guarded_taker_cancel_after,matched,True,True,1.0
Manila|2026-07-04|36+|6da812c5ea61d45b308b1290d7493a22ea3315c69ce6c57b90e40e5ca5c31222,Manila,2026-07-04,36+,6da812c5ea61d45b308b1290d7493a22ea3315c69ce6c57b90e40e5ca5c31222,1,1,2026-07-03 15:25:01+00:00,2026-07-03 15:25:01+00:00,14.29,14.29,0.8002400000000001,21.116666666666667,True,tiny_live_maker_first,live,True,True,1.0
Munich|2026-07-06|24|79c3ee504e0bce109754ceeb05b7d63e671887ca378de98a3e99392c47197455,Munich,2026-07-06,24,79c3ee504e0bce109754ceeb05b7d63e671887ca378de98a3e99392c47197455,2,2,2026-07-06 01:49:04+00:00,2026-07-06 02:04:32+00:00,6.0,0.0,0.0,,True,tiny_live_dynamic_maker,live,False,False,0.0
NYC|2026-07-02|104-105|d870901d3b54262bea949ded337ba8a310f019db0904025fa8193cfd73c93d43,NYC,2026-07-02,104-105,d870901d3b54262bea949ded337ba8a310f019db0904025fa8193cfd73c93d43,1,1,2026-07-02 06:20:14+00:00,2026-07-02 06:20:14+00:00,30.0,30.0,1.4944,0.0,False,tiny_live_guarded_taker_cancel_after,matched,True,True,1.0
NYC|2026-07-03|104-105|b782a465e5591fa6fd32eb717c819edaac6a5237f8b3c8754330d191a24c4bef,NYC,2026-07-03,104-105,b782a465e5591fa6fd32eb717c819edaac6a5237f8b3c8754330d191a24c4bef,1,1,2026-07-03 07:25:23+00:00,2026-07-03 07:25:23+00:00,12.31,12.31,0.80015,5.0,True,tiny_live_maker_first,live,True,True,1.0
Paris|2026-07-04|32|e1019314823ace174f882e5b02b1f130da730b64143dcd8d0282bd5e0035d525,Paris,2026-07-04,32,e1019314823ace174f882e5b02b1f130da730b64143dcd8d0282bd5e0035d525,1,1,2026-07-03 20:21:59+00:00,2026-07-03 20:21:59+00:00,13.12,13.112377,0.799855,464.8333333333333,True,tiny_live_maker_first,live,True,True,0.9994189786585367
