label,period,rows,dates,cities,win_rate,avg_entry,avg_shares,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,denom_rows,row_share,complement_rows,complement_roi,roi_minus_complement,delta_ci_low,delta_ci_high
baseline_hot_only,full,333,53,47,0.15015015015015015,0.10407957957957958,7.60960960960961,294.70511625,123.29488374999998,0.41836696057020006,0.10665506460761068,0.7630413743495473,0.28273762421471893,19,16,-11.037585,-1.0,333,1.0,,,,,
source_hot_clean,full,221,51,23,0.13574660633484162,0.10428506787330315,7.601809954751131,195.8454505,50.15454949999999,0.2560924921766308,-0.12227490259364891,0.6600157422670666,0.0435531679863627,26,25,-8.8949525,-1.0,333,0.6636636636636637,112.0,0.7398399913161753,-0.48374749913954446,-1.3213828632903164,0.31589023801249794
source_hot_clean_and_fit_best,full,176,50,20,0.125,0.10424147727272727,7.590909090909091,155.44463932500003,18.55536067499999,0.11936957591831053,-0.2638717424813476,0.5466652564257345,-0.15512999988885692,30,30,-7.279465,-1.0,333,0.5285285285285285,157.0,0.7521123393208571,-0.6327427634025465,-1.2940682842656996,0.01142618779840867
source_hot_clean_attention,full,80,37,20,0.2,0.1136,7.875,79.96756865,48.032431349999996,0.6006488900547559,-0.041057837928292505,1.2981753508314238,0.09331271751101712,24,23,-3.8706056999999996,-1.0,333,0.24024024024024024,253.0,0.3504857592031101,0.25016313085164577,-0.4736681712437339,1.053019613184808
source_hot_clean_feasible_book,full,141,41,23,0.09929078014184398,0.09899999999999999,7.446808510638298,115.87788185000001,2.1221181499999933,0.018313401281764913,-0.4011640814206681,0.4855959823123241,-0.3657395739226498,27,27,-6.4593464,-1.0,333,0.42342342342342343,192.0,0.6775968213485941,-0.6592834200668292,-1.3583257302199918,0.05305585435755054
fit_best_model_match,full,268,52,42,0.1455223880597015,0.10391791044776119,7.597014925373134,236.48589275,83.51410725,0.35314625442916614,-0.01866265318889035,0.7719923694413441,0.1812897214206124,24,22,-9.422097500000001,-1.0,333,0.8048048048048048,65.0,0.6832928044806367,-0.33014655005147053,-1.3121368545076444,0.6103845318246238
best_hot_model_match,full,174,53,23,0.14942528735632185,0.10408333333333332,7.586206896551724,153.87693407499995,68.12306592499999,0.44271135459325345,0.003759098479698382,0.9162575577970725,0.17886523625958717,30,30,-6.1681173750000005,-1.0,333,0.5225225225225225,159.0,0.3917668819756601,0.05094447261759333,-0.6021213806403917,0.7187156165754265
wrong_source_hot_alt,full,118,45,19,0.17796610169491525,0.10930932203389829,7.8474576271186445,112.46689575,59.53310424999999,0.5293389121571801,-0.005325471208078114,1.0809717737596574,0.17509327296834237,27,27,-5.2561101,-1.0,333,0.35435435435435436,215.0,0.34988148657871676,0.17945742557846334,-0.49672128479799926,0.8540934038998647
source_score_ge4,full,276,52,33,0.14855072463768115,0.10529166666666667,7.6521739130434785,248.69694615,93.30305385,0.37516767010771757,0.04609996763561681,0.7509248633178659,0.2122306794701811,22,19,-9.855662500000001,-1.0,333,0.8288288288288288,57.0,0.6518805211077063,-0.27671285099998877,-1.265047217961995,0.723511145562366
source_score_le2,full,27,20,9,0.14814814814814814,0.09801851851851853,7.481481481481482,22.185128525,13.814871475000002,0.6227086518535282,-0.5947619176448815,1.910023672829356,-1.0,16,16,-2.0284875,-1.0,333,0.08108108108108109,306.0,0.4017320461113345,0.2209766057421937,-1.1198040154811244,1.5618127257722385
source_attention_score_ge5,full,211,52,30,0.13744075829383887,0.10653554502369668,7.677725118483412,192.40925145,47.59074854999998,0.24734126967053371,-0.13766430316028944,0.6667781685227958,0.030749207556143954,29,28,-8.8949525,-1.0,333,0.6336336336336337,122.0,0.740050786490834,-0.4927095168203003,-1.2210136260731743,0.20631652909237155
baseline_hot_only,train_le_2026_06_20,275,44,46,0.14545454545454545,0.1051509090909091,7.658181818181818,247.1729376,86.82706239999999,0.3512806185137963,-0.0008053250059428215,0.7641134404618668,0.18652589086227245,18,15,-11.037585,-1.0,275,1.0,,,,,
source_hot_clean,train_le_2026_06_20,181,42,23,0.1270718232044199,0.10594751381215468,7.657458563535911,163.954616675,24.045383324999996,0.14665877553581852,-0.2508695303564602,0.6159390780986997,-0.11498191329179687,24,23,-8.8949525,-1.0,275,0.6581818181818182,94.0,0.7544213627138862,-0.6077625871780676,-1.515839166545393,0.2711927033393891
source_hot_clean_and_fit_best,train_le_2026_06_20,143,41,20,0.1258741258741259,0.10743356643356643,7.706293706293707,131.92580325,14.074196749999992,0.10668266861585314,-0.3187844352915345,0.5878627882696232,-0.2210909471999195,25,25,-7.279465,-1.0,275,0.52,132.0,0.6312770036351016,-0.5245943350192485,-1.2777846794493706,0.17069699831312599
source_hot_clean_attention,train_le_2026_06_20,65,30,19,0.2153846153846154,0.11746923076923076,8.0,68.086989825,45.913010175,0.6743286829540786,-0.034557772721660815,1.4923517363504044,0.07631348821520584,19,18,-3.8706056999999996,-1.0,275,0.23636363636363636,210.0,0.22846042770705605,0.4458682552470225,-0.35971929975319433,1.3518084939325494
