label,period,rows,dates,cities,win_rate,avg_entry,avg_shares,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,forecast_model,source_fit_bucket
source:ecmwf|hot_clean,full,150,47,15,0.12666666666666668,0.10106333333333332,7.493333333333333,127.419280125,40.580719874999986,0.318481785764209,-0.21396609683180876,0.8910264846806435,-0.011672980710041726,33,32,-7.279465,-1.0,ecmwf,hot_clean
source:ecmwf|hot_noisy,full,4,4,1,0.0,0.0875,7.5,2.8118825,-2.8118825,-1.0,-1.0,-1.0,,4,4,-0.87759,-1.0,ecmwf,hot_noisy
source:ecmwf|neutral_or_cold,full,68,39,13,0.22058823529411764,0.11272058823529411,8.029411764705882,68.82513435,65.17486565,0.9469631445768475,0.15630096818586256,1.8573133668263595,0.3839448705494914,25,25,-3.7473750000000003,-1.0,ecmwf,neutral_or_cold
source:gfs|hot_clean,full,71,42,8,0.15492957746478872,0.11109154929577464,7.830985915492958,68.426170375,9.573829625,0.13991473689864528,-0.4313447295304698,0.8476418299717765,-0.4228070555445048,31,31,-5.6311895,-1.0,gfs,hot_clean
source:gfs|hot_noisy,full,1,1,1,1.0,0.06,6.0,0.37692,5.62308,14.918497293855461,,,,0,0,5.62308,14.918497293855461,gfs,hot_noisy
source:gfs|neutral_or_cold,full,39,28,9,0.10256410256410256,0.0906794871794872,6.9743589743589745,26.8457289,5.154271100000001,0.19199594539599185,-0.72683359456794,1.1338692847503138,-1.0,24,24,-2.131357525,-1.0,gfs,neutral_or_cold
source:ecmwf|hot_clean,train_le_2026_06_20,123,39,15,0.12195121951219512,0.10288211382113821,7.544715447154472,106.75304474999999,23.246955249999992,0.21776386148461582,-0.3784478555311186,0.8481203601533444,-0.18968833638328322,29,28,-7.279465,-1.0,ecmwf,hot_clean
source:ecmwf|hot_noisy,train_le_2026_06_20,4,4,1,0.0,0.0875,7.5,2.8118825,-2.8118825,-1.0,-1.0,-1.0,,4,4,-0.87759,-1.0,ecmwf,hot_noisy
source:ecmwf|neutral_or_cold,train_le_2026_06_20,58,35,12,0.25862068965517243,0.11445689655172414,8.10344827586207,60.059877025000006,73.94012297500001,1.231106799373271,0.31405750782000347,2.199411350446444,0.6175371210242733,21,21,-3.7473750000000003,-1.0,ecmwf,neutral_or_cold
source:gfs|hot_clean,train_le_2026_06_20,58,34,8,0.13793103448275862,0.11244827586206897,7.896551724137931,57.201571925,0.798428075000001,0.013958149192942847,-0.5898830621889128,0.7792213585649734,-0.6527210329371831,26,26,-5.6311895,-1.0,gfs,hot_clean
source:gfs|hot_noisy,train_le_2026_06_20,1,1,1,1.0,0.06,6.0,0.37692,5.62308,14.918497293855461,,,,0,0,5.62308,14.918497293855461,gfs,hot_noisy
source:gfs|neutral_or_cold,train_le_2026_06_20,31,24,9,0.03225806451612903,0.08682258064516131,6.903225806451613,19.969641400000004,-13.969641399999999,-0.6995439287157152,-1.0,0.08777779039194161,-1.0,23,23,-2.131357525,-1.0,gfs,neutral_or_cold
source:ecmwf|hot_clean,recent_ge_2026_06_21,27,8,10,0.14814814814814814,0.09277777777777779,7.2592592592592595,20.666235375,17.333764625,0.8387480501634421,-0.44615819890311886,2.048756836814301,-1.0,4,4,-4.2643981250000005,-1.0,ecmwf,hot_clean
source:ecmwf|neutral_or_cold,recent_ge_2026_06_21,10,4,7,0.0,0.10265000000000002,7.6,8.765257325,-8.765257325,-1.0,-1.0,-1.0,-1.0,4,4,-3.7444775,-1.0,ecmwf,neutral_or_cold
source:gfs|hot_clean,recent_ge_2026_06_21,13,8,6,0.23076923076923078,0.10503846153846154,7.538461538461538,11.22459845,8.77540155,0.7818009338231605,-1.0,2.7049682908090316,-1.0,5,5,-2.12887,-1.0,gfs,hot_clean
source:gfs|neutral_or_cold,recent_ge_2026_06_21,8,4,5,0.375,0.105625,7.25,6.876087500000001,19.1239125,2.7812200615538996,1.532972173717564,3.9396056033651057,-1.0,1,1,-0.43953000000000003,-1.0,gfs,neutral_or_cold
