selector,expression,rows,dates,win_rate,avg_entry,roi
current_selected_yes_baseline,selected_yes,333,53,0.15015015015015015,0.10407957957957958,0.41836696057020006
physics_ev_positive_cap20,higher_plus_yes,169,48,0.005917159763313609,0.006624260355029586,-0.1480819410995567
physics_ev_positive_cap20,next_hotter_yes,16,15,0.0625,0.07906250000000001,-0.1493662669169438
physics_ev_positive_cap20,selected_yes,129,42,0.14728682170542637,0.09648062015503876,0.4885786705738149
physics_ev_positive_cap20,two_hotter_yes,1,1,1.0,0.16,4.998080614203455
physics_same_count_cap20,higher_plus_yes,142,48,0.007042253521126761,0.013676056338028172,-0.6037174571847052
physics_same_count_cap20,next_hotter_yes,3,3,0.3333333333333333,0.19499999999999998,0.6432672260622179
physics_same_count_cap20,selected_yes,187,51,0.18716577540106952,0.11518716577540107,0.6011410857408236
physics_same_count_cap20,two_hotter_yes,1,1,1.0,0.16,4.998080614203455
market_blend_ev_positive_cap20,higher_plus_yes,192,51,0.0,0.004450520833333333,-1.0
market_blend_ev_positive_cap20,next_hotter_yes,19,16,0.15789473684210525,0.05997368421052631,1.8286894821590352
market_blend_ev_positive_cap20,selected_yes,84,40,0.14285714285714285,0.10311309523809524,0.2665936969417812
market_blend_ev_positive_cap20,two_hotter_yes,23,18,0.0,0.009130434782608696,-1.0
market_blend_same_count_cap20,higher_plus_yes,182,51,0.005494505494505495,0.013054945054945057,-0.6642676308710058
market_blend_same_count_cap20,next_hotter_yes,20,18,0.2,0.09657500000000001,0.8813758541600709
market_blend_same_count_cap20,selected_yes,115,44,0.14782608695652175,0.11338695652173914,0.2080561369102608
market_blend_same_count_cap20,two_hotter_yes,16,15,0.0625,0.023156250000000003,2.0775468009658855
attention_blend_ev_positive_cap20,higher_plus_yes,189,51,0.0,0.004396825396825397,-1.0
attention_blend_ev_positive_cap20,next_hotter_yes,18,16,0.1111111111111111,0.0631111111111111,0.6981512847849111
attention_blend_ev_positive_cap20,selected_yes,87,38,0.11494252873563218,0.10763218390804599,-0.023278653463927233
attention_blend_ev_positive_cap20,two_hotter_yes,24,18,0.0,0.009895833333333333,-1.0
attention_blend_same_count_cap20,higher_plus_yes,177,51,0.005649717514124294,0.013632768361581922,-0.6685820785916421
attention_blend_same_count_cap20,next_hotter_yes,13,12,0.3076923076923077,0.11719230769230768,1.2524631789096257
attention_blend_same_count_cap20,selected_yes,125,43,0.136,0.11519599999999999,0.11879084426167116
attention_blend_same_count_cap20,two_hotter_yes,18,16,0.05555555555555555,0.023666666666666673,1.7789321925260897
