row_id,candidate_id,target_date,city,selected_bracket,expression,expression_bracket,entry,shares,cost,pnl,payoff,win,book_state_v1,raw_dist_band,adj_dist_band,unit,forecast_max_f_used,adj_forecast_p50_f,bracket_width_f,bias_n_asof,bias_mean_asof,bias_p50_asof,bias_p90_asof,hot_tail_pct_asof,cold_tail_pct_asof,forecast_peak_delta_hours_local,forecast_gap_to_running_native,gfs_gap_to_running_native,ecmwf_gap_to_running_native,remaining_heat_native,temp_trend_1h_f,temp_trend_3h_f,relative_humidity_pct,wind_speed_kt,minutes_since_running_max,regime_score,book_state_v1_base,expr_low_f,expr_width_f,expr_raw_dist_br,expr_adj_dist_p50_br,expr_step,expr_is_plus,book_missing,book_thin_wide,book_feasible,fee_per_share,p_physics,net_ev_physics,p_market_blend,net_ev_market_blend,p_attention_blend,net_ev_attention_blend
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,selected_yes,28,0.08,8.0,0.66944,-0.66944,0.0,False,missing,>1,0..0.5,C,80.1,82.19999999999999,1.8,356,2.210112359550562,2.1,5.0,0.7275280898876404,0.07303370786516854,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,82.4,1.8,1.2777777777777841,0.11111111111112058,0.0,0.0,1.0,0.0,0.0,0.00368,0.15560403786365004,0.07192403786365004,0.12380043526014008,0.04012043526014007,0.1442887395515615,0.060608739551561486
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,next_hotter_yes,29,0.0305,8.0,0.2558279,-0.2558279,0.0,False,missing,>1,0..0.5,C,80.1,82.19999999999999,1.8,356,2.210112359550562,2.1,5.0,0.7275280898876404,0.07303370786516854,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,84.2,1.8,2.2777777777777826,1.111111111111119,1.0,0.0,1.0,0.0,0.0,0.0014784875,0.16034804602867853,0.12836955852867854,0.06898625437142832,0.037007766871428316,0.08170413389265209,0.04972564639265209
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,two_hotter_yes,30,0.005,8.0,0.04199,-0.04199,0.0,False,missing,>1,0..0.5,C,80.1,82.19999999999999,1.8,356,2.210112359550562,2.1,5.0,0.7275280898876404,0.07303370786516854,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,86.0,1.8,3.277777777777781,2.1111111111111174,2.0,0.0,1.0,0.0,0.0,0.00024875,0.16520839004595617,0.15995964004595617,0.043353025927653104,0.03810427592765311,0.05193677786852856,0.04668802786852856
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,selected_yes,15,0.125,8.0,1.04375,-1.04375,0.0,False,missing,0.5..1,-0.5..0,C,57.9,59.0,1.8,355,1.0695774647887326,1.1,2.7600000000000025,0.5577464788732395,0.07042253521126761,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,59.0,1.8,0.6111111111111119,0.0,0.0,0.0,1.0,0.0,0.0,0.0054687500000000005,0.19012994940764072,0.05966119940764072,0.16725342000329332,0.03678467000329332,0.19176534693920425,0.061296596939204244
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,next_hotter_yes,16,0.0275,8.0,0.2306975,-0.2306975,0.0,False,missing,0.5..1,-0.5..0,C,57.9,59.0,1.8,355,1.0695774647887326,1.1,2.7600000000000025,0.5577464788732395,0.07042253521126761,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,60.8,1.8,1.6111111111111103,0.9999999999999984,1.0,0.0,1.0,0.0,0.0,0.0013371875000000003,0.19568263699044688,0.16684544949044688,0.07187965162746018,0.043042464127460184,0.0842066111906782,0.055369423690678196
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,two_hotter_yes,17,0.008,8.0,0.0671744,-0.0671744,0.0,False,missing,0.5..1,-0.5..0,C,57.9,59.0,1.8,355,1.0695774647887326,1.1,2.7600000000000025,0.5577464788732395,0.07042253521126761,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,62.6,1.8,2.6111111111111125,2.000000000000001,2.0,0.0,1.0,0.0,0.0,0.0003968,0.2013571703221886,0.1929603703221886,0.04691256003679967,0.03851576003679967,0.05557113455147451,0.04717433455147451
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,higher_plus_yes,19+,0.002,8.0,0.0167984,-0.0167984,0.0,False,missing,0.5..1,-0.5..0,C,57.9,59.0,1.8,355,1.0695774647887326,1.1,2.7600000000000025,0.5577464788732395,0.07042253521126761,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,66.2,1.8,4.611111111111113,4.000000000000002,3.0,1.0,1.0,0.0,0.0,9.98e-05,0.039859250820398935,0.037759450820398936,0.019163181412013074,0.017063381412013075,0.021845029558800824,0.019745229558800825
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,selected_yes,62-63,0.155,8.0,1.29239,-1.29239,0.0,False,missing,0.5..1,0..0.5,F,60.9,61.6,2.0,737,0.803392130257802,0.7,2.3,0.41383989145183175,0.03934871099050204,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,62.0,2.0,0.5500000000000007,0.1999999999999993,0.0,0.0,1.0,0.0,0.0,0.00654875,0.08849597651504247,-0.07305277348495753,0.12443263778222244,-0.03711611221777756,0.13806179437659236,-0.023486955623407642
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,next_hotter_yes,64-65,0.029,8.0,0.24326360000000002,-0.24326360000000002,0.0,False,missing,0.5..1,0..0.5,F,60.9,61.6,2.0,737,0.803392130257802,0.7,2.3,0.41383989145183175,0.03934871099050204,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,64.0,2.0,1.5500000000000007,1.1999999999999993,1.0,0.0,1.0,0.0,0.0,0.00140795,0.09141551433155733,0.06100756433155733,0.04366181118352901,0.013253861183529012,0.04914091128740827,0.01873296128740827
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,two_hotter_yes,66-67,0.0085,8.0,0.0713711,-0.0713711,0.0,False,missing,0.5..1,0..0.5,F,60.9,61.6,2.0,737,0.803392130257802,0.7,2.3,0.41383989145183175,0.03934871099050204,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,66.0,2.0,2.5500000000000007,2.1999999999999993,2.0,0.0,1.0,0.0,0.0,0.00042138750000000007,0.09442139215376158,0.08550000465376158,0.028023255994010385,0.019101868494010386,0.03181445298955228,0.02289306548955228
