label,period,rows,dates,cities,win_rate,avg_entry,avg_net_ev,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,selector_name,delta_roi,delta_ci_low,delta_ci_high
selector,physics_ev_positive_cap20,315,53,45.0,0.06984126984126984,0.04758888888888889,0.04573149597133102,122.5768995,55.423100500000004,0.4521496360739652,-0.1110340138296745,1.1099994085092917,0.11841357019416332,35.0,35.0,-7.61349415,-1.0,physics_ev_positive_cap20,,,
same_rows_selected_yes,physics_ev_positive_cap20,315,53,45.0,0.1523809523809524,0.10214603174603175,,271.418636775,128.581363225,0.47373815133995784,0.14104689977404336,0.8401011863724045,0.3277696659644808,20.0,17.0,-10.481716425,-1.0,physics_ev_positive_cap20,,,
selector_minus_same_rows_selected_yes,physics_ev_positive_cap20,315,53,,,,,,,,,,,,,,,physics_ev_positive_cap20,-0.021588515265992703,-0.506643975713077,0.5027167509616004
selector,physics_same_count_cap20,333,53,47.0,0.11411411411411411,0.07275375375375376,0.024494932863792694,214.00705167499999,117.99294832500001,0.5513507494331963,0.1331493245703176,1.0096706384844363,0.3676815286078652,24.0,23.0,-11.962969425,-1.0,physics_same_count_cap20,,,
same_rows_selected_yes,physics_same_count_cap20,333,53,47.0,0.15015015015015015,0.10407957957957958,,294.70511625,123.29488374999998,0.41836696057020006,0.10665506460761068,0.7630413743495473,0.28273762421471893,19.0,16.0,-11.037585,-1.0,physics_same_count_cap20,,,
selector_minus_same_rows_selected_yes,physics_same_count_cap20,333,53,,,,,,,,,,,,,,,physics_same_count_cap20,0.13298378886299617,-0.08068773370219108,0.3722840037529232
selector,market_blend_ev_positive_cap20,318,53,45.0,0.04716981132075472,0.034168238993710694,0.023512247108637207,87.822913125,28.177086875,0.3208398113018071,-0.29689818875169344,0.997270974806705,-0.13423974006864164,41.0,41.0,-3.941482,-1.0,market_blend_ev_positive_cap20,,,
same_rows_selected_yes,market_blend_ev_positive_cap20,318,53,45.0,0.1540880503144654,0.10312421383647798,,277.793986775,130.206013225,0.46871429701054224,0.1364803477955561,0.842620067359264,0.3260472996491735,20.0,17.0,-10.481716425,-1.0,market_blend_ev_positive_cap20,,,
selector_minus_same_rows_selected_yes,market_blend_ev_positive_cap20,318,53,,,,,,,,,,,,,,,market_blend_ev_positive_cap20,-0.14787448570873496,-0.7832428027656739,0.47485389574215403
selector,market_blend_same_count_cap20,333,53,47.0,0.06906906906906907,0.05320570570570571,0.008305947551039783,152.362650075,33.637349925,0.22077162551610996,-0.2707872888081292,0.7612197666426544,-0.05287746678327093,37.0,37.0,-8.364791175,-1.0,market_blend_same_count_cap20,,,
same_rows_selected_yes,market_blend_same_count_cap20,333,53,47.0,0.15015015015015015,0.10407957957957958,,294.70511625,123.29488374999998,0.41836696057020006,0.10665506460761068,0.7630413743495473,0.28273762421471893,19.0,16.0,-11.037585,-1.0,market_blend_same_count_cap20,,,
selector_minus_same_rows_selected_yes,market_blend_same_count_cap20,333,53,,,,,,,,,,,,,,,market_blend_same_count_cap20,-0.1975953350540902,-0.7097592675947836,0.33494024958906726
selector,attention_blend_ev_positive_cap20,318,53,45.0,0.03773584905660377,0.03637893081761007,0.02331494430265798,96.00878089999999,-2.0087809000000014,-0.020922887273116093,-0.5882700453616403,0.646735349065821,-0.45833361686183094,44.0,44.0,-6.067838075,-1.0,attention_blend_ev_positive_cap20,,,
same_rows_selected_yes,attention_blend_ev_positive_cap20,318,53,45.0,0.1540880503144654,0.10333647798742138,,278.679981775,129.32001822499998,0.4640448782912943,0.13302818606038122,0.8368935867554964,0.32170976100373283,20.0,17.0,-10.481716425,-1.0,attention_blend_ev_positive_cap20,,,
selector_minus_same_rows_selected_yes,attention_blend_ev_positive_cap20,318,53,,,,,,,,,,,,,,,attention_blend_ev_positive_cap20,-0.48496776556441035,-1.0250766984267754,0.07263792625779131
selector,attention_blend_same_count_cap20,333,53,47.0,0.06906906906906907,0.056342342342342346,0.007783736321826624,162.83194455,27.168055450000004,0.1668472087899045,-0.2815261783809868,0.6545160625220208,-0.09127564494044953,36.0,36.0,-8.364791175,-1.0,attention_blend_same_count_cap20,,,
same_rows_selected_yes,attention_blend_same_count_cap20,333,53,47.0,0.15015015015015015,0.10407957957957958,,294.70511625,123.29488374999998,0.41836696057020006,0.10665506460761068,0.7630413743495473,0.28273762421471893,19.0,16.0,-11.037585,-1.0,attention_blend_same_count_cap20,,,
selector_minus_same_rows_selected_yes,attention_blend_same_count_cap20,333,53,,,,,,,,,,,,,,,attention_blend_same_count_cap20,-0.2515197517802956,-0.7135298766446141,0.21175618758966275
