row_id,candidate_id,target_date,city,selected_bracket,expression,expression_bracket,entry,shares,cost,pnl,payoff,win,book_state_v1,raw_dist_band,adj_dist_band,unit,forecast_max_f_used,adj_forecast_p50_f,bracket_width_f,bias_n_asof,bias_mean_asof,bias_p50_asof,bias_p90_asof,hot_tail_pct_asof,cold_tail_pct_asof,forecast_peak_delta_hours_local,forecast_gap_to_running_native,gfs_gap_to_running_native,ecmwf_gap_to_running_native,remaining_heat_native,temp_trend_1h_f,temp_trend_3h_f,relative_humidity_pct,wind_speed_kt,minutes_since_running_max,regime_score,book_state_v1_base,expr_low_f,expr_width_f,expr_raw_dist_br,expr_adj_dist_p50_br,expr_step,expr_is_plus,book_missing,book_thin_wide,book_feasible,fee_per_share,p_physics,net_ev_physics,p_market_blend,net_ev_market_blend,p_attention_blend,net_ev_attention_blend,selector,p_model,net_ev,entry_fee,selector_name
0,0x23130effe41ad7421c2fb68dcb04460a57721df6a24dcdbfabf66bfb0edbe58e|BUY_YES|2026-05-06,2026-05-06,Beijing,28,selected_yes,28,0.08,6.0,0.50208,-0.50208,0.0,False,missing,>1,0..0.5,C,80.1,82.19999999999999,1.8,356,2.210112359550562,2.1,5.0,0.7275280898876404,0.07303370786516854,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,82.4,1.8,1.2777777777777841,0.11111111111112058,0.0,0.0,1.0,0.0,0.0,0.00368,0.15560403786365004,0.07192403786365004,0.12380043526014008,0.04012043526014007,0.1442887395515615,0.060608739551561486,current_selected_yes_baseline,,,0.022080000000000006,current_selected_yes_baseline
2,0x91154afd1c166d93cf2f487e78df15df9ef0d8e705fa3325b3271e31b42941b8|BUY_YES|2026-05-06,2026-05-06,London,15,selected_yes,15,0.125,8.0,1.04375,-1.04375,0.0,False,missing,0.5..1,-0.5..0,C,57.9,59.0,1.8,355,1.0695774647887326,1.1,2.7600000000000025,0.5577464788732395,0.07042253521126761,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,59.0,1.8,0.6111111111111119,0.0,0.0,0.0,1.0,0.0,0.0,0.0054687500000000005,0.19012994940764072,0.05966119940764072,0.16725342000329332,0.03678467000329332,0.19176534693920425,0.061296596939204244,current_selected_yes_baseline,,,0.043750000000000004,current_selected_yes_baseline
4,0xb534c8d27fd84cf2ee70442003496b52098527cd7a9b5804f27eb7ac7b26f84a|BUY_YES|2026-05-07,2026-05-07,Chicago,62-63,selected_yes,62-63,0.155,10.0,1.6154875,-1.6154875,0.0,False,missing,0.5..1,0..0.5,F,60.9,61.6,2.0,737,0.803392130257802,0.7,2.3,0.41383989145183175,0.03934871099050204,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,62.0,2.0,0.5500000000000007,0.1999999999999993,0.0,0.0,1.0,0.0,0.0,0.00654875,0.08849597651504247,-0.07305277348495753,0.12443263778222244,-0.03711611221777756,0.13806179437659236,-0.023486955623407642,current_selected_yes_baseline,,,0.0654875,current_selected_yes_baseline
5,0xeda48cad11dbbff84382d180fe059d7adeb388e633fb8b980ab880cd2123686c|BUY_YES|2026-05-07,2026-05-07,London,17,selected_yes,17,0.075,6.0,0.47081249999999997,-0.47081249999999997,0.0,False,missing,0.25..0.5,-0.5..0,C,62.0,63.1,1.8,355,1.0695774647887326,1.1,2.7600000000000025,0.5577464788732395,0.07042253521126761,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,62.6,1.8,0.3333333333333341,-0.2777777777777778,0.0,0.0,1.0,0.0,0.0,0.00346875,0.21511685965746588,0.1366481096574659,0.13066463531543848,0.052195885315438485,0.15070513671415042,0.07223638671415042,current_selected_yes_baseline,,,0.020812500000000005,current_selected_yes_baseline
6,0x5dbcc8fa1851e85200126c7fea86fe942b3a9b41a48e0d02192184b77d10a49d|BUY_YES|2026-05-07,2026-05-07,Shanghai,30,selected_yes,30,0.075,6.0,0.47081249999999997,5.5291875,1.0,True,missing,0.5..1,-0.5..0,C,84.5,86.3,1.8,736,1.6851902173913043,1.8,4.1,0.6725543478260869,0.08695652173913043,16.0,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,86.0,1.8,0.8333333333333333,-0.16666666666666508,0.0,0.0,1.0,0.0,0.0,0.00346875,0.28593942875985795,0.20747067875985795,0.3404969402322274,0.26202819023222734,0.35174590530421956,0.27327715530421953,current_selected_yes_baseline,,,0.020812500000000005,current_selected_yes_baseline
9,0x7dddf1b1553a26c09a8d4ae261bd56eceaa316b999218de2ae3515ecbf10d154|BUY_YES|2026-05-08,2026-05-08,London,20,selected_yes,20,0.06,6.0,0.37692,-0.37692,0.0,False,missing,>1,0.5..1,C,65.9,67.0,1.8,355,1.0695774647887326,1.1,2.7600000000000025,0.5577464788732395,0.07042253521126761,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,68.0,1.8,1.1666666666666634,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,0.00282,0.1469417970918621,0.08412179709186209,0.11080773696748669,0.04798773696748669,0.12802628102348143,0.06520628102348143,current_selected_yes_baseline,,,0.01692,current_selected_yes_baseline
12,0x9055272bf816da4741275fa52f5642e240e70f90445a26bc0a1c3622a4b02534|BUY_YES|2026-05-08,2026-05-08,Shanghai,19,selected_yes,19,0.0655,6.0,0.41136292500000005,5.588637075,1.0,True,missing,0..0.25,<-0.5,C,65.9,67.7,1.8,737,1.709362279511533,1.8,4.1,0.6729986431478969,0.08683853459972862,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,66.2,1.8,0.16666666666666508,-0.8333333333333333,0.0,0.0,1.0,0.0,0.0,0.0030604875,0.13678477398957112,0.06822428648957111,0.07602720759732613,0.007466720097326129,0.08986210290153954,0.021301615401539534,current_selected_yes_baseline,,,0.018362925000000006,current_selected_yes_baseline
13,0x8bae70e412cd28367e6f3eb80902bd988a5fe7224b06ff43b1fcd01a8297890b|BUY_YES|2026-05-08,2026-05-08,Tokyo,27+,selected_yes,27+,0.0665,6.0,0.41762332500000005,-0.41762332500000005,0.0,False,missing,0.5..1,0.5..1,C,78.9,78.80000000000001,1.8,737,-0.1620081411126187,-0.1,2.1,0.276797829036635,0.31614654002713705,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,80.6,1.8,0.9444444444444381,0.9999999999999905,0.0,0.0,1.0,0.0,0.0,0.0031038875000000002,0.08231763068985509,0.01271374318985509,0.08467907245330983,0.015075184953309825,0.09486568899564533,0.02526180149564533,current_selected_yes_baseline,,,0.018623325000000003,current_selected_yes_baseline
14,0xbe423a65590e24b9cb4836714c6b7051d8427f54e241dd3df4085332c27c4fec|BUY_YES|2026-05-08,2026-05-08,Warsaw,16,selected_yes,16,0.105,8.0,0.87759,-0.87759,0.0,False,missing,>1,0..0.5,C,58.6,60.0,1.8,356,1.626123595505618,1.4,3.8,0.6432584269662921,0.042134831460674156,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,60.8,1.8,1.2222222222222199,0.44444444444444287,0.0,0.0,1.0,0.0,0.0,0.004698750000000001,0.14642124342243532,0.03672249342243532,0.13713962891888537,0.027440878918885372,0.15683679544489293,0.04713804544489293,current_selected_yes_baseline,,,0.037590000000000005,current_selected_yes_baseline
16,0xa96edfd192fe5cbd3b0bb1bf46c78f36f8940de7a8a69e1361a954598982b893|BUY_YES|2026-05-09,2026-05-09,Paris,22,selected_yes,22,0.065,6.0,0.4082325,-0.4082325,0.0,False,missing,0..0.25,-0.5..0,C,71.3,72.0,1.8,737,0.43432835820895527,0.7,3.0,0.4450474898236092,0.25237449118046135,9.02,3.2777777777777857,3.2777777777777857,3.200000000000003,5.0,1.8000000000000114,5.400000000000006,64.99,5.0,34.88333333333333,5.0,missing,71.6,1.8,0.16666666666666508,-0.22222222222222537,0.0,0.0,1.0,0.0,0.0,0.0030387500000000007,0.12942187290962318,0.061383122909623174,0.08259099154350277,0.014552241543502771,0.09540051505311022,0.027361765053110214,current_selected_yes_baseline,,,0.018232500000000006,current_selected_yes_baseline
